 	il	vient	d'	emprunter	de	l'	argent	à	son	oncle	</S>
w	0.966182	0.0142675	0.00728737	0.00271143	0.00190343	0.00350778	0.000609648	0.00096523	0.00251767	1.77056e-05	2.9906e-05
a	0.930244	0.0124907	0.0175622	0.0012276	0.0103047	0.0123608	0.00421393	0.000671291	0.0108916	1.36784e-05	1.90992e-05
á	0.140554	0.586726	0.209985	0.0112576	0.0179232	0.0111625	0.00492252	0.00381278	0.006673	0.00463314	0.00235041
w	0.0351182	0.706981	0.157036	0.0469127	0.0110065	0.00617775	0.00195339	0.00422503	0.0054414	0.00532062	0.0198274
u	0.0153805	0.631854	0.164104	0.0831106	0.0216607	0.015027	0.00328392	0.00764492	0.0155069	0.0123139	0.0301127
r	0.0429653	0.109344	0.618255	0.105203	0.0300702	0.0206138	0.00660745	0.00738093	0.0236748	0.00505361	0.0308314
u	0.0155421	0.174436	0.539854	0.217183	0.0206708	0.00953521	0.00156164	0.00459816	0.00850334	0.00014485	0.00797159
o	0.0983999	0.105155	0.559792	0.0832809	0.0671594	0.0275375	0.0278836	0.00688111	0.011989	0.00447244	0.00744951
d	0.00479017	0.120815	0.179328	0.547126	0.0972227	0.0227271	0.00482518	0.00922085	0.00288615	0.00462622	0.00643308
é	0.000331602	0.0266541	0.172464	0.674334	0.0516414	0.0132171	0.00867562	0.00457894	0.000932722	0.00194543	0.0452255
b	0.00102599	0.0201103	0.262547	0.373519	0.256198	0.0396703	0.0114973	0.00828347	0.0014005	0.000717736	0.0250305
h	0.0191621	0.0811827	0.236099	0.380178	0.183002	0.0411365	0.00375531	0.0268252	0.00577095	0.000240262	0.0226474
á	0.00622124	0.0148366	0.13341	0.183106	0.130948	0.101634	0.103495	0.0802152	0.0400111	0.00113072	0.204991
m	0.0237804	0.00985138	0.125597	0.207822	0.329333	0.215049	0.0351156	0.0216991	0.0135191	0.00055153	0.0176822
b	0.00156443	0.000972041	0.00335792	0.0259282	0.0759462	0.212137	0.629431	0.0253464	0.00544027	0.000779564	0.0190969
ώ	0.000129366	0.000320043	0.00182575	0.0148262	0.0494325	0.0818957	0.834138	0.0130527	0.000817014	0.000667718	0.00289515
n	0.000239764	0.0021192	0.00918793	0.00836575	0.0539823	0.082854	0.783621	0.0354764	0.00775006	0.000877916	0.0155257
g	0.00666833	0.00438736	0.055401	0.0195106	0.19655	0.261499	0.277766	0.0685783	0.0282624	0.0156587	0.0657176
ω	0.00374184	0.00141798	0.0231076	0.00418708	0.0964372	0.178648	0.660083	0.0152421	0.00422679	0.00111977	0.0117885
m	0.00189013	0.00212228	0.044358	0.00337589	0.182099	0.248881	0.0676671	0.305449	0.0727836	0.00724566	0.0641285
b	0.00362316	0.00155265	0.0130731	0.00931605	0.0872972	0.212857	0.174867	0.235701	0.0684106	0.0011119	0.19219
v	0.000903701	0.000414735	0.00370158	0.00207587	0.109639	0.210263	0.521381	0.121748	0.0171445	0.000783196	0.0119463
á	0.000807393	0.00119006	0.00478116	0.00662124	0.110149	0.13629	0.456806	0.114227	0.0289349	0.00370643	0.136487
a	0.00127313	0.000786013	0.0109244	0.0042597	0.0709581	0.154026	0.12517	0.399486	0.0849933	0.00226726	0.145857
n	0.000959071	0.00181853	0.0145821	0.00228764	0.0394914	0.11008	0.0349873	0.445077	0.190436	0.0758458	0.0844357
g	0.0019689	0.00325877	0.00926961	0.000564344	0.0291086	0.0851162	0.0762808	0.0668188	0.082875	0.512962	0.131777
ó	4.51063e-05	8.42593e-05	0.000303723	2.10181e-05	0.0026425	0.0128074	0.0348843	0.011493	0.0098525	0.920701	0.00716474
l	1.46063e-05	2.29146e-05	0.000265148	5.03521e-05	0.00263166	0.00672017	0.0289673	0.015931	0.0173779	0.870256	0.0577631
ó	0.000482115	0.000722709	0.00526632	0.00121067	0.0225519	0.0377569	0.0548983	0.140753	0.160556	0.518156	0.0576459
m	0.000284091	0.000195234	0.00165748	0.000371834	0.00663032	0.0146274	0.0448942	0.0692634	0.0768692	0.71389	0.0713172
i	0.00470888	0.00587436	0.0181279	0.00381753	0.0287068	0.0517916	0.023822	0.190173	0.269939	0.0418444	0.361194
y	0.000437631	0.00151746	0.00894826	0.00213725	0.0115456	0.0259212	0.0039888	0.0822147	0.327809	0.0405917	0.494888
a	0.000909852	0.00449875	0.0267514	0.00392326	0.0202691	0.0534863	0.0164429	0.0686906	0.368483	0.123079	0.313466
w	0.000561871	0.00032621	0.00523792	0.000412462	0.00467476	0.0208593	0.00467547	0.0411137	0.691403	0.0602748	0.17046
a	0.000307734	0.000416783	0.00306951	0.00145805	0.00522111	0.0150996	0.00385926	0.112096	0.215236	0.0535426	0.589694
</S>	0.000187252	8.64468e-05	0.00143217	0.000168801	0.00227734	0.00578029	0.00105382	0.0929544	0.268706	0.100707	0.526646
