 	celui	qui	a	perdu	la	raison	dit	de	n'	importe	quoi	</S>
m	0.698705	0.103467	0.0467031	0.0228622	0.0345633	0.0441697	0.0160807	0.0169067	0.00732048	0.00796303	0.000794979	0.000463003
o	0.121293	0.227658	0.0646733	0.0357834	0.213913	0.0328585	0.025595	0.0671158	0.0723209	0.0177452	0.0183742	0.10267
r	0.307119	0.215185	0.0983791	0.138608	0.0877048	0.114911	0.00406999	0.0149978	0.0104413	0.00453741	0.00181709	0.00222967
o	0.175522	0.196137	0.104533	0.102459	0.210124	0.0243741	0.0491076	0.053969	0.0232344	0.0116132	0.0255567	0.0233699
y	0.378418	0.241872	0.259609	0.0422414	0.0291532	0.00739968	0.014609	0.00689544	0.0054758	0.00227667	0.00164557	0.0104033
e	0.410693	0.327098	0.122235	0.0267273	0.0478767	0.00692641	0.0136231	0.0129238	0.0116908	0.00225169	0.00722034	0.0107338
é	0.19307	0.197352	0.143269	0.066335	0.242591	0.024236	0.0605157	0.0251638	0.0187278	0.00527457	0.00504352	0.0184223
k	0.0146757	0.0657179	0.332156	0.376027	0.0470636	0.0166964	0.0433623	0.021599	0.0187639	0.0296667	0.0119598	0.0223116
ω	0.00342092	0.00453233	0.0395702	0.602904	0.0504486	0.118307	0.0741975	0.0322416	0.0137082	0.0449956	0.00613609	0.00953793
n	0.0247098	0.0344134	0.104346	0.30927	0.168173	0.146743	0.0976948	0.0412956	0.0164029	0.0182785	0.0109888	0.0276844
ώ	0.0178285	0.0262799	0.0785007	0.177844	0.149085	0.149243	0.179664	0.0858322	0.0423611	0.0241655	0.0166211	0.0525748
o	0.00860974	0.0261684	0.0602035	0.0528612	0.282247	0.242714	0.243266	0.0505145	0.0192407	0.00658817	0.00217706	0.00540978
b	0.000927771	0.00510937	0.0370089	0.166741	0.190496	0.146317	0.258231	0.102821	0.0384024	0.0181847	0.0275595	0.00820124
h	0.00141225	0.00189967	0.00712403	0.140787	0.06053	0.283185	0.103041	0.151366	0.110999	0.0936596	0.0298659	0.0161305
ó	0.000252431	0.000556216	0.00663682	0.247391	0.0640576	0.333527	0.0640424	0.104884	0.0572674	0.091702	0.0156273	0.0140554
a	0.000792088	0.00381195	0.0184893	0.0973744	0.186357	0.312609	0.0972398	0.131241	0.0720262	0.0134193	0.009076	0.0575638
l	0.00257356	0.00635111	0.0335746	0.0430778	0.118456	0.0429557	0.387246	0.178131	0.10218	0.0434742	0.010329	0.0316508
á	0.00189216	0.0031282	0.0102714	0.0260555	0.0567384	0.0060202	0.188589	0.0880279	0.0720044	0.0811528	0.0659434	0.400177
a	0.00286146	0.00388526	0.00795509	0.00754949	0.161733	0.0223977	0.31725	0.204583	0.163562	0.0419127	0.0199128	0.0463966
t	0.000998613	0.00198886	0.00698256	0.0166541	0.0310449	0.00916987	0.11271	0.130332	0.180593	0.315743	0.146802	0.0469803
i	0.000508435	0.00139865	0.00718133	0.035899	0.0562291	0.0243703	0.0772496	0.160336	0.138005	0.145102	0.253154	0.100567
á	0.000253644	0.000750447	0.00669514	0.0285078	0.059715	0.0366167	0.0431659	0.209991	0.226955	0.115562	0.0689074	0.20288
k	0.00195365	0.00458846	0.0134593	0.0111205	0.0462543	0.012787	0.127895	0.149342	0.240669	0.276673	0.0635948	0.0516626
í	0.000471199	0.000264649	0.000791685	0.00369853	0.0231421	0.0574511	0.102275	0.092245	0.074987	0.341497	0.275211	0.027966
l	0.000297819	0.000284206	0.00100756	0.00436291	0.0339618	0.0549212	0.224059	0.104822	0.0850509	0.211179	0.213325	0.066729
í	9.21064e-05	4.83057e-05	0.000162584	0.00140101	0.0135198	0.0241025	0.046253	0.123975	0.126312	0.280184	0.162379	0.22157
k	0.000344416	0.0005805	0.00339455	0.00358874	0.00783571	0.0042889	0.0322316	0.0646695	0.139641	0.217568	0.312843	0.213015
i	0.000475029	0.000350061	0.00108048	0.00325725	0.00682396	0.012426	0.0590642	0.069055	0.094642	0.372694	0.261028	0.119104
l	0.000154223	0.000188648	0.00060258	0.00201314	0.00974402	0.00865911	0.0342305	0.0755082	0.101909	0.237468	0.380218	0.149305
i	0.000224542	0.000156253	0.000408824	0.00195497	0.00639565	0.00741071	0.0211092	0.0556774	0.0833974	0.221088	0.282748	0.31943
</S>	0.000242944	0.000371481	0.00150653	0.00188767	0.00810476	0.00393773	0.0249006	0.0627119	0.118344	0.211036	0.293716	0.27324
