 	on	lui	a	donné	un	coup	de	crosse	à	la	tête	</S>
á	0.79774	0.17759	0.0118825	0.00342219	0.00198629	0.00232384	0.00169971	0.000774595	0.00061818	0.00165017	0.000173157	0.000139215
p	0.024303	0.0608297	0.248853	0.362283	0.196684	0.0816921	0.00503801	0.00462291	0.00479615	0.00377837	0.00665306	0.000467732
í	0.00354412	0.00327925	0.0515221	0.409203	0.191521	0.273914	0.0147537	0.00956462	0.00743684	0.00702309	0.00310122	0.0251372
m	0.00178435	0.0124626	0.267692	0.404655	0.111563	0.129653	0.00857534	0.00849033	0.0150885	0.00915229	0.00731249	0.0235708
b	0.0156476	0.0214881	0.0770638	0.342516	0.259105	0.189223	0.0547694	0.0171698	0.00659389	0.00266496	0.00139263	0.0123663
i	0.0732459	0.0590755	0.0294233	0.132918	0.160572	0.201822	0.178505	0.0344656	0.0313867	0.0163204	0.00942315	0.0728427
w	0.0735083	0.0904223	0.0502176	0.0600507	0.137011	0.199909	0.271686	0.0659957	0.0151089	0.00693722	0.00309115	0.0260625
á	0.0212467	0.0160317	0.016325	0.0845302	0.174506	0.190461	0.221458	0.141523	0.0537505	0.0304254	0.00601051	0.043733
e	0.0442198	0.0477972	0.0405041	0.028873	0.0562131	0.106288	0.225619	0.197348	0.0684948	0.0272976	0.0232249	0.134121
n	0.000359218	0.000439944	0.00185892	0.00741683	0.027957	0.0798533	0.141566	0.530133	0.143418	0.0361121	0.0149334	0.0159526
g	0.000116966	0.000280571	0.000432582	0.0014187	0.0081471	0.0162936	0.12596	0.664821	0.0970207	0.0515957	0.00420513	0.0297086
í	8.46477e-05	0.00012653	0.000538735	0.00303138	0.0157739	0.0255766	0.0783948	0.757572	0.0642689	0.0365066	0.00953796	0.00858824
r	0.000256631	0.000348836	0.000480936	0.00158526	0.0257147	0.0424279	0.158195	0.456399	0.133172	0.109454	0.0185547	0.0534104
i	0.000572569	0.000913315	0.00178923	0.00535947	0.0292284	0.033244	0.128168	0.421802	0.15912	0.090736	0.00727932	0.121789
i	0.000890152	0.0015233	0.00411974	0.00498202	0.018416	0.015612	0.138501	0.268378	0.191511	0.213099	0.0271805	0.115788
y	0.000643954	0.00103261	0.0022966	0.00640204	0.0181884	0.0242183	0.0231424	0.117824	0.208749	0.269692	0.215956	0.111854
ó	0.000603624	0.00173774	0.00558062	0.00878193	0.0292367	0.0202013	0.0348925	0.0798156	0.174433	0.463138	0.0844738	0.0971043
t	0.000618105	0.0010668	0.00163898	0.00188528	0.0104303	0.0130873	0.0274529	0.124376	0.104704	0.194155	0.357332	0.163254
á	0.000392465	0.000380338	0.000984743	0.00426057	0.0144642	0.0221347	0.0151094	0.0898876	0.198953	0.168705	0.347147	0.13758
s	0.00153011	0.00134464	0.00446599	0.00607773	0.00762031	0.0078035	0.023457	0.0424666	0.123773	0.151167	0.106795	0.5235
í	0.00103739	0.000403949	0.00100515	0.00534722	0.00682896	0.0113726	0.0191796	0.0329198	0.123804	0.220997	0.39521	0.181895
b	0.00968821	0.00615511	0.00428626	0.00246092	0.00446614	0.00412504	0.0160318	0.0196456	0.0502531	0.263157	0.321231	0.298499
o	0.00139745	0.00139702	0.00170201	0.00230301	0.00280518	0.00410153	0.00472169	0.00379234	0.0262238	0.0753873	0.84163	0.0345383
ó	7.37494e-05	0.000155022	0.000947782	0.00283292	0.00311793	0.0015925	0.00289456	0.00321641	0.0156958	0.0436786	0.819198	0.106597
</S>	0.000630767	0.000884531	0.00377583	0.00724962	0.0110746	0.0115876	0.0233788	0.0555893	0.0807227	0.2154	0.116857	0.472849
