 	cet	enfant	ne	peut	plus	jouer	au	ballon	parce	qu'	il	souffre	d'	hémiplégie	</S>
m	0.439359	0.537697	0.00553572	0.00232834	0.00188974	0.00427615	0.00119595	0.00157826	0.00290516	0.00171875	0.000808346	0.00039712	0.000197246	8.22672e-05	3.12504e-05
w	0.0739116	0.911593	0.0113036	3.26543e-05	0.00106969	0.000445468	0.000523368	0.000153719	7.35931e-05	0.000201304	0.000197543	0.000113234	0.000141356	6.54856e-06	0.000233678
á	0.0230005	0.973733	0.000610423	0.000655356	0.000244752	0.000499362	0.000186277	0.000373954	0.000144321	0.000138514	0.000193948	6.66362e-05	6.72806e-05	6.63175e-05	1.90879e-05
n	0.130142	0.811741	0.00569504	0.00339991	0.00450585	0.00397802	0.00234086	0.000761609	0.00820492	0.00660757	0.00502024	0.00113152	0.00140639	0.0012248	0.0138402
a	0.122641	0.408698	0.0669481	0.00675796	0.0338276	0.0181113	0.0217547	0.0134734	0.0257975	0.0471505	0.067634	0.0245575	0.00731832	0.00911877	0.126211
w	0.638029	0.204691	0.0581549	0.0100748	0.0104784	0.00438033	0.00732583	0.0044235	0.00900676	0.00799677	0.00825649	0.00898816	0.0108419	0.00311668	0.0142362
ó	0.0721678	0.0453885	0.107092	0.0220067	0.0519718	0.0447134	0.0486562	0.0433887	0.0743542	0.0565256	0.0887712	0.112045	0.0744067	0.0619437	0.0965678
a	0.0324723	0.00772899	0.459463	0.044449	0.050621	0.0119044	0.025485	0.0113213	0.0131688	0.0243371	0.0500856	0.0704851	0.0435738	0.00775823	0.147146
b	0.00193822	0.00125829	0.407707	0.360572	0.0729803	0.0241133	0.0210913	0.00660709	0.00219752	0.00352943	0.00723968	0.0157355	0.0142954	0.0220622	0.0386726
h	0.00198879	0.00345865	0.140361	0.571169	0.138223	0.0759802	0.0155152	0.00380427	0.00625649	0.00534865	0.00692268	0.00387208	0.00903527	0.0141683	0.00389693
i	0.00138596	0.00202932	0.0799998	0.748124	0.0965101	0.0528555	0.00652813	0.00139605	0.00149872	0.00109293	0.00121073	0.000699758	0.00173264	0.00345342	0.00148339
d	0.00336119	0.00749897	0.11698	0.455774	0.179476	0.119803	0.0350663	0.017759	0.015332	0.00640483	0.00492956	0.00223158	0.00204858	0.00573897	0.0275963
i	0.00896889	0.00260087	0.0775244	0.171682	0.319789	0.115582	0.0719746	0.116922	0.0100383	0.0124245	0.0102583	0.00895624	0.00607376	0.00259419	0.0646101
n	0.00197038	0.0013102	0.074532	0.0899149	0.370342	0.287621	0.0473332	0.0488126	0.0277158	0.00934893	0.00853123	0.00867872	0.00498559	0.00255738	0.0163463
g	0.0224494	0.0183484	0.0938467	0.0242378	0.494896	0.144642	0.0435853	0.0390139	0.0155034	0.0177893	0.0176348	0.0125505	0.00554768	0.00278598	0.0471686
a	0.0128468	0.056943	0.0677814	0.0491565	0.379549	0.307812	0.0302329	0.0274186	0.0148818	0.0073446	0.00813659	0.00920294	0.0054349	0.010323	0.0129355
o	0.00242819	0.000366996	0.120117	0.00766134	0.495492	0.136501	0.0952526	0.0541276	0.00762107	0.0118619	0.0162347	0.0159546	0.00633053	0.00246216	0.0275888
b	0.000178719	1.70237e-05	0.0252071	0.031169	0.363188	0.275352	0.202734	0.0725483	0.00447312	0.00195765	0.00146712	0.00299827	0.00196028	0.0040302	0.0127195
v	0.00332584	0.000302476	0.00839908	0.0756885	0.071336	0.280755	0.115334	0.264534	0.101592	0.0182883	0.0122885	0.0116567	0.00310188	0.0102844	0.0231135
ú	0.000397475	5.46866e-05	0.00198983	0.0564838	0.0725888	0.566991	0.0620475	0.0951267	0.0833698	0.0148001	0.00929872	0.00657043	0.00420385	0.0148824	0.0111954
r	0.0112145	0.000549817	0.00758994	0.0106008	0.111924	0.3876	0.1079	0.281003	0.0375053	0.0083774	0.00623877	0.00489413	0.00191347	0.0031104	0.0195784
á	0.00348748	0.000778368	0.00722528	0.0017099	0.0846317	0.182837	0.136962	0.411082	0.0730931	0.0370912	0.0159007	0.00810101	0.0034663	0.00221907	0.0314144
o	0.00250238	0.000193772	0.0128612	0.00219558	0.0507467	0.0541459	0.229767	0.118796	0.196269	0.170924	0.0945921	0.0210308	0.0114935	0.0125813	0.0219002
b	0.000502385	8.31495e-05	0.0118434	0.0114692	0.0316416	0.0805184	0.286988	0.331434	0.0440383	0.0378575	0.0450849	0.0298404	0.00817445	0.0615173	0.0190067
έ	0.000598764	0.000918538	0.020149	0.051029	0.0438245	0.297302	0.112692	0.12662	0.0441596	0.011293	0.0126947	0.0116637	0.00655598	0.24422	0.0162799
r	0.000123191	1.28909e-05	0.00157949	0.00296095	0.0264322	0.0554338	0.153934	0.25611	0.0622435	0.0281107	0.0312913	0.0357587	0.0136403	0.0457012	0.286668
ε	0.00305924	0.000675091	0.0074136	0.00577989	0.0795796	0.238126	0.134489	0.257193	0.0962401	0.0437816	0.0220032	0.0363914	0.00745832	0.0082026	0.0596075
k	0.000889821	0.000150636	0.00309612	0.000368071	0.0203716	0.0378027	0.108397	0.0861779	0.273494	0.227067	0.146891	0.0387216	0.0143842	0.0148434	0.0273445
a	0.000693824	0.000282931	0.00240909	0.00211101	0.0173918	0.0657861	0.0478883	0.15944	0.312342	0.134926	0.121338	0.081073	0.00605391	0.0217809	0.026483
á	0.000872797	0.000569806	0.000765902	0.00183778	0.00498134	0.0501405	0.0204699	0.0631197	0.309355	0.107792	0.117297	0.0644045	0.0064618	0.0880479	0.163884
t	0.00013888	2.7162e-05	0.00208224	0.000364572	0.00369809	0.00224352	0.0209588	0.0130485	0.100374	0.249172	0.299473	0.0753783	0.0454087	0.0284825	0.15915
s	0.000559342	7.95409e-05	0.00272412	0.00233048	0.00911917	0.0132628	0.0299883	0.0882774	0.174503	0.148673	0.19096	0.173394	0.024585	0.0550649	0.086479
í	0.000662674	2.40595e-05	0.000660272	0.00238884	0.00542063	0.0387948	0.0185606	0.0472149	0.294058	0.188829	0.203499	0.103365	0.01677	0.0473548	0.0323968
n	0.000671573	0.000583731	0.0037056	0.0019584	0.0175555	0.108147	0.0369944	0.0516651	0.156308	0.155722	0.193261	0.0811236	0.0220633	0.104634	0.0656077
a	0.0149963	0.0078681	0.00535728	0.000212589	0.0207823	0.0265254	0.0237858	0.0201995	0.107807	0.289432	0.310058	0.0570579	0.010746	0.0123949	0.0927767
á	0.000459687	3.42147e-05	0.00289228	5.75567e-05	0.00303004	0.00171843	0.00913841	0.0091495	0.0326187	0.11231	0.280962	0.237364	0.124142	0.0192607	0.166863
m	0.000662684	4.49746e-05	0.011352	0.00876836	0.0193206	0.0117608	0.0215363	0.00789492	0.00231931	0.00663538	0.0322275	0.119942	0.146604	0.471627	0.139304
i	0.000273385	3.26537e-05	0.0074174	0.000702264	0.00478525	0.00786495	0.0120137	0.00911696	0.00788119	0.0137824	0.0389628	0.16948	0.283732	0.213542	0.230412
b	0.000261323	3.76657e-05	0.00668266	0.00333379	0.00848022	0.00814008	0.0119609	0.00979961	0.00244603	0.00615035	0.0156307	0.103609	0.108655	0.368465	0.346347
έ	7.49926e-06	1.06855e-05	0.000735164	0.00343381	0.00260729	0.0141973	0.0107323	0.0142926	0.0036251	0.00290948	0.00798586	0.0537353	0.101995	0.671874	0.111859
r	0.00013471	2.27923e-05	0.000984843	0.000425955	0.00303664	0.00668549	0.0238001	0.0422979	0.0177911	0.0221191	0.0559819	0.18843	0.089113	0.171784	0.377392
έ	0.00263156	0.000146998	0.00250141	0.00191517	0.0137995	0.0381504	0.0383044	0.0494634	0.196609	0.202865	0.188249	0.101277	0.0240285	0.0690557	0.0710037
w	0.000117127	2.74848e-05	0.000381425	0.000116779	0.00110611	0.00254834	0.00581811	0.0142943	0.0345609	0.0594895	0.0940031	0.128081	0.123039	0.128044	0.408373
a	0.000357812	0.000235343	0.000836638	0.00077761	0.0041576	0.00680654	0.0102564	0.0119858	0.226556	0.276283	0.297242	0.0738299	0.0378968	0.0359168	0.016862
e	0.000171385	2.51939e-05	0.0001108	4.34221e-05	0.000463059	0.000690366	0.00217334	0.0065751	0.0677113	0.0788575	0.115028	0.226171	0.146205	0.0641126	0.291662
s	0.000200125	4.02811e-05	0.00413654	0.00131592	0.00690655	0.00279997	0.0220105	0.0146316	0.0136995	0.0249165	0.0511434	0.174411	0.176907	0.126878	0.380003
ú	0.000356574	2.24753e-05	0.000667189	0.000201566	0.00251658	0.00323743	0.00771202	0.0144633	0.00434015	0.00994594	0.0226449	0.100885	0.152695	0.184972	0.495339
l	0.000731568	4.4361e-05	0.000185329	1.32966e-05	0.0010625	0.00194837	0.0108614	0.0898357	0.01277	0.0166675	0.0226612	0.171161	0.117559	0.0151824	0.539317
u	0.000227933	1.69353e-05	0.000422305	0.000108161	0.00257168	0.00453185	0.0155458	0.0353634	0.0587909	0.0474932	0.0429279	0.155837	0.176313	0.0594245	0.400426
</S>	9.90832e-05	1.09041e-05	0.00064267	5.857e-05	0.00112961	0.00087653	0.00573547	0.00781691	0.011655	0.0169034	0.0217363	0.0902516	0.123892	0.0456402	0.673552
