 	il	faut	attiser	le	feu	qui	est	éteint	</S>
k	0.292037	0.568044	0.0506285	0.0410124	0.0131563	0.0319058	0.00274953	0.00036826	9.75173e-05
á	0.0673349	0.663984	0.250269	0.0106188	0.00147649	0.00326911	0.00107161	0.00131259	0.000663183
a	0.220751	0.483907	0.178008	0.0175738	0.0575038	0.0266445	0.0030271	0.00658005	0.00600521
l	0.493522	0.137266	0.060565	0.149233	0.0537054	0.0544664	0.0259625	0.000972789	0.0243075
é	0.176101	0.115478	0.0642198	0.14079	0.0672344	0.0899181	0.0754629	0.00496958	0.265826
e	0.208214	0.0879392	0.0421404	0.336338	0.132561	0.0581461	0.050399	0.00427769	0.0799843
k	0.0116947	0.0435747	0.345632	0.304925	0.105333	0.0329181	0.0355983	0.0486839	0.0716398
ú	0.00527939	0.0367738	0.662034	0.241104	0.015744	0.0220231	0.00342694	0.00592854	0.0076865
á	0.00946951	0.0686349	0.297897	0.435367	0.035764	0.0955383	0.00613645	0.00384796	0.0473449
m	0.00414601	0.00285464	0.00713476	0.535898	0.188508	0.215185	0.0373337	0.00157125	0.00736874
í	0.000100109	5.17526e-05	0.000814091	0.00617107	0.840922	0.074842	0.0388024	0.022394	0.0159024
á	0.00405627	0.000859947	0.00146924	0.0330114	0.684097	0.133322	0.0659761	0.073058	0.00415012
m	0.00222957	0.00143351	0.00279775	0.0417045	0.127524	0.386333	0.356173	0.0182773	0.0635278
í	6.47658e-05	1.92175e-05	0.000422889	0.00326329	0.288179	0.149126	0.347651	0.187327	0.0239469
í	0.00124004	0.000502515	0.000824458	0.0191934	0.189816	0.209186	0.374209	0.181589	0.0234396
m	0.000650473	0.00138451	0.00275229	0.0108332	0.0172752	0.0788015	0.773026	0.0705893	0.0446873
i	0.000124038	6.10596e-05	0.000342098	0.00240448	0.0197777	0.0597133	0.303935	0.564795	0.0488465
d	2.68865e-05	7.51144e-05	0.00137624	0.00210913	0.0066365	0.0133868	0.0671612	0.88978	0.019448
í	2.02133e-05	5.46969e-05	0.00104867	0.00272224	0.00241874	0.0116349	0.113687	0.748463	0.119951
m	0.00103509	0.000146562	0.000658639	0.0129752	0.0364247	0.101651	0.213202	0.35898	0.274927
a	0.000114473	0.000105682	0.000609354	0.00596463	0.0231039	0.14547	0.424712	0.257881	0.142039
m	0.000275266	0.000158815	0.000677403	0.0108393	0.0100975	0.0785353	0.161659	0.115949	0.621809
í	0.000405956	0.000115393	0.000461101	0.00520205	0.0348609	0.0903302	0.244817	0.520976	0.102832
i	0.00767163	0.00175026	0.00119382	0.0136583	0.0314175	0.0572122	0.130218	0.493761	0.263118
</S>	0.00106678	0.000663552	0.00401095	0.0181604	0.0141834	0.0436619	0.20617	0.154346	0.557737
