 	le	chef	coutumier	a	eu	un	problème	grave	</S>
k	0.580697	0.345054	0.018194	0.00666232	0.000805938	0.00782554	0.0374201	0.00213137	0.00120973
á	0.0146332	0.968636	0.0135778	0.000137274	0.000110542	0.000346137	0.0017555	0.000561331	0.000242458
n	0.185656	0.525908	0.204259	0.0137646	0.00298158	0.0200134	0.0111898	0.00189422	0.0343334
i	0.109592	0.865929	0.00385208	0.000852384	0.000234759	0.00175135	0.000545371	0.00117173	0.0160708
y	0.769273	0.0675614	0.0469838	0.0587612	0.011179	0.011728	0.00675146	0.00914393	0.0186177
a	0.56562	0.0964327	0.0789816	0.107609	0.0508443	0.0300162	0.0107989	0.0295101	0.0301875
p	0.540953	0.0208959	0.149112	0.129358	0.0527361	0.0243562	0.00853655	0.0144373	0.0596152
o	0.274699	0.0718478	0.411762	0.0796266	0.0427343	0.013655	0.0112236	0.0340458	0.0604065
o	0.282414	0.0234381	0.298484	0.212867	0.109452	0.0168677	0.00442559	0.0145894	0.0374624
á	0.0104606	0.000161353	0.00238557	0.662287	0.208883	0.0517147	0.0203993	0.00482752	0.0388808
m	0.00571504	0.00101065	0.0011374	0.0931685	0.620718	0.136602	0.0640481	0.0376922	0.0399084
i	0.00418339	0.000434223	0.00293558	0.0990548	0.171134	0.38603	0.231757	0.0383813	0.0660891
d	0.00250346	0.00336933	0.00313466	0.0343026	0.409762	0.246488	0.195807	0.0658045	0.0388283
i	0.00418427	0.000288809	0.000174524	0.0170337	0.297355	0.457703	0.0855988	0.0691095	0.0685524
á	0.00362304	4.64431e-05	0.000119437	0.0251068	0.0980641	0.603216	0.152298	0.0417233	0.0758024
o	0.00609564	0.000782645	0.00232695	0.0546583	0.118992	0.309521	0.270644	0.182979	0.0540016
t	0.00418221	0.00585354	0.0011346	0.00218892	0.0340812	0.172828	0.279838	0.460376	0.0395176
ó	0.00106716	0.00624244	0.0109834	0.00487665	0.0282952	0.0883632	0.0502638	0.692945	0.116964
n	0.000704736	0.000679072	0.000398121	0.0178202	0.0942404	0.116628	0.0885307	0.484295	0.196704
g	0.00548558	0.0213532	0.00464179	0.0281613	0.0406548	0.240738	0.186425	0.263656	0.208884
i	0.00640622	0.0253177	0.0212005	0.0228831	0.0364516	0.193263	0.0661283	0.321185	0.307164
</S>	0.00435049	0.00170287	0.000914937	0.0164416	0.00946502	0.111883	0.161523	0.142835	0.550885
