 	les	femmes	qui	sont	revenues	du	campement	ont	ramené	beaucoup	de	silures	enroulés	et	fumés	</S>
a	0.625693	0.291299	0.0388254	0.0198736	0.00158556	0.00627842	0.00375141	0.000857438	0.000166751	0.00165138	0.00377091	0.00436704	0.000127455	0.00149853	0.000216069	3.7683e-05
y	0.00878112	0.978141	0.0113416	0.000526698	2.20396e-05	0.000215468	8.92364e-05	1.87548e-05	9.61067e-05	0.000131633	0.000115257	0.000110397	0.00014819	0.000157373	5.56583e-05	4.8934e-05
ú	0.2691	0.645009	0.0632474	0.0127705	0.000509399	0.000988537	0.000581612	0.000398973	0.000500357	0.00431347	0.0005871	0.00032861	4.71285e-05	0.000166194	0.000824029	0.000627308
r	0.550712	0.164393	0.195492	0.0139172	0.00066827	0.00758157	0.00233276	0.0016755	0.00288289	0.0207	0.00680879	0.00790109	0.000485526	0.00353599	0.00134057	0.0195728
u	0.63605	0.158599	0.16155	0.024444	0.00108179	0.00356506	0.000653114	0.000353803	0.000806245	0.00439111	0.00186633	0.00222328	0.000330596	0.00102173	0.00066745	0.00239691
b	0.0571516	0.0108967	0.333016	0.411568	0.0814509	0.0396752	0.00738782	0.00669859	0.00966375	0.00717077	0.00529464	0.00548773	0.000314236	0.0106484	0.00303109	0.0105451
á	0.255761	0.0126282	0.116343	0.242477	0.0847452	0.0770879	0.0103203	0.0152655	0.00978643	0.0158056	0.0306627	0.0312188	0.00552721	0.0575324	0.0126192	0.02222
á	0.0454861	0.00812231	0.14592	0.31457	0.321699	0.0527619	0.0161703	0.0127359	0.0077641	0.00625041	0.0105102	0.0199568	0.00566712	0.0158351	0.00288004	0.0136708
w	0.00243882	0.00246847	0.0578688	0.0666331	0.181951	0.298668	0.127841	0.0428561	0.111823	0.0118531	0.0165421	0.0201947	0.0106045	0.0118108	0.0010836	0.0353643
ú	0.00220456	0.00120677	0.0521192	0.0533819	0.132684	0.294897	0.155635	0.0674606	0.0900737	0.0273544	0.0339875	0.0313735	0.0237268	0.0121978	0.000865527	0.0208308
r	0.111907	0.00482544	0.0597845	0.0416551	0.10624	0.351742	0.103379	0.0372313	0.0380249	0.0234542	0.0258782	0.0229892	0.0164338	0.0168622	0.000570328	0.0390229
ú	0.112395	0.00499825	0.0836349	0.165468	0.0814021	0.381412	0.0333488	0.00751847	0.0084965	0.0620018	0.0257021	0.0114925	0.00182222	0.00828777	0.00221326	0.00980652
d	0.0101201	0.00100124	0.0542918	0.10973	0.307462	0.28359	0.0652395	0.0560753	0.023945	0.0460082	0.0191455	0.00840722	0.00290478	0.00612022	0.00288056	0.00307849
i	0.0317083	0.00121738	0.0126981	0.00688773	0.0120481	0.352135	0.203575	0.0130187	0.0443619	0.173823	0.0646477	0.0192726	0.00202439	0.00578836	0.00787383	0.0489205
i	0.0108173	0.000174283	0.00855319	0.00836902	0.0241898	0.148351	0.209687	0.0518163	0.0827554	0.18518	0.160548	0.0573759	0.0111036	0.0121354	0.00866888	0.0202755
á	0.00246831	0.000295354	0.00390805	0.00441589	0.00837696	0.0882122	0.0622237	0.100603	0.169493	0.122393	0.193822	0.140506	0.060226	0.0271155	0.00138355	0.0145582
y	0.00163553	0.000625528	0.0039302	0.0015672	0.00159124	0.0132202	0.0260851	0.0328922	0.359958	0.0793013	0.216248	0.15244	0.0644754	0.0329685	0.00247233	0.0105882
ε	0.00125292	0.000199697	0.00213807	0.000866238	0.00182168	0.00594757	0.0107179	0.0176271	0.550103	0.229139	0.0963711	0.0271693	0.0282281	0.00570481	0.00162406	0.0210894
i	0.000548902	3.29355e-05	0.000767672	0.00075573	0.00282503	0.0211015	0.0156456	0.0234715	0.310179	0.204198	0.14873	0.0762156	0.0236287	0.0261539	0.00189973	0.143846
l	0.00193348	0.000162279	0.00190488	0.00259285	0.00467529	0.0122026	0.0102224	0.0216719	0.134435	0.263334	0.243214	0.156364	0.0201599	0.0690261	0.0194623	0.0386386
a	0.0151071	0.00130942	0.00220311	0.00176166	0.00131395	0.0143682	0.00327337	0.00402704	0.150724	0.152886	0.215466	0.204032	0.0436698	0.109878	0.0161274	0.0638525
t	0.00154842	0.000572964	0.00166316	0.00107997	0.00107692	0.0058127	0.00111276	0.00198986	0.0351462	0.156817	0.185078	0.206758	0.146087	0.145818	0.0579135	0.0515253
ó	0.000618784	0.000617863	0.000757568	0.000440738	0.000827982	0.00290985	0.00300895	0.0115531	0.0589419	0.0425836	0.136381	0.144818	0.509925	0.0388482	0.0125509	0.0352168
