 	il	a	accompagné	l'	enfant	au	village	</S>
w	0.959169	0.0267183	0.00015825	0.00844925	0.00258046	0.00271729	0.000136615	7.10262e-05
a	0.919623	0.0425204	7.73453e-05	0.0179015	0.0141723	0.00567439	1.91233e-05	1.21148e-05
á	0.196665	0.609219	0.0189808	0.129386	0.0160651	0.0275073	0.000208391	0.00196797
d	0.0469091	0.500333	0.278491	0.0223136	0.00922606	0.0690884	0.00906761	0.0645717
z	0.00824634	0.334778	0.215766	0.0122159	0.00577759	0.010773	0.000403902	0.412039
w	0.134011	0.368613	0.401309	0.0331771	0.0556098	0.000968081	0.000880249	0.00543207
e	0.107791	0.252125	0.190322	0.21884	0.135779	0.026435	0.00238977	0.0663174
o	0.0260275	0.139486	0.393552	0.349109	0.0172858	0.0269488	0.00774954	0.0398408
y	0.00223651	0.0438224	0.882661	0.0453329	0.0138826	0.00199171	0.00376874	0.00630389
í	3.16774e-05	0.00417643	0.979672	0.0116603	0.000922681	0.000295687	0.00108242	0.00215872
á	0.000758454	0.0368547	0.816248	0.036582	0.0068033	0.0117384	0.00222483	0.0887904
m	0.00570459	0.0951562	0.14382	0.385667	0.0103626	0.215545	0.00486634	0.138878
w	0.00224348	0.00844294	0.00433226	0.0356171	0.922043	0.0114657	0.00138682	0.014469
á	0.00176581	0.000446542	0.000251666	0.00143727	0.9928	0.000418792	0.000581846	0.00229784
n	0.0262481	0.0160977	0.000604973	0.125515	0.676691	0.11829	0.000523845	0.0360292
a	0.0165125	0.00825731	0.005702	0.0856375	0.754235	0.0195183	0.000242682	0.109895
ó	0.0108835	0.0341638	0.0217583	0.315044	0.0290151	0.540731	0.00889434	0.0395092
p	0.00232192	0.0604587	0.105241	0.0916994	0.0397155	0.240858	0.421391	0.0383145
o	0.000138066	0.00576068	0.0436423	0.0145742	0.00248128	0.036813	0.806884	0.0897061
o	0.000126144	0.00276752	0.0351225	0.0447927	0.000853742	0.100067	0.603125	0.213146
</S>	0.000479599	0.00782717	0.00338113	0.0281668	0.00134462	0.365066	0.0234698	0.570265
