 	il	a	des	gestes	brusques	</S>
w	0.736153	0.213501	0.0433751	0.00561214	0.00116283	0.000195703
a	0.745392	0.203633	0.0481187	0.00184247	0.000854133	0.00015907
a	0.0544768	0.462426	0.400262	0.0788798	0.000219773	0.00373641
d	0.0179645	0.153224	0.151147	0.639222	0.0154239	0.0230181
í	0.0228922	0.331754	0.233088	0.326272	0.00410244	0.0818909
o	0.00446387	0.0283736	0.0532186	0.432222	0.175543	0.306179
t	0.00209957	0.00821326	0.0132857	0.133841	0.645783	0.196777
s	9.46091e-05	0.0029635	0.00438262	0.197	0.748091	0.0474691
a	0.00593898	0.0231925	0.0558665	0.184443	0.581649	0.14891
</S>	0.00240732	0.00389514	0.0168442	0.00863801	0.0315153	0.9367
