 	ce	n'	est	pas	mon	affaire	c'	est	ton	affaire	</S>
d	0.264023	0.33774	0.10187	0.045802	0.0171165	0.102711	0.0478065	0.0256542	0.0301398	0.0095282	0.0176091
í	0.190017	0.165664	0.0662108	0.039905	0.113176	0.0325565	0.0672651	0.0609548	0.140019	0.00588071	0.118351
i	0.0432672	0.142136	0.111508	0.0483296	0.125049	0.0649295	0.104553	0.108182	0.0565704	0.0255293	0.169948
l	0.0465803	0.131258	0.166925	0.0346281	0.0333525	0.0769307	0.0474811	0.0272741	0.01605	0.010746	0.408774
á	0.0201693	0.0202017	0.0329735	0.0125889	0.0353162	0.0418559	0.0757944	0.0516688	0.0398175	0.00724571	0.662368
n	0.230399	0.0328441	0.0249302	0.0140085	0.330735	0.0732576	0.0756962	0.0189688	0.0820535	0.0256369	0.0914698
g	0.011467	0.00502322	0.00257608	0.00149867	0.919241	0.00406741	0.00384033	0.00147904	0.0433557	0.00138504	0.00606667
á	0.0226585	0.0357206	0.0252236	0.0154705	0.691676	0.0236614	0.0158541	0.0055854	0.0949522	0.00234441	0.0668531
k	0.0734652	0.0403441	0.175052	0.126422	0.112034	0.248914	0.0909154	0.0523316	0.0393447	0.0166336	0.0245429
a	0.0372523	0.0524011	0.0507817	0.0732933	0.0358991	0.242298	0.243769	0.0941507	0.0163494	0.0840719	0.0697343
á	0.00638938	0.0452694	0.0697619	0.0754642	0.10263	0.23756	0.167115	0.0690881	0.0704624	0.0601659	0.0960936
l	0.0146191	0.00875568	0.125673	0.0844362	0.104387	0.166566	0.228373	0.130603	0.0672213	0.0171024	0.0522627
á	0.00499024	0.00546062	0.0416722	0.072518	0.0917108	0.064453	0.114818	0.134613	0.0747853	0.0244186	0.37056
n	0.0181352	0.00617539	0.0436089	0.125738	0.309175	0.10866	0.120547	0.0770613	0.0864356	0.07389	0.0305738
ω	0.00197777	0.00148537	0.00504059	0.0140187	0.672695	0.0189555	0.031838	0.0195046	0.201833	0.00940921	0.0232424
</S>	0.00147341	0.00520249	0.0348835	0.0377421	0.0458327	0.10675	0.133481	0.152502	0.258966	0.0745599	0.148607
