 	j'	ai	abattu	l'	arbre	otsányii	dans	mon	champ	</S>
n	0.725561	0.138785	0.120674	0.00594452	0.00624155	3.24421e-05	0.000703911	0.00180374	0.000196859	5.66264e-05
g	0.952154	0.0408015	0.00305418	0.00116907	0.000309381	1.54912e-05	0.000355145	0.00140608	0.000715046	1.98695e-05
á	0.816951	0.165933	0.0114471	0.00287258	0.000588841	6.17545e-05	0.00020575	0.000983851	0.000952287	4.38846e-06
í	0.0529798	0.384824	0.185302	0.107614	0.0237324	0.000992358	0.00730624	0.108452	0.0007036	0.128092
k	0.00841629	0.080452	0.796499	0.0867125	0.00712617	0.0130092	0.00308384	0.00141534	3.0759e-05	0.00325453
w	0.00137754	0.0107838	0.897243	0.0644521	0.0204432	0.00257364	0.00133842	0.000367871	7.42852e-06	0.00141267
e	0.0118331	0.0564422	0.370464	0.362734	0.156058	0.0205292	0.0203567	0.000842921	1.37129e-05	0.000725715
r	0.00365519	0.0150566	0.21503	0.377639	0.274518	0.0618805	0.0366726	0.00160166	0.000680837	0.0132656
i	0.00219657	0.0153261	0.17158	0.449494	0.230017	0.0376079	0.031367	0.0250195	0.00478549	0.0326061
o	0.0148865	0.169445	0.022391	0.189635	0.511678	0.0451019	0.0291706	0.00536804	0.00293501	0.00938852
t	5.00174e-05	0.000739411	0.00486407	0.0359268	0.0872717	0.842495	0.0247899	0.0014162	0.000817975	0.00162933
s	1.26416e-05	0.000286586	0.0281054	0.0898439	0.12949	0.718684	0.027558	0.000179005	0.0006095	0.00523143
á	2.4865e-05	0.000934676	0.0754341	0.193872	0.178854	0.489148	0.0558351	0.000258845	0.00135025	0.00428721
n	0.000651391	0.00960785	0.0132373	0.106903	0.40888	0.116326	0.195901	0.0438834	0.000774598	0.103836
y	0.000705483	0.00420492	0.010132	0.0558996	0.0812979	0.419735	0.0959987	0.157605	0.0347015	0.13972
i	0.000818512	0.00107779	0.000686221	0.00939735	0.0124673	0.734221	0.0751402	0.0432186	0.0962094	0.0267633
i	1.59511e-05	0.000412519	0.00163803	0.0179396	0.0380433	0.618699	0.275984	0.00228986	0.027675	0.0173033
s	0.000298641	0.00132514	0.00233772	0.0163163	0.0983898	0.0271693	0.732391	0.0620028	0.0101625	0.0496064
á	0.000569194	0.000651867	0.00170631	0.0106605	0.027984	0.20104	0.274924	0.291099	0.0349905	0.156374
n	0.00322146	0.00485709	0.000402227	0.00245899	0.00495226	0.0784355	0.124061	0.131377	0.632867	0.0173675
g	0.00168853	0.000901422	0.00016371	0.0014367	0.000913727	0.00738411	0.0278951	0.246668	0.696744	0.0162046
o	0.000232666	9.57413e-05	6.62731e-06	6.99927e-05	6.27341e-05	0.00180996	0.00153464	0.00759551	0.988287	0.00030557
n	1.36554e-05	3.03779e-05	1.63983e-05	0.000177842	0.000176047	0.0152124	0.00350227	0.00637178	0.970512	0.00398718
d	0.000387543	0.000792072	0.00261407	0.00945343	0.00369718	0.0143442	0.191951	0.0315579	0.0486253	0.696577
a	0.00105983	0.000361911	0.000646923	0.0013838	0.000357959	0.00989757	0.0108821	0.00700312	0.88233	0.0860773
</S>	0.00092856	0.000344487	0.000834206	0.00195821	0.00471832	0.006729	0.0807214	0.0729394	0.103124	0.727703
