 	on	a	fait	courir	le	bruit	de	sa	mort	</S>
á	0.912229	0.0406197	0.0123849	0.00291591	0.0166759	0.00358154	0.00296246	0.00839887	0.000186474	4.50056e-05
m	0.0436874	0.399545	0.446892	0.0854803	0.01524	0.0040396	0.00173497	0.00186323	0.00113139	0.000386007
i	0.00259104	0.140926	0.517555	0.217505	0.0306993	0.0126291	0.00705567	0.00270204	0.0123987	0.0559379
b	0.000730445	0.113171	0.800448	0.0418911	0.00539809	0.00511435	0.0024333	0.00176375	0.00363527	0.025414
h	0.00105028	0.0333018	0.869428	0.0256002	0.0117772	0.0197266	0.00713342	0.00252474	0.00708281	0.0223755
é	0.000469336	0.00964234	0.95423	0.0110541	0.00456522	0.0108545	0.00202133	0.000644885	0.00190902	0.00460875
m	0.0110498	0.0503093	0.558738	0.233467	0.0779728	0.0369046	0.00764063	0.00154821	0.00291861	0.0194511
b	0.0157708	0.0223704	0.174449	0.636592	0.0698839	0.0241671	0.0137384	0.00395677	0.00181604	0.0372558
í	0.00543124	0.0117032	0.138155	0.699361	0.0851577	0.0316131	0.0131169	0.00232283	0.00200371	0.0111352
s	0.0135727	0.042951	0.043277	0.157793	0.542533	0.0999835	0.0418083	0.0346421	0.00458118	0.018858
á	0.000603831	0.00379997	0.0175243	0.121952	0.407211	0.261064	0.0945154	0.0364433	0.0256501	0.0312361
t	0.00544562	0.00615591	0.0064941	0.0429932	0.352408	0.406982	0.0853582	0.0589388	0.0244553	0.0107687
s	0.000499448	0.00115006	0.00385914	0.00550304	0.116368	0.798926	0.030416	0.00355307	0.0256238	0.0141015
a	0.00016572	0.000463723	0.00640181	0.0213692	0.164232	0.614937	0.109536	0.0238938	0.0370952	0.0219053
n	0.000280748	0.00101918	0.00727831	0.0299006	0.121441	0.428422	0.0807238	0.0127689	0.0374583	0.280707
g	0.000655128	0.00401144	0.0180945	0.105745	0.180139	0.340833	0.15022	0.0534442	0.0309977	0.11586
e	0.00050653	0.00169615	0.0066375	0.310721	0.185841	0.219984	0.116793	0.0448701	0.0204377	0.0925134
y	0.00109014	0.007156	0.00459974	0.010374	0.134851	0.130273	0.399642	0.224663	0.0333017	0.0540498
á	0.00314062	0.0343324	0.00724065	0.014969	0.12892	0.108875	0.258554	0.300808	0.117801	0.0253593
l	0.00901919	0.0153313	0.00697295	0.00852905	0.0447228	0.055244	0.19943	0.489138	0.162562	0.00905053
e	0.0152245	0.00871315	0.00618183	0.0190612	0.0275436	0.0413693	0.182474	0.195834	0.378064	0.125534
k	0.000200389	0.00163205	0.000901674	0.00143535	0.0305498	0.107357	0.31074	0.167898	0.331709	0.0475769
ú	8.26438e-05	0.000479339	0.00246289	0.00124364	0.0310103	0.186552	0.369982	0.0630899	0.275061	0.0700365
l	5.37111e-05	0.000471456	0.00271449	0.00342668	0.0413743	0.198087	0.192061	0.037822	0.237874	0.286115
á	9.47823e-05	0.000393431	0.0022906	0.0017512	0.0324408	0.0921136	0.220538	0.169794	0.206871	0.273712
w	0.00358762	0.00725844	0.00882813	0.0120292	0.0229786	0.020766	0.0970134	0.421899	0.219187	0.186452
a	0.00231661	0.00214137	0.00665979	0.0046668	0.026939	0.0452702	0.12566	0.326373	0.379786	0.0801869
</S>	0.000703388	0.000884743	0.000734703	0.000740226	0.0089619	0.0195059	0.0818086	0.17803	0.348826	0.359805
