 	le	bras	fracturé	de	cette	enfant	s'	est	rétréci	</S>
m	0.447421	0.30289	0.127907	0.0641388	0.0401105	0.00573576	0.00743619	0.00251708	0.000205983	0.0016381
w	0.239297	0.313321	0.0651248	0.0388399	0.0245323	0.230406	0.0561301	0.00500161	0.00355906	0.0237884
á	0.0119321	0.0370724	0.0103554	0.00793872	0.00778583	0.923459	0.00109606	5.9287e-05	8.37613e-05	0.00021691
n	0.244605	0.305575	0.0175098	0.0180668	0.0203606	0.352749	0.0151685	0.00227912	0.00131955	0.0223666
a	0.0397171	0.0249276	0.0147663	0.0132438	0.0426904	0.756982	0.0739867	0.00637802	0.00679085	0.020517
w	0.441922	0.120998	0.157176	0.0390644	0.196788	0.00767472	0.0106973	0.00921667	0.00851431	0.00794928
o	0.219703	0.0685027	0.170668	0.0728085	0.0937663	0.0631251	0.171042	0.0474972	0.00628245	0.0866049
e	0.252278	0.0848152	0.21945	0.195506	0.0706592	0.035687	0.0413902	0.0379499	0.00214147	0.0601236
b	0.182857	0.0935448	0.130672	0.234275	0.10642	0.0359667	0.0627117	0.0662239	0.00892896	0.0784
ώ	0.104061	0.107328	0.0367899	0.440547	0.0290995	0.12387	0.10213	0.0320043	0.00280299	0.0213677
ω	0.0438374	0.109266	0.114505	0.313321	0.0873807	0.0705884	0.0567045	0.0152412	0.0115741	0.177581
y	0.028582	0.0168052	0.178257	0.329424	0.166927	0.0854171	0.0783168	0.0495743	0.012907	0.0537897
é	0.021913	0.0226981	0.297289	0.187336	0.252132	0.0181339	0.0922601	0.027867	0.0039388	0.0764324
é	0.00690102	0.00241071	0.203778	0.169685	0.463611	0.0635057	0.0483734	0.0144821	0.00788381	0.0193688
b	0.0123999	0.00541279	0.0533532	0.178424	0.0870016	0.0311667	0.200126	0.37095	0.0295855	0.0315807
v	0.0130741	0.0289941	0.042796	0.408817	0.0172982	0.113917	0.182178	0.116068	0.00996146	0.0668963
ú	0.00798982	0.0123258	0.0898764	0.525216	0.0261058	0.0571949	0.102368	0.0627719	0.0195774	0.0965736
n	0.00746487	0.00179898	0.189705	0.0839436	0.115383	0.0235789	0.0617396	0.0468385	0.233724	0.235823
y	0.00602017	0.00440569	0.359021	0.129779	0.275441	0.0256263	0.0837446	0.00899934	0.0075413	0.0994221
ú	0.00164197	0.0017191	0.347702	0.136275	0.191061	0.0174543	0.13992	0.0312605	0.043117	0.0898487
m	0.00148731	0.000229355	0.0791631	0.027982	0.157865	0.012068	0.0666651	0.0742792	0.396578	0.183683
ú	0.0138654	0.00232513	0.183522	0.204109	0.278743	0.0207137	0.115417	0.0290524	0.0196692	0.132583
é	0.000796858	0.000198584	0.0165275	0.0343188	0.0593189	0.00933254	0.213704	0.19918	0.0518976	0.414726
m	0.0161557	0.00286378	0.0208536	0.0296665	0.0141005	0.00106929	0.101269	0.69027	0.0504257	0.0733263
i	0.00845068	0.00267006	0.0115376	0.00999582	0.00563948	0.00203449	0.0513785	0.677953	0.187454	0.0428869
s	0.00121385	0.000381787	0.000453612	0.00151565	0.00061249	0.000178796	0.00619183	0.14578	0.763815	0.0798576
ú	0.000153735	0.000284168	0.00220408	0.00238799	0.00110204	3.98237e-05	0.00437621	0.148567	0.803326	0.0375586
n	0.00023264	4.8289e-05	0.00112592	0.00109817	0.00268646	0.000223184	0.00270304	0.0175995	0.866564	0.107719
d	0.00511293	0.00119107	0.0364724	0.0262127	0.0984289	0.00397672	0.0563768	0.0911697	0.461582	0.219476
z	0.00124499	0.00118349	0.15732	0.117006	0.176657	0.0446704	0.266459	0.0451903	0.011556	0.178713
a	0.00975261	0.00975441	0.11225	0.122095	0.238234	0.139595	0.213443	0.0302755	0.00982115	0.114781
</S>	0.00523629	0.0017787	0.00979526	0.0101164	0.0559244	0.0160492	0.0861624	0.03613	0.07299	0.705817
