 	le	concert	d'	onzele	s'	est	produit	devant	un	public	nombreux	</S>
m	0.725469	0.169345	0.0284491	0.0357853	0.0170499	0.00115038	0.00532539	0.00895208	0.00624639	0.00187413	0.000321347	3.16496e-05
b	0.0684588	0.645788	0.0694957	0.0614868	0.116484	0.0096231	0.00277094	0.0102772	0.00752139	0.00149211	0.000173443	0.00642776
a	0.0518112	0.892182	0.0246398	0.0132101	0.00415613	0.00150972	0.00146549	0.00510719	0.00365098	0.00161923	0.000268782	0.000379296
l	0.0341703	0.890111	0.02812	0.00401984	0.00479846	0.0029676	0.00415957	0.00727513	0.00608741	0.006011	0.00156919	0.0107103
é	0.181823	0.340086	0.0794196	0.19502	0.0506707	0.015207	0.00883203	0.0106212	0.0166435	0.00898309	0.00539102	0.0873019
y	0.211823	0.0588063	0.267774	0.107518	0.200992	0.0653209	0.0189943	0.0128387	0.0155249	0.00692144	0.00695698	0.0265298
o	0.157734	0.074784	0.184426	0.365842	0.0913578	0.0430345	0.00335098	0.00481269	0.00935009	0.00493373	0.00523667	0.0551372
n	0.151812	0.0233573	0.154812	0.526772	0.0619207	0.0235214	0.00118976	0.00235075	0.00198668	0.000658549	0.000715506	0.0509035
d	0.218316	0.16825	0.220119	0.315489	0.0316386	0.00852057	0.00376071	0.0121511	0.00887979	0.00127735	0.000678531	0.0109191
z	0.0120123	0.0182202	0.0834954	0.809854	0.0296961	0.0175729	0.00100503	0.00179107	0.00165343	0.000432848	0.000404479	0.0238619
ε	0.0166498	0.144188	0.183837	0.494943	0.0268933	0.0318885	0.00811268	0.0212143	0.0126695	0.00191838	0.00171536	0.055971
l	0.0101308	0.0154945	0.33143	0.2369	0.213204	0.0342281	0.0117926	0.0338295	0.0659089	0.00869811	0.00399869	0.0343851
ε	0.0347149	0.0365807	0.262035	0.232305	0.108895	0.0461935	0.0266975	0.0161431	0.0580873	0.0386823	0.0324195	0.107247
é	0.0256817	0.00387607	0.15506	0.0396225	0.263213	0.268413	0.074346	0.0384074	0.0509274	0.0250415	0.0189813	0.03643
k	0.0139538	0.00162949	0.0313242	0.00192402	0.0811482	0.404229	0.238004	0.122331	0.0419016	0.0177169	0.0166005	0.0292375
o	0.000385503	0.00090905	0.00715763	0.000432207	0.00539828	0.142701	0.615487	0.106863	0.0371786	0.0337732	0.0293597	0.020355
i	0.000138003	0.0002077	0.00298076	0.000518099	0.0020802	0.0441997	0.665255	0.189523	0.0431704	0.014448	0.017201	0.0202782
b	0.0065493	0.00127633	0.0124456	0.00180207	0.0370088	0.0940972	0.0797795	0.145123	0.183408	0.254822	0.111542	0.0721466
a	0.00142594	0.00242752	0.0030617	6.23816e-05	0.000685513	0.00374476	0.00951997	0.0263403	0.0871131	0.69615	0.137971	0.0314982
r	0.000838701	0.000277183	0.00237445	0.000218822	0.000802847	0.00170208	0.00168182	0.00862446	0.0881663	0.744054	0.127226	0.0240336
e	0.00120199	0.000692419	0.0116345	0.00201982	0.0029144	0.0328481	0.0167166	0.106422	0.293393	0.239872	0.105164	0.187121
p	0.00191808	0.000241612	0.0191418	0.00122276	0.0346851	0.0234974	0.00889376	0.0493354	0.300615	0.183034	0.155049	0.222366
e	0.00437614	0.000477804	0.0105572	0.00534472	0.00538043	0.00832419	0.00897713	0.0104949	0.035775	0.148446	0.617699	0.144148
r	0.000431168	0.000111114	0.0027252	0.00152966	0.00178745	0.00815093	0.00482026	0.013016	0.0519985	0.105179	0.365874	0.444377
e	0.000177696	0.00080272	0.00698526	0.00316402	0.00131849	0.0125831	0.0144986	0.0544622	0.125053	0.143401	0.269481	0.368074
p	0.000493973	0.000173301	0.00485425	0.000649421	0.00355631	0.00377413	0.00298331	0.0125756	0.0765688	0.0587197	0.176861	0.65879
e	0.0082463	0.00110275	0.0297894	0.00976202	0.00758346	0.00712199	0.00753649	0.00583541	0.0251952	0.0666847	0.445135	0.386007
r	0.000955215	0.000502571	0.00536025	0.00345536	0.00174199	0.00386008	0.00368774	0.00597076	0.0267248	0.0474009	0.176697	0.723643
e	0.0013397	0.00217264	0.021241	0.0220131	0.00324481	0.0120484	0.0187705	0.0555554	0.115444	0.0670938	0.224172	0.456905
</S>	0.00132398	0.000531725	0.0104719	0.00239122	0.00824106	0.0028226	0.00145672	0.00586856	0.0481846	0.0390718	0.148896	0.73074
