 	la	banane	est	déjà	mûre	</S>
i	0.448222	0.522137	0.0286187	0.000798328	8.69306e-05	0.000136203
t	0.0203598	0.967162	0.00751374	0.00126057	0.00348723	0.000216221
ω	0.0194792	0.974986	0.0032524	0.000419952	0.000482865	0.00137956
r	0.0233195	0.972703	0.00310393	0.000165891	0.000191423	0.000516532
ω	0.423128	0.463551	0.0514992	0.00443757	0.00233936	0.055045
í	0.247394	0.0383748	0.682932	0.02204	0.000727357	0.00853144
m	0.0219518	0.000574506	0.492753	0.450002	0.00825336	0.0264657
i	0.0115115	0.000269895	0.140301	0.792235	0.011527	0.0441561
s	0.00173182	0.000269153	0.0184366	0.721584	0.226549	0.0314288
á	0.00189389	0.00028427	0.00951473	0.804881	0.138256	0.0451702
á	0.0103581	9.47152e-05	0.0512779	0.243301	0.211893	0.483075
o	0.0248833	0.00168065	0.23393	0.39392	0.196101	0.149485
s	0.000583781	8.92461e-05	0.000704906	0.0167089	0.959646	0.0222673
o	0.00255673	0.000102975	0.00290514	0.0912834	0.818901	0.0842511
a	0.00304399	0.000162928	0.00587184	0.0854307	0.552492	0.352998
</S>	0.00487263	0.000255923	0.0180962	0.11166	0.0571697	0.807946
