 	leur	maman	est	malade	</S>
n	0.90621	0.0850873	0.00724541	0.00127979	0.000177691
g	0.064789	0.934461	0.000725352	1.37741e-05	1.11292e-05
ó	0.040592	0.957105	0.00201683	0.000136955	0.000148896
o	0.0271969	0.970392	0.000270167	0.00205707	8.39549e-05
y	0.603028	0.09403	0.278114	0.00660329	0.0182239
a	0.817369	0.0861353	0.0644892	0.00616894	0.0258377
b	0.914704	0.00178047	0.0736409	0.00242884	0.00744605
á	0.971312	0.00116551	0.0164252	0.00331865	0.00777812
a	0.864274	0.00253105	0.12197	0.00289803	0.00832707
a	0.0204673	0.000148691	0.922383	0.00536919	0.0516318
d	0.00248719	0.00174317	0.469139	0.340592	0.186038
í	0.0121437	0.000564253	0.418806	0.0148603	0.553625
l	0.0141549	5.20835e-05	0.471349	0.211842	0.302602
i	0.0238036	0.000286716	0.147633	0.29573	0.532547
k	0.00323588	0.000124031	0.0273988	0.743806	0.225435
ω	3.04801e-05	3.63631e-06	0.00451169	0.969481	0.0259728
n	4.7057e-05	9.74878e-06	0.00314441	0.953034	0.0437651
í	0.000626608	0.000309741	0.0155955	0.871963	0.111505
</S>	0.00299821	0.000111112	0.0730184	0.278421	0.645451
