 	il	y	a	le	clair	de	lune	cette	nuit	</S>
k	0.212351	0.267934	0.150722	0.161696	0.0942416	0.0711976	0.0174466	0.0160581	0.00257269	0.00578029
ó	0.0363325	0.250148	0.0383766	0.158832	0.203391	0.0454914	0.0530122	0.0286892	0.166625	0.0191021
l	0.00259805	0.042563	0.0439962	0.11543	0.544626	0.0366386	0.0362472	0.0136021	0.0205477	0.143751
i	0.0652775	0.0771003	0.126898	0.258868	0.295621	0.0494147	0.0128282	0.012615	0.0327437	0.0686333
y	0.0998107	0.0994364	0.205882	0.227053	0.188502	0.0726208	0.0275108	0.0288564	0.0167673	0.0335606
á	0.102662	0.0854257	0.115445	0.198009	0.129628	0.0975739	0.0910982	0.0764656	0.0363842	0.0673096
p	0.254946	0.0210658	0.0820811	0.0976259	0.0543992	0.131602	0.174301	0.100467	0.0597106	0.0238017
á	0.0446941	0.0223426	0.0257687	0.0497769	0.323907	0.086772	0.225538	0.0220631	0.165998	0.0331397
b	0.034514	0.014567	0.0420059	0.0510641	0.526922	0.111877	0.0615515	0.0382232	0.0707794	0.0484968
h	0.0277919	0.00987668	0.0189483	0.0304528	0.0445425	0.18855	0.20336	0.0791585	0.126138	0.271182
a	0.0588195	0.0299368	0.0286862	0.0929953	0.2158	0.12781	0.376781	0.0145078	0.0134985	0.0411648
y	0.00651472	0.00888023	0.0228761	0.03798	0.0286916	0.290048	0.102396	0.336649	0.116479	0.0494853
é	0.0547626	0.0346702	0.0561039	0.0902392	0.0174376	0.176245	0.3202	0.148791	0.0452399	0.0563104
é	0.0192559	0.0089255	0.0272361	0.0495545	0.0155069	0.261449	0.097345	0.232486	0.127971	0.16027
d	0.00207902	0.00798826	0.0237943	0.00769542	0.00188539	0.0809367	0.0473304	0.244102	0.137323	0.446865
í	0.000748583	0.00238108	0.00764667	0.00385682	0.000915611	0.0592047	0.0631552	0.189	0.0515703	0.621521
l	0.00351219	0.00175474	0.0112951	0.0113691	0.00268316	0.178744	0.0224025	0.397683	0.031	0.339556
a	0.00402773	0.00342108	0.0101802	0.00737504	0.00318258	0.0463296	0.0255537	0.167167	0.118616	0.614147
w	0.00444273	0.00569653	0.0143044	0.0157577	0.00218272	0.0718234	0.020402	0.2606	0.266534	0.338256
á	0.00954855	0.0124727	0.0102663	0.00963516	0.00817808	0.0905105	0.134552	0.386782	0.18916	0.148894
s	0.0104391	0.00421759	0.0167539	0.0120442	0.0096957	0.0408367	0.00977656	0.145803	0.104269	0.646164
i	0.0030858	0.00321498	0.00728457	0.00408501	0.000308277	0.0131284	0.0558848	0.307705	0.204553	0.400751
</S>	0.00117173	0.0021312	0.00368595	0.00672103	0.0107872	0.0530126	0.0110641	0.332098	0.10719	0.472138
