 	la	pirogue	a	cassé	ses	amarres	et	part	à	la	dérive	</S>
b	0.505147	0.402828	0.0194856	0.011769	0.041746	0.00439044	0.00483753	0.00436975	0.0019963	0.00124712	0.00202919	0.000154355
v	0.0552142	0.923112	0.00596149	0.00199619	0.00493344	0.000109539	0.00102374	0.00481076	0.00109237	0.00160127	4.25422e-05	0.000102062
á	0.020354	0.878332	0.0040108	0.06858	0.0117545	0.000455758	0.00151897	0.00839288	0.00460517	0.00161132	9.61979e-05	0.000288942
r	0.146637	0.804213	0.00502292	0.00961284	0.00351635	0.000137419	0.00148232	0.00176765	0.00136104	0.000883731	0.000159553	0.0252065
e	0.59142	0.038403	0.0295727	0.0357917	0.0597499	0.0264906	0.0158162	0.0605192	0.0145323	0.00795878	0.000110316	0.119635
ó	0.0596653	0.0287392	0.608789	0.0519804	0.0610988	0.0229076	0.0255828	0.0288324	0.0317117	0.0415677	0.00311069	0.0360146
m	0.0115284	0.0141667	0.641342	0.236368	0.00589261	0.0265457	0.0109773	0.00559635	0.0227728	0.0133101	0.00565264	0.00584777
i	0.0127285	0.00521968	0.1094	0.761268	0.0348172	0.00736966	0.0128602	0.0139454	0.0198742	0.0112979	0.000156764	0.0110622
k	0.000902373	0.000721569	0.0636848	0.875019	0.00622415	0.0105069	0.00553033	0.00289692	0.0110485	0.00655309	0.0011414	0.0157708
y	0.00187678	0.00103836	0.0311898	0.830821	0.0232212	0.0261386	0.0217606	0.00313832	0.018221	0.00442478	0.00931449	0.0288554
é	0.00472626	0.00340934	0.0839626	0.607614	0.0331132	0.1429	0.0385613	0.0138773	0.0295913	0.00864076	0.0109155	0.0226884
n	0.00173939	0.00058881	0.0366043	0.221729	0.350106	0.103023	0.0716613	0.0311435	0.0489539	0.0311099	0.0393643	0.0639765
a	0.0181217	0.00428609	0.0282285	0.234643	0.440852	0.140006	0.038931	0.0237262	0.0131404	0.00698493	0.0047391	0.0463405
s	0.00479631	0.00131417	0.0506281	0.0198108	0.481239	0.0538365	0.171266	0.129616	0.0516136	0.0267238	0.002371	0.00678487
i	0.0140045	0.000652688	0.0128457	0.14557	0.292892	0.249894	0.103795	0.0816642	0.059789	0.0133164	0.00166908	0.023907
n	0.00546494	0.000303032	0.0128417	0.00876634	0.435626	0.167813	0.147296	0.13003	0.0551843	0.0283356	0.000924617	0.00741426
g	0.00711291	0.000839052	0.00130689	0.0123889	0.0398884	0.609456	0.0875999	0.135702	0.0456487	0.017666	0.000933722	0.041457
a	0.00100278	0.000179402	0.000987457	0.0038014	0.0177424	0.838036	0.0335513	0.0461648	0.0245951	0.0121928	0.00128893	0.0204582
ó	0.00119618	0.000275571	0.00825599	0.00603899	0.0492185	0.152971	0.191528	0.200796	0.164395	0.146907	0.0055883	0.0728295
b	0.00269745	0.000660141	0.00956089	0.00556117	0.0049589	0.0171747	0.137098	0.0887887	0.243852	0.286378	0.138482	0.0647867
h	0.00136003	0.00199635	0.00440359	0.0277034	0.0105185	0.00213062	0.248617	0.0603921	0.221162	0.143236	0.129405	0.149075
i	0.00206414	0.000915727	0.00584837	0.0315695	0.0258467	0.00640818	0.185433	0.0798421	0.153196	0.114045	0.221173	0.173658
b	0.00140163	0.000298429	0.00422361	0.00521838	0.0404187	0.00719023	0.0932907	0.108791	0.143865	0.233603	0.250514	0.111185
ώ	0.0166293	0.0235954	0.00373813	0.0271854	0.16029	0.00595921	0.180547	0.120182	0.100921	0.089141	0.167151	0.104659
ω	0.000958045	0.000611938	0.00116902	0.00336105	0.0194007	0.00342859	0.138827	0.123309	0.10609	0.119926	0.146027	0.336891
k	0.000830009	0.000442489	0.00404882	0.00547135	0.00207626	0.00101493	0.0379979	0.0369498	0.0766979	0.175981	0.3482	0.31029
y	1.18657e-05	0.000145815	7.58107e-05	0.00573921	0.000112683	7.53075e-05	0.00777203	0.0021758	0.0138174	0.0151472	0.926294	0.0286331
ε	0.000263854	0.000211059	0.000710266	0.00879078	0.00428201	0.000621578	0.0334392	0.0213013	0.0558728	0.0422558	0.772666	0.059585
l	0.000335735	0.000138567	0.000445493	0.00190035	0.00727672	0.00036918	0.0425492	0.0667877	0.095678	0.144036	0.41022	0.230263
ε	0.000335678	0.000204146	0.000233858	0.00195282	0.00351131	0.00025674	0.0626037	0.0652944	0.0874875	0.103971	0.412859	0.261289
</S>	0.0021861	0.000156176	0.00190318	0.00253759	0.00894061	0.000392577	0.0349831	0.102562	0.0496566	0.156387	0.0563564	0.583939
