 	je	m'	étais	perdu	d	brazaville	</S>
n	0.868583	0.0910094	0.00430776	0.0196194	0.00725705	0.00766477	0.00155858
g	0.891936	0.0568751	0.000364344	0.00131757	0.00413349	0.0450914	0.00028263
á	0.754765	0.178221	0.00601393	0.0110265	0.0149885	0.0337027	0.00128202
l	0.281065	0.462739	0.0326618	0.0557869	0.0139765	0.0211486	0.132622
a	0.14032	0.642776	0.0278615	0.0415321	0.0463041	0.0114254	0.0897803
p	0.118182	0.246959	0.199315	0.0928951	0.0174912	0.0322042	0.292953
o	0.0861493	0.034754	0.792553	0.0503098	0.0027837	0.00365142	0.0297984
m	0.0509166	0.0449989	0.859451	0.0376459	0.00165916	0.00170224	0.00362654
í	0.0741863	0.0414389	0.417922	0.127164	0.0138862	0.0410407	0.284362
n	0.00233858	0.0474784	0.113613	0.566826	0.113796	0.0123054	0.143643
á	0.00636534	0.129961	0.0180175	0.125366	0.249647	0.203722	0.266921
ó	0.00942123	0.082944	0.0266116	0.348384	0.308905	0.102648	0.121086
n	0.000383413	0.0148542	0.174067	0.379293	0.289412	0.0425058	0.0994842
g	0.00145103	0.0186301	0.0446066	0.171241	0.310047	0.30599	0.148034
y	0.000520665	0.0192944	0.00959286	0.104422	0.208684	0.624257	0.033229
ε	0.000316848	0.0018122	0.0193867	0.156438	0.102815	0.425105	0.294127
l	0.00047781	0.00351073	0.0141998	0.191974	0.0755796	0.143525	0.570733
έ	0.000124872	0.000986342	0.00546923	0.106282	0.0926976	0.298045	0.496395
</S>	0.00061927	0.00544018	0.00139522	0.0662554	0.0826696	0.0439543	0.799666
