 	le	safoutier	sur	lequel	tu	as	grimpé	était	celui-ci	</S>
o	0.923605	0.0334785	0.0133899	0.00890487	0.0097835	0.00756858	0.00166459	0.000994224	0.000176969	0.000434039
s	0.0225974	0.949676	0.00417542	0.00338814	0.000255013	0.000585908	0.00900268	0.00769585	0.000986486	0.00163741
á	0.00660451	0.986463	0.00169705	0.00249304	1.09229e-05	1.16997e-06	0.000511383	0.000701968	0.00053388	0.000983321
á	0.00159405	0.965338	0.00313256	0.00658593	0.000209885	4.66883e-05	0.00417231	0.00628377	0.00110993	0.0115271
b	0.349099	0.12341	0.357463	0.0342742	0.0180942	0.0267187	0.033377	0.0149494	0.00141852	0.0411966
ó	0.342281	0.001155	0.0930935	0.0521428	0.168921	0.267602	0.0302316	0.00408526	0.000675401	0.0398129
ó	0.0582566	0.00742956	0.316344	0.306977	0.0937524	0.0531139	0.109848	0.0169473	0.00298646	0.0343454
l	0.0101578	0.00524067	0.0612594	0.165051	0.00822852	0.010015	0.475549	0.222694	0.0162815	0.0255231
é	0.0304524	0.00888256	0.11298	0.139231	0.0415431	0.0465972	0.265437	0.224121	0.00213275	0.128623
í	0.0238717	0.0289753	0.244028	0.243616	0.0937602	0.0398492	0.140198	0.116601	0.0103313	0.0587687
n	0.0122207	0.00244685	0.132394	0.0731309	0.061293	0.0608388	0.221357	0.363779	0.0240591	0.0484807
ω	0.072505	0.000907089	0.0991496	0.0300916	0.261767	0.171285	0.108534	0.183396	0.00148193	0.0708826
ó	0.00501802	0.000484757	0.0813204	0.0417383	0.0481106	0.0310385	0.145272	0.452421	0.0496074	0.144988
d	0.011708	0.00292793	0.022687	0.013085	0.00138469	0.000436627	0.0512307	0.298968	0.539968	0.0576047
z	0.00469099	0.00370563	0.0222004	0.00408541	0.00307426	0.000961254	0.00942403	0.304765	0.096377	0.550716
e	0.0129691	0.00388538	0.0531629	0.010423	0.00532048	0.0039807	0.0411714	0.391534	0.316011	0.161542
b	0.00647144	0.000730458	0.0744693	0.0214423	0.0190082	0.00342582	0.021957	0.0791778	0.342993	0.430325
v	0.00160418	0.000482195	0.00237058	0.00840551	0.0107416	0.00722605	0.00255784	0.00664262	0.878852	0.0811175
ú	0.00640259	0.000263818	0.00509463	0.010668	0.0663472	0.0628189	0.0146491	0.0378338	0.537785	0.258137
</S>	0.000459545	1.34807e-05	0.00114768	0.000632375	0.00363615	0.00306498	0.00121088	0.00627061	0.446871	0.536693
