 	il	se	mit	à	bailler	</S>
w	0.83216	0.136112	0.0205706	0.00960013	0.00137682	0.000180782
a	0.928378	0.0401396	0.0066489	0.0212706	0.00329746	0.000265942
a	0.43194	0.500972	0.0254979	0.0264728	0.00334036	0.011777
b	0.102805	0.67025	0.133024	0.0340785	0.0154541	0.0443895
h	0.0839927	0.295553	0.500733	0.0536125	0.00386285	0.0622451
i	0.013458	0.176657	0.742785	0.0357901	0.00350774	0.027802
l	0.015376	0.150762	0.331022	0.153221	0.0347254	0.314894
á	0.144723	0.194348	0.234694	0.228734	0.0242622	0.173239
a	0.20683	0.163577	0.194558	0.342055	0.0555298	0.0374502
t	0.00510426	0.0548131	0.29675	0.19906	0.409309	0.034965
έ	0.000942552	0.0331244	0.130955	0.0702958	0.704712	0.0599702
i	0.0100112	0.0385027	0.128047	0.185388	0.506143	0.131908
k	0.0112447	0.0148408	0.0305834	0.360187	0.362003	0.221142
á	0.00636375	0.00811521	0.0267881	0.0416824	0.85734	0.0597102
k	0.0297464	0.018772	0.0375697	0.0353539	0.749248	0.12931
a	0.00744281	0.00395332	0.0133382	0.0641106	0.677937	0.233218
</S>	0.000869103	0.004155	0.0111873	0.0473137	0.375967	0.560508
