 	dans	la	maison	il	fait	chaud	</S>
s	0.545409	0.337651	0.113842	0.00240035	0.000509489	8.95744e-05	9.86706e-05
á	0.344185	0.24343	0.38792	0.00178424	0.00657693	0.00924719	0.00685595
n	0.153416	0.14317	0.687036	0.000559911	0.00278733	0.0117366	0.00129409
d	0.122228	0.189087	0.608634	0.00173207	0.0016511	0.0145559	0.0621123
é	0.107418	0.129854	0.680485	0.00134758	0.00186579	0.0344126	0.0446171
e	0.0502664	0.167058	0.537191	0.0788343	0.0595669	0.0382519	0.0688314
é	0.0349411	0.0860905	0.321365	0.457736	0.0472045	0.00270592	0.0499568
d	0.0397336	0.0382597	0.127023	0.561747	0.204403	0.0113378	0.0174952
í	0.0322785	0.0268498	0.0422681	0.3785	0.41877	0.0103383	0.0909956
l	0.0170857	0.0112394	0.0178988	0.16254	0.471167	0.0674469	0.252622
a	0.00548622	0.0043798	0.00652482	0.262835	0.487365	0.0807744	0.152635
y	0.0137754	0.0144791	0.00617082	0.156856	0.243643	0.411051	0.154025
á	0.00554681	0.00282987	0.00223438	0.0253186	0.307899	0.624511	0.0316599
n	0.00139525	0.000793698	0.00085664	0.00947952	0.1491	0.714156	0.124219
g	0.015779	0.0271198	0.0307426	0.0759506	0.217794	0.578517	0.0540972
a	0.000400332	0.00158337	0.00854416	0.00349801	0.0112985	0.95569	0.0189856
l	0.00204212	0.00377645	0.00269938	0.0737229	0.238234	0.260675	0.41885
á	0.00796505	0.0105408	0.0030325	0.0224574	0.233688	0.430099	0.292217
</S>	0.00619019	0.00288711	0.00270409	0.029705	0.13816	0.439934	0.38042
