 	comment	appelle-t-on	cet	arbre	</S>
k	0.395958	0.595449	0.00541806	0.00288533	0.000289578
ó	0.233417	0.742155	0.00722935	0.0160199	0.00117841
m	0.116387	0.428198	0.0663012	0.01675	0.372364
b	0.515308	0.27927	0.14599	0.0212183	0.0382144
ó	0.425041	0.278038	0.171769	0.0416017	0.08355
l	0.115979	0.107246	0.63225	0.048625	0.0958994
a	0.120847	0.0161043	0.437595	0.0157628	0.409691
i	0.254006	0.0581935	0.513923	0.0724329	0.101445
b	0.0430446	0.0762964	0.412407	0.300793	0.167459
v	0.00892756	0.152526	0.0362378	0.755353	0.0469558
ú	0.00638208	0.037786	0.0628037	0.849444	0.043584
a	0.0166581	0.0077998	0.179599	0.476577	0.319366
d	0.00985746	0.00191565	0.275648	0.37225	0.340329
í	0.00816781	0.000902662	0.305538	0.0676915	0.6177
n	0.00338724	0.000883841	0.142266	0.287993	0.56547
d	0.0194	0.00228836	0.0832912	0.152644	0.742376
e	0.0153138	0.00421951	0.169645	0.172772	0.63805
</S>	0.00266483	0.000258394	0.125514	0.0840615	0.787501
