 	l'	orange	que	j'	ai	dégustée	était	juteuse	</S>
o	0.644022	0.257458	0.0798485	0.00880519	0.00618011	0.000683284	0.00267663	6.35382e-05	0.000263291
t	0.011838	0.981095	0.00143411	0.0010315	0.000820778	0.000604104	0.00162294	0.00041581	0.00113737
s	0.00160303	0.995906	0.00102601	0.000169676	0.000134193	0.000554819	0.000239983	8.28495e-05	0.000283089
w	0.00362971	0.98766	0.00499675	0.00103716	0.000632304	0.00114712	0.000539	6.69462e-05	0.000290493
é	0.0480503	0.918039	0.0186775	0.00261716	0.00443554	0.00332269	0.00176251	0.000279356	0.00281641
t	0.0284664	0.933721	0.00790437	0.000627559	0.000749451	0.00286824	0.00138761	0.000615455	0.0236598
s	0.0982249	0.880527	0.00888446	0.000314998	0.000591087	0.00134171	0.00107508	9.96357e-05	0.00894066
w	0.0596987	0.923329	0.00923162	0.000312022	0.000286951	0.00219268	0.00239762	9.95535e-05	0.00245229
e	0.113429	0.797907	0.0239352	0.000867063	0.00229261	0.0186845	0.0192678	0.00168481	0.0219317
l	0.169741	0.359449	0.265457	0.0068834	0.0117333	0.0106571	0.00459467	0.00188482	0.169599
é	0.149461	0.0725569	0.316023	0.0642205	0.0754819	0.0351036	0.0396762	0.0131249	0.234352
m	0.156307	0.00678206	0.437924	0.0725495	0.142116	0.059917	0.0404842	0.00715332	0.076767
ó	0.319926	0.00175381	0.258079	0.0772728	0.242873	0.067037	0.0121154	0.0106114	0.0103314
ó	0.181539	0.00498486	0.290152	0.098291	0.249368	0.0676886	0.0516846	0.0138374	0.0424547
d	0.0448203	0.00163782	0.0296155	0.291972	0.14007	0.335746	0.121537	0.0106779	0.0239222
z	0.00118876	0.000171866	0.00174741	0.110191	0.0342339	0.674165	0.0920184	0.00719635	0.0790873
é	0.00385825	0.00219904	0.00267805	0.0201481	0.0192557	0.92592	0.017385	0.00219143	0.0063647
n	0.0135423	0.0025791	0.0548666	0.107979	0.187494	0.436023	0.0880493	0.0139511	0.0955151
g	0.00366102	0.00384221	0.0200709	0.580724	0.254269	0.0916442	0.0174219	0.00763933	0.0207274
á	0.00397153	0.0194965	0.0409856	0.301807	0.172651	0.357157	0.046802	0.010567	0.0465625
ó	0.0212246	0.000855757	0.0995672	0.0579697	0.412018	0.0724352	0.271685	0.0447955	0.0194487
d	0.0089213	0.00137301	0.00785368	0.0280939	0.0407349	0.122006	0.676396	0.0804379	0.0341827
z	0.00134669	0.00014041	0.00133162	0.0250115	0.0280828	0.148248	0.586434	0.0329946	0.17641
e	0.00350769	0.00098882	0.00168413	0.02485	0.0731549	0.491914	0.320926	0.064579	0.0183961
l	0.00774432	0.000290217	0.0181591	0.0764811	0.12834	0.0537866	0.457929	0.0729539	0.184316
a	0.00207659	0.00114964	0.00910854	0.0408907	0.0667074	0.048796	0.394996	0.0697346	0.36654
m	0.00286389	0.00200913	0.0041434	0.0118303	0.0395567	0.0338319	0.243052	0.504712	0.158001
á	0.000309908	0.000319394	0.000665752	0.00142334	0.00750135	0.0125661	0.0431903	0.870309	0.0637147
a	0.00276306	0.000279744	0.00530775	0.00714073	0.0438559	0.0093955	0.194544	0.616262	0.120451
</S>	0.0019756	0.000226569	0.00367352	0.00170689	0.00937991	0.0041759	0.148534	0.254588	0.575739
