 	il	a	des	chiques	au	talon	</S>
w	0.751377	0.130509	0.0743579	0.0337472	0.00972878	0.000241287	3.86535e-05
a	0.854907	0.0639247	0.057485	0.00921367	0.0142475	0.000177999	4.43179e-05
a	0.207212	0.586519	0.166511	0.0120375	0.018592	0.00309742	0.00603166
d	0.0732205	0.540466	0.215472	0.0702888	0.0498771	0.00380529	0.0468705
í	0.0374634	0.681656	0.126763	0.0327807	0.0277234	0.00276328	0.0908504
l	0.0110193	0.0748543	0.241055	0.225028	0.0849598	0.00809068	0.354993
a	0.0314027	0.0707028	0.348547	0.342583	0.0646417	0.010307	0.131816
k	0.0139698	0.0692626	0.123716	0.746345	0.0129442	0.0126954	0.0210663
á	0.000712059	0.00652421	0.0168373	0.970347	0.00375624	0.000448565	0.00137456
n	0.0021884	0.0176174	0.0352604	0.921951	0.00644234	0.00118222	0.0153587
d	0.0111431	0.0596152	0.104028	0.782697	0.0128106	0.000692942	0.0290124
z	0.0209355	0.022123	0.0459493	0.758908	0.0486445	0.00590206	0.0975374
a	0.0121309	0.0136799	0.0540674	0.836931	0.0442467	0.00317948	0.0357645
m	0.0093388	0.0209055	0.131658	0.00994223	0.708045	0.0126299	0.10748
é	0.024954	0.0242129	0.140188	0.00428135	0.525433	0.05429	0.226641
n	0.00441699	0.0168766	0.088618	0.0311053	0.365082	0.466096	0.0278052
g	0.00183537	0.00305054	0.0134119	0.00311643	0.0573682	0.884483	0.036735
í	0.000158985	0.000407305	0.00192411	0.000846755	0.011406	0.980642	0.00461494
r	0.000441306	0.00142976	0.00967047	0.00277394	0.138965	0.665251	0.181468
i	0.00342718	0.0122287	0.043926	0.0185609	0.11768	0.584635	0.219543
i	0.000279019	0.00117921	0.00418789	0.00139705	0.0531697	0.596183	0.343604
</S>	0.0023453	0.0074414	0.0237503	0.00976081	0.0390632	0.507171	0.410468
