 	les	soldats	font	travailler	le	voleur	qu'	ils	ont	arrêté	</S>
a	0.914282	0.0404908	0.0207731	0.00102721	0.0042017	0.0114754	0.00557977	0.00167604	0.000444232	2.13179e-05	2.87866e-05
m	0.0177911	0.979218	0.000982635	0.000716023	0.000443733	0.000174372	7.16824e-05	0.00011512	0.000119606	0.000291031	7.63279e-05
b	0.0408048	0.946045	0.00138423	0.000945497	0.00051177	0.00631234	6.92551e-05	0.000628353	0.00019622	6.75426e-05	0.0030347
ω	0.00465704	0.991211	0.00160393	0.000173651	0.00038197	0.00120605	8.23389e-05	0.000359598	8.94252e-05	2.92893e-05	0.000205177
r	0.0160716	0.96748	0.00557036	0.000208164	0.00196795	0.00411624	0.000243818	5.96508e-05	0.000322626	0.000167271	0.00379215
i	0.0903104	0.858274	0.0201009	0.00546764	0.00420777	0.00113118	0.00185394	0.000650895	0.00177581	0.00109594	0.0151318
b	0.294139	0.0130184	0.573029	0.0470007	0.0107826	0.00676476	0.0188068	0.00658425	0.0145874	0.00124938	0.0140377
á	0.391878	0.00170297	0.544612	0.00198031	0.00591728	0.00642094	0.00642782	0.0233185	0.00563847	0.000309957	0.0117939
a	0.144752	0.000730153	0.674068	0.00447695	0.00434348	0.0090864	0.0275167	0.127994	0.00228887	0.000408321	0.00433598
s	0.00783841	0.0108297	0.142757	0.655988	0.0389105	0.00552234	0.00182256	0.00275435	0.0246522	0.0272537	0.0816715
á	0.0043296	0.00659319	0.0384705	0.907997	0.00939549	0.0032786	0.000444377	0.00056142	0.00270642	0.00928101	0.0169424
l	0.0286745	0.00108191	0.0473856	0.664828	0.0264315	0.00917185	0.00467103	0.01131	0.0101476	0.0307877	0.16551
í	0.0122322	0.000623426	0.385028	0.410894	0.0410862	0.00346401	0.0328218	0.0291748	0.0211311	0.00926266	0.0542825
s	0.0150985	0.000278984	0.337611	0.345902	0.135593	0.0318534	0.0484695	0.0500208	0.0159151	0.00211203	0.0171453
á	0.0110612	0.00122167	0.0267617	0.635951	0.176585	0.0750817	0.0452208	0.00952433	0.00518038	0.00264019	0.0107723
m	0.00994162	0.00183763	0.0151686	0.329641	0.351127	0.100351	0.123895	0.0573205	0.00361329	0.00420553	0.002898
ú	0.00249179	0.000650191	0.00211881	0.0106533	0.0414619	0.929799	0.00329589	0.00518161	0.000471596	0.000135899	0.00374051
b	0.000669308	0.000924624	0.0153572	0.0158892	0.193689	0.743302	0.00444031	0.00282613	0.00277337	0.000511122	0.0196182
h	0.034622	0.000478789	0.123415	0.0374392	0.315711	0.0837565	0.176774	0.0116595	0.0134751	0.0024539	0.200216
u	0.0392219	0.00157184	0.0460156	0.0196122	0.435839	0.232201	0.200313	0.00422976	0.00225652	0.00348326	0.0152553
m	0.00297582	0.000331911	0.00838737	0.0526277	0.399113	0.0722832	0.327219	0.015798	0.0799938	0.012158	0.0291126
ó	0.0053999	0.000606367	0.0162291	0.0180409	0.309494	0.182514	0.12806	0.0167029	0.0949304	0.00794872	0.220073
ó	0.00325964	0.00369757	0.0110209	0.0376823	0.350746	0.0682364	0.176447	0.0699217	0.0650394	0.197853	0.0160962
d	0.00151172	0.0104255	0.0099139	0.0353061	0.100771	0.03221	0.0275078	0.0466435	0.262239	0.457428	0.016044
i	0.00132502	0.000747146	0.00110744	0.0318777	0.0681209	0.163005	0.00863018	0.00805265	0.0867005	0.382408	0.248025
b	0.000644672	3.31844e-05	0.00278395	0.0185722	0.291163	0.150538	0.0372444	0.0158873	0.242757	0.14236	0.0980157
á	0.00135752	0.000190029	0.102519	0.0490775	0.0883237	0.0595075	0.0618128	0.182976	0.134509	0.256249	0.063479
a	0.000340621	5.08996e-05	0.0561597	0.0170086	0.0242164	0.0460091	0.203592	0.457584	0.0648843	0.0627761	0.0673779
á	0.000471498	3.06183e-05	0.00190448	0.00218254	0.0142781	0.00760182	0.0547887	0.199875	0.405207	0.13481	0.17885
m	0.00144406	0.000347345	0.0054496	0.0270986	0.0154911	0.0108511	0.00486854	0.0167514	0.324742	0.500779	0.0921779
i	0.000593814	0.000222387	0.00679069	0.00485804	0.0369161	0.0169734	0.00795304	0.0293096	0.17931	0.211327	0.505746
p	0.000130696	0.000195642	0.000277346	0.00253809	0.00488864	0.00234087	0.000392247	0.000832041	0.0446309	0.683626	0.260148
i	5.97528e-06	9.4668e-05	0.000754271	0.0107499	0.00466587	0.00182587	0.000652982	0.00066047	0.0431487	0.613991	0.32345
a	0.000615445	0.000160692	0.00576402	0.00489951	0.00996654	0.00261285	0.00748293	0.0027402	0.0393247	0.223673	0.70276
</S>	0.00618055	0.000236572	0.0104336	0.00564081	0.0360581	0.0158369	0.071571	0.040305	0.220756	0.134446	0.458535
