 	garde-	toi	d'	attraper	le	silure	par	la	queue	de	peur	qu'	il	ne	te	pique	</S>
o	0.814117	0.0847824	0.0413389	0.00974786	0.0114727	0.00373735	0.00544395	0.00379091	0.00175379	0.00451676	0.00240952	0.0118978	0.0012822	0.000928453	0.00267142	6.36686e-05	4.59107e-05
t	0.664877	0.0852448	0.057448	0.0878549	0.00586421	0.0159014	0.00423117	0.00452227	0.00213723	0.00372363	0.00113955	0.0052443	0.0052828	0.0117567	0.0237169	0.00448165	0.0165733
a	0.495311	0.021354	0.0292637	0.28601	0.00409502	0.0355499	0.00384245	0.00727632	0.0104166	0.00958308	0.0020817	0.00786931	0.0148426	0.0166999	0.00851769	0.0393222	0.00796416
a	0.733858	0.0295427	0.0480059	0.075361	0.00984352	0.0101156	0.00502703	0.00812167	0.00293612	0.00535333	0.00231743	0.00666764	0.00750771	0.0108943	0.0149875	0.0116033	0.0178568
w	0.276681	0.298182	0.311584	0.0145691	0.0192262	0.00201707	0.0138732	0.00776285	0.00228778	0.00481155	0.00496088	0.00608073	0.00468432	0.00497904	0.00761211	0.000761336	0.0199263
á	0.12101	0.113869	0.103404	0.0567788	0.0568806	0.063	0.0569623	0.0574239	0.0153755	0.0395255	0.0273066	0.0134401	0.0304952	0.0441785	0.0116194	0.0179618	0.170768
á	0.0767337	0.222577	0.0892678	0.0453932	0.0351675	0.01589	0.0426885	0.0233254	0.0157416	0.0143806	0.0441877	0.0661426	0.0733313	0.0389392	0.0387222	0.039269	0.118243
o	0.0154881	0.247336	0.381535	0.183173	0.0756982	0.0198255	0.00906186	0.0120657	0.00999388	0.00320039	0.00180732	0.00232153	0.00379365	0.00766976	0.0146628	0.00307393	0.00929401
p	0.0299136	0.0289087	0.0742982	0.813862	0.00617403	0.0180237	0.0065431	0.0040129	0.00414443	0.00183154	0.00106585	0.00123278	0.00117391	0.00226379	0.000402217	0.00265774	0.0034918
i	0.0175074	0.0184121	0.0526486	0.835221	0.00826109	0.0330236	0.00796961	0.00459067	0.00221093	0.00084514	0.000286383	0.000409689	0.000843923	0.00420751	0.000307973	0.00494505	0.00830931
