 	son	boubou	lui	va	bien	</S>
o	0.842179	0.141496	0.0125235	0.00173339	0.00195352	0.000115088
k	0.0303848	0.959971	0.00487247	0.00129115	0.0015528	0.0019278
á	0.00466234	0.982846	0.00136659	0.00306005	0.0048065	0.00325852
n	0.00548257	0.880391	0.0132819	0.0341493	0.0316253	0.0350698
d	0.109388	0.877101	0.00708862	0.000920716	0.000715481	0.00478605
á	0.226718	0.67878	0.0152226	0.00247006	0.00189706	0.0749127
m	0.499349	0.0706794	0.33365	0.0545262	0.0051297	0.0366664
á	0.672362	0.0303811	0.194166	0.0604902	0.0120226	0.030578
w	0.616664	0.0513256	0.257766	0.0415911	0.0155469	0.0171064
a	0.281214	0.0213465	0.497191	0.100791	0.0484214	0.0510372
m	0.142854	0.00450562	0.441524	0.306514	0.0591731	0.04543
ó	0.239729	0.0110459	0.347011	0.133318	0.0324704	0.236426
o	0.249621	0.0552287	0.246621	0.215608	0.187121	0.0457998
k	0.0115153	0.0455918	0.0401147	0.418636	0.345913	0.138229
o	0.00151025	0.113234	0.0274509	0.370351	0.299857	0.187596
á	0.00262145	0.0400453	0.0390747	0.341621	0.294609	0.282029
l	0.00987508	0.0106175	0.0750591	0.102451	0.515758	0.286239
a	0.0121512	0.00904048	0.045048	0.117337	0.434914	0.38151
w	0.00900159	0.00160298	0.0475342	0.0611822	0.679632	0.201047
a	0.0362129	0.0095294	0.0980667	0.127544	0.641545	0.087102
o	0.00468108	0.00170111	0.0432145	0.0740891	0.529935	0.346379
b	0.00741372	0.0191205	0.0682137	0.186836	0.477247	0.241169
v	0.00468632	0.0406151	0.0639544	0.129513	0.550299	0.210932
έ	0.0310462	0.0272645	0.0506364	0.055151	0.693998	0.141904
</S>	0.00359397	0.00182994	0.00728247	0.0155861	0.17823	0.793477
