 	le	président	de	la	république	arrive	aujourd'	hui	à	boundji	</S>
o	0.56646	0.280858	0.057449	0.0290381	0.0288591	0.00723754	0.0205214	0.00287459	0.0064344	0.000165839	0.000101485
k	0.016178	0.965578	0.0068405	0.0011261	0.0036553	0.0010728	0.00187788	0.000390491	0.000865987	0.000915872	0.00149944
o	0.0011656	0.988175	0.00125895	0.000782361	0.00330762	0.00061497	0.00225503	0.000550926	0.000418676	0.000578282	0.000892797
n	0.00131356	0.967278	0.00541185	0.00209711	0.00982595	0.000915279	0.00591699	0.00163845	0.00193109	0.00249006	0.00118158
d	0.0409571	0.786627	0.0269171	0.0166134	0.0326981	0.0069624	0.0417588	0.00609924	0.00811324	0.0244528	0.00880033
z	0.045508	0.921941	0.00669205	0.00233289	0.0137696	0.00152181	0.0022939	0.000669379	0.000233624	0.000807516	0.00423061
i	0.0333767	0.921806	0.00608035	0.00239615	0.0212808	0.00206942	0.00178707	0.000427163	0.000210572	0.00086567	0.00969998
y	0.184497	0.0727105	0.51447	0.120114	0.0281999	0.0235788	0.0108992	0.0118192	0.00796236	0.00149025	0.0242587
a	0.552906	0.0140459	0.152294	0.112377	0.0721279	0.0303612	0.0135655	0.00550562	0.0122548	0.00869374	0.0258687
t	0.381456	0.0148656	0.0965978	0.109607	0.363396	0.00645786	0.0108749	0.00297664	0.00657455	0.00428654	0.00290687
s	0.142259	0.0189991	0.0764488	0.142307	0.515033	0.0127816	0.0215075	0.0461458	0.00198533	0.00689966	0.0156333
ε	0.0180717	0.0130801	0.0667808	0.209807	0.646149	0.0118692	0.0164059	0.00350419	0.00380927	0.00245385	0.00806918
n	0.0667404	0.0112082	0.187599	0.244575	0.348975	0.0498044	0.0312694	0.00529914	0.0173064	0.00709457	0.0301279
g	0.031095	0.0760472	0.12732	0.175978	0.380415	0.0443891	0.0407289	0.012194	0.00917364	0.00979071	0.0928677
ε	0.0273773	0.0190444	0.0266482	0.0841801	0.806141	0.00276321	0.0100431	0.00032247	0.00324858	0.0124689	0.00776249
l	0.0342587	0.000404978	0.0910112	0.364943	0.126075	0.272635	0.068193	0.019314	0.016547	0.000965165	0.00565293
á	0.0195515	0.00121358	0.0883341	0.218927	0.0485332	0.264808	0.0480075	0.00896982	0.0311063	0.00982373	0.260726
a	0.0177056	0.00102317	0.0417393	0.266507	0.0826711	0.316601	0.181655	0.0166101	0.0516993	0.00925274	0.0145357
s	0.0175957	0.0253993	0.0813225	0.152148	0.0672587	0.327001	0.159692	0.0989366	0.0144708	0.01734	0.0388361
u	0.0170895	0.00898659	0.0666644	0.184238	0.260691	0.11814	0.0638895	0.0654181	0.0350748	0.0250853	0.154722
n	0.0418047	0.000882132	0.0910116	0.319325	0.134227	0.210875	0.126144	0.0111552	0.0326607	0.00869493	0.0232199
d	0.00289256	0.000579209	0.0152049	0.12983	0.183208	0.102062	0.365959	0.0567857	0.0853408	0.02283	0.0353073
á	0.0142673	0.000615802	0.0232148	0.179748	0.15808	0.0763169	0.444355	0.0099872	0.0527744	0.0220709	0.0185699
ó	0.0021625	0.000215736	0.00538238	0.0527874	0.0385051	0.220558	0.400227	0.133357	0.124216	0.0134458	0.00914276
m	0.00761685	0.00205009	0.0188992	0.0396037	0.00972423	0.110249	0.184438	0.340393	0.163806	0.082037	0.0411833
b	0.00447436	0.000203935	0.00917699	0.0246491	0.00179296	0.055118	0.0880144	0.0553543	0.197248	0.469225	0.0947434
o	0.000645513	0.000475886	0.0104283	0.0336123	0.0141309	0.0291192	0.0341333	0.0119498	0.0563008	0.698642	0.110562
n	0.000792461	0.00131547	0.0132538	0.033841	0.00625552	0.0242647	0.0494887	0.0422272	0.0403733	0.461477	0.326711
d	0.00705909	0.0218282	0.0166238	0.0342313	0.0739488	0.0623065	0.240201	0.0325951	0.0595965	0.239134	0.212477
z	0.00807099	0.0345946	0.0204876	0.0551615	0.268147	0.0634521	0.104992	0.013129	0.0466359	0.331332	0.0539965
i	0.00390073	0.0141775	0.00340248	0.009269	0.134826	0.0615583	0.287242	0.0378356	0.0270777	0.279147	0.141563
p	0.00135287	0.000189357	0.00215967	0.0059291	0.00322377	0.082203	0.157781	0.134135	0.179058	0.148706	0.285262
á	0.0012745	0.00143172	0.00341276	0.00412065	0.0057195	0.0262387	0.116216	0.699569	0.056138	0.0470523	0.0388273
b	0.000529799	0.000221419	0.00264974	0.00572843	0.00202292	0.0136354	0.0626128	0.642926	0.0493833	0.071458	0.148832
h	0.000319287	0.00112416	0.00160674	0.00237285	0.0019721	0.0357115	0.119069	0.201915	0.0884033	0.135423	0.412083
a	0.00166471	0.0056943	0.0024667	0.00631483	0.0388047	0.0238986	0.135958	0.369886	0.0384357	0.117771	0.259106
</S>	0.00122992	0.000624717	0.0034497	0.00374473	0.00285558	0.0223098	0.0602625	0.0673042	0.260821	0.149989	0.427409
