 	elle	s'	étendit	du	baume	sur	le	corps	</S>
w	0.889337	0.0323283	0.00154943	0.0229277	0.0296103	0.00870734	0.0121443	0.00166145	0.00173379
a	0.750997	0.0359753	0.000955162	0.0259727	0.0207585	0.0376454	0.122686	0.00458435	0.000425913
a	0.0739243	0.802643	0.0782994	0.0163129	0.00295441	0.00958198	0.00939598	0.00129341	0.00559464
w	0.0494402	0.509076	0.30488	0.0472461	0.0267198	0.0289857	0.0178118	0.00167081	0.0141697
o	0.00552263	0.182097	0.565458	0.12632	0.0377374	0.019541	0.0189975	0.00405598	0.04027
o	0.00504099	0.131304	0.739443	0.096131	0.0113495	0.00236204	0.00221649	0.00164258	0.0105104
s	0.0640687	0.0754287	0.0244499	0.305384	0.395497	0.0835411	0.0454735	0.0026475	0.0035105
í	0.00899022	0.103997	0.087616	0.138602	0.285173	0.187994	0.0582867	0.015304	0.114036
b	0.0246947	0.010887	0.010387	0.0404771	0.56207	0.141192	0.0932903	0.0578792	0.0591234
v	0.064765	0.00507566	0.0016007	0.0221782	0.701413	0.117034	0.0751182	0.00703393	0.00578196
e	0.000101121	0.000955018	0.000867963	0.0209572	0.920665	0.0291742	0.0210578	0.00157213	0.00464915
r	0.000270438	0.00194542	0.00418231	0.0722635	0.698194	0.123362	0.0724161	0.00178501	0.0255806
é	0.00128451	0.00176493	0.00339813	0.0522626	0.448176	0.185609	0.0927245	0.0616778	0.153103
m	0.00831514	0.0288761	0.00175605	0.0902705	0.347423	0.281616	0.15672	0.0262531	0.0587691
ó	0.00946556	0.0051569	0.00149905	0.0195963	0.0330487	0.284413	0.415729	0.0574383	0.173653
n	0.000683773	0.00216152	0.00252019	0.0077292	0.00762187	0.0339942	0.0855893	0.842146	0.0175542
d	0.000120716	0.00085198	0.000948723	0.00251896	0.026684	0.0367992	0.0246961	0.860969	0.0464112
z	2.54848e-06	6.67767e-05	0.000239303	0.000162199	0.000415015	0.000814052	0.00264739	0.990672	0.00498077
ó	5.08423e-06	9.79987e-05	0.00413235	0.0011637	0.00654692	0.0161685	0.017298	0.788912	0.165675
r	0.000189979	0.00171029	0.0192362	0.021296	0.0694426	0.0154436	0.0145516	0.186302	0.671827
o	6.76611e-05	0.000946265	0.00307903	0.0239957	0.0279067	0.0442847	0.0368847	0.25525	0.607586
</S>	0.00157783	0.00562611	0.00044915	0.0122174	0.0206229	0.0838442	0.055398	0.0419543	0.77831
