 	inscrire	les	enfants	à	l'	école	me	parait	simple	</S>
i	0.692737	0.264875	0.0244508	0.00427932	0.00404496	0.000963997	0.00494805	0.00259817	0.000873624	0.000229313
k	0.941663	0.0258603	0.00456584	0.00223711	0.00177142	0.00155704	0.00125819	0.00713061	0.0113564	0.00260021
a	0.788549	0.0523662	0.0120466	0.00750798	0.00544555	0.0434024	0.00153062	0.00512941	0.0780933	0.00592936
n	0.607635	0.179089	0.0746895	0.0128695	0.0103809	0.0381521	0.0147054	0.0180564	0.0288527	0.0155697
a	0.765837	0.100516	0.0156841	0.0296218	0.00879672	0.0097658	0.0350613	0.0107043	0.00349084	0.0205213
l	0.452231	0.332695	0.0864102	0.0332835	0.0260723	0.0278837	0.0110685	0.0141896	0.00382451	0.0123415
á	0.074255	0.117128	0.0262857	0.0898844	0.0628552	0.0473117	0.14996	0.0396813	0.0138024	0.378836
b	0.15913	0.346383	0.199445	0.0846264	0.0741957	0.0585116	0.0358176	0.0151973	0.00548383	0.0212092
á	0.105551	0.143531	0.508558	0.0491647	0.04393	0.110753	0.0124354	0.00519323	0.00700597	0.0138784
n	0.0726935	0.196365	0.529664	0.0306582	0.0221438	0.0667157	0.0198221	0.00581458	0.00880577	0.0473167
a	0.05092	0.15332	0.266035	0.151113	0.0968859	0.0442924	0.116671	0.007682	0.00161203	0.11147
m	0.0141408	0.153823	0.110322	0.27526	0.239748	0.0884527	0.0697056	0.0327625	0.00363159	0.0121537
á	0.0883362	0.0780457	0.0147037	0.23507	0.366409	0.0388878	0.107804	0.0263255	0.00693739	0.0374814
l	0.0294509	0.0531874	0.0623413	0.24296	0.257714	0.263461	0.0456669	0.0191393	0.0118131	0.0142667
e	0.00453868	0.0121211	0.00990236	0.232074	0.253075	0.0988352	0.168878	0.0286271	0.00313295	0.188816
k	0.00612038	0.0121472	0.0091622	0.230313	0.333177	0.228717	0.0675039	0.0298318	0.0194341	0.0635935
ώ	0.00401234	0.00637883	0.00863435	0.0844268	0.053894	0.816555	0.00487536	0.00689369	0.00559331	0.00873653
ώ	0.00332162	0.00825766	0.0211594	0.0523469	0.0662013	0.743241	0.0433113	0.0225792	0.00619791	0.0333843
l	0.000915791	0.00219566	0.00101889	0.163193	0.116791	0.197734	0.220088	0.22969	0.0259348	0.0424393
i	0.00388934	0.00638853	0.00302363	0.184991	0.126918	0.139664	0.171874	0.135312	0.0387175	0.189222
í	0.00124229	0.00751837	0.00780424	0.0790095	0.0678616	0.0471144	0.460614	0.187163	0.0534589	0.0882139
d	0.00149436	0.00241117	0.0018587	0.0149633	0.0133395	0.0172024	0.0853401	0.640717	0.182466	0.040207
í	0.000801225	0.000948895	0.000178189	0.0153796	0.00691228	0.00212395	0.0696529	0.40582	0.161304	0.336879
e	0.00033071	0.001263	0.000652606	0.0164057	0.0115752	0.00946982	0.0723491	0.4209	0.217188	0.249866
t	0.0143884	0.00715476	0.00793538	0.00652699	0.00623705	0.00917556	0.0375839	0.141676	0.602006	0.167315
s	0.00152883	0.00194652	0.00157427	0.00751807	0.00309177	0.0150165	0.012707	0.0807835	0.769317	0.106516
έ	0.00133912	0.00243808	0.003693	0.00591198	0.00367717	0.0453186	0.030918	0.0713385	0.73891	0.0964558
n	0.000207539	0.000928094	0.00126053	0.00283621	0.0016928	0.00481784	0.0617768	0.0702805	0.109824	0.746376
έ	0.00223278	0.0117201	0.00511674	0.0137154	0.0228842	0.00341275	0.606777	0.0545213	0.0291528	0.250467
l	7.36168e-05	0.000790053	0.000249907	0.00495601	0.00570779	0.00124642	0.182671	0.0520634	0.0232288	0.729013
a	0.00110363	0.00688628	0.00301737	0.0204305	0.0198765	0.0132517	0.198214	0.119202	0.0980809	0.519937
n	0.00219279	0.00465534	0.00102556	0.0215917	0.023171	0.00594757	0.0719634	0.0807376	0.244756	0.543959
g	0.00333861	0.0216916	0.00661191	0.0122136	0.0408194	0.00156386	0.620917	0.017995	0.0214714	0.253377
á	0.00101138	0.00652399	0.00833687	0.00642932	0.0195319	0.00131579	0.676766	0.00834179	0.00839752	0.263345
</S>	0.00211607	0.00334967	0.000713442	0.0128047	0.0162173	0.00515758	0.0492053	0.0477977	0.193034	0.669604
