 	l'	enfant	a	sali	son	habit	avec	l'	huile	de	palme	</S>
m	0.53251	0.455535	0.0019181	0.00269757	0.00370698	0.00263882	0.000620503	0.000150208	8.47719e-05	0.000109159	2.21514e-05	6.79395e-06
w	0.0115757	0.979487	0.00336152	0.000624152	0.000449644	0.000227847	0.000199425	0.000119433	0.00369815	0.000215988	1.00726e-05	3.09279e-05
á	0.051278	0.944421	0.00070988	0.00133651	0.000950383	0.000943239	0.00017447	6.41972e-05	7.87474e-05	1.08107e-05	2.38185e-05	9.15152e-06
n	0.273876	0.686309	0.00160388	0.00141418	0.00102303	0.00285256	0.00150755	0.000877815	0.017887	0.000289678	0.000223461	0.0121361
a	0.111805	0.693299	0.0419517	0.020599	0.0142779	0.025739	0.00613905	0.00926311	0.00452019	0.00134531	0.00209832	0.0689624
á	0.528896	0.175703	0.19899	0.025987	0.0287876	0.00327986	0.00786901	0.00670094	0.00696077	0.00789662	0.00163329	0.0072956
m	0.0443264	0.0238135	0.64504	0.202693	0.0198968	0.0260165	0.00884774	0.00446815	0.00449059	0.00900939	0.00318787	0.00821036
i	0.00390798	0.00988094	0.607269	0.291811	0.0538052	0.00783381	0.00529239	0.0027632	0.00638945	0.00348323	0.0007675	0.00679635
p	0.00129408	0.00121075	0.120575	0.789001	0.0190091	0.0549189	0.00243743	0.0010589	0.0016707	0.00166067	0.00125433	0.00590931
ω	0.000338622	5.57989e-05	0.0358821	0.838785	0.0102789	0.0981813	0.00349058	0.0010707	0.00124057	0.00091248	0.000848646	0.00891556
r	0.0102939	0.00468089	0.100681	0.685285	0.0768906	0.0603281	0.024459	0.017171	0.00699377	0.00379122	0.00289287	0.00653278
í	0.0171665	0.00220146	0.0773671	0.707792	0.0945572	0.0390146	0.0161785	0.00840832	0.00440473	0.00755911	0.0075538	0.0177964
s	0.00634881	0.00560335	0.0671837	0.100509	0.645249	0.0598909	0.0330666	0.014381	0.0363691	0.0086307	0.00516371	0.0176041
ώ	0.0137398	7.76934e-05	0.0119463	0.370565	0.401616	0.146422	0.020779	0.0119855	0.00208577	0.00356257	0.00463272	0.0125886
o	0.00385169	0.0010647	0.0432249	0.0426164	0.732168	0.110437	0.0242914	0.0153989	0.0121935	0.0042189	0.00510435	0.00543072
k	0.000359788	5.03389e-05	0.00138708	0.0599658	0.0328332	0.884652	0.0113075	0.00265022	0.00179944	0.000616689	0.00223244	0.00214516
á	9.81579e-05	2.05133e-05	0.000344615	0.0251465	0.00868529	0.936022	0.0101268	0.00153458	0.000653581	0.000907269	0.0110477	0.00541276
n	0.00142019	0.000173821	0.00609461	0.110053	0.040667	0.770452	0.0261288	0.00377451	0.00434734	0.00141551	0.00843638	0.027037
d	0.0010975	3.02087e-05	0.00639066	0.118447	0.163412	0.637235	0.027949	0.0086573	0.00452489	0.00362092	0.00256822	0.0260666
á	0.0127982	0.000902109	0.00824703	0.115856	0.158886	0.457551	0.0540815	0.0224041	0.00397085	0.00290043	0.00608223	0.15632
a	0.00222261	0.000182685	0.0240628	0.0224324	0.114986	0.180381	0.376304	0.123876	0.0432855	0.0402743	0.00999141	0.0620011
w	0.00271578	0.000152482	0.0376347	0.0175612	0.0521994	0.0487778	0.281598	0.213884	0.0940584	0.179979	0.0411112	0.0303282
ú	0.00179667	0.00017317	0.0300183	0.0215052	0.0429196	0.0336379	0.123195	0.135785	0.0647502	0.201791	0.185218	0.15921
r	0.000903402	4.68021e-05	0.00328139	0.00601445	0.0415686	0.152024	0.199505	0.169305	0.0343229	0.0797053	0.107699	0.205625
a	0.000957293	5.03023e-05	0.00249213	0.00969889	0.043047	0.333279	0.109148	0.155122	0.0374336	0.0530818	0.116116	0.139574
m	0.00085957	7.48796e-05	0.00624839	0.00152254	0.0428117	0.00924631	0.208656	0.266276	0.149717	0.201109	0.0245159	0.0889631
á	0.00346829	0.000390539	0.00263481	0.000506509	0.0125637	0.0020229	0.127635	0.364734	0.218284	0.149567	0.0557607	0.0624324
m	0.00133123	8.75126e-05	0.00454319	0.00355967	0.017187	0.0107667	0.0685299	0.152336	0.210002	0.173669	0.308776	0.0492118
b	0.000514983	0.000292211	0.00267723	0.000653804	0.00476257	0.00225219	0.044575	0.170975	0.31465	0.121449	0.257197	0.0800012
í	0.000121358	6.07743e-05	0.000128103	0.000956777	0.000560832	0.00325972	0.0283558	0.0785464	0.775794	0.0175065	0.0730114	0.0216987
a	0.00105359	0.000164819	0.000607692	0.000841564	0.00241012	0.0023936	0.0351963	0.0696819	0.611932	0.053088	0.112511	0.110119
</S>	0.000348794	2.21183e-05	0.00277641	0.00176339	0.00580189	0.00343135	0.0334984	0.093693	0.173977	0.263264	0.150418	0.271007
