 	les	poissons	mangent	les	escargots	</S>
a	0.77405	0.213991	0.00546068	0.00579347	0.000507276	0.000197108
s	0.102528	0.841633	0.0417551	0.00922924	0.00417535	0.000678982
w	0.026609	0.964398	0.00714465	0.00059702	0.000267137	0.000983968
é	0.0473267	0.941907	0.00856853	0.000607642	9.58509e-05	0.00149489
b	0.0565547	0.493487	0.203168	0.0300496	0.0106495	0.206091
á	0.131419	0.139438	0.198953	0.190629	0.0437799	0.295781
a	0.0565782	0.112462	0.539189	0.196816	0.0210204	0.0739349
d	0.0113556	0.012969	0.37535	0.517057	0.0373015	0.0459672
z	0.00250125	0.00963408	0.777256	0.100577	0.00659306	0.103439
á	0.072939	0.062769	0.789852	0.033866	0.0043085	0.0362651
á	0.0310142	0.0261428	0.237091	0.391739	0.118657	0.195357
a	0.0343819	0.0118819	0.0506487	0.618078	0.226086	0.0589242
k	0.00829112	0.00694074	0.0580969	0.194787	0.700626	0.0312582
ώ	0.000332661	0.000102001	0.00182243	0.0352619	0.936239	0.0262422
l	0.00158752	0.000447119	0.00594557	0.0809732	0.761236	0.14981
ώ	0.00437966	0.00241553	0.0215587	0.186519	0.54693	0.238197
</S>	0.0176034	0.00229966	0.0140519	0.137061	0.260559	0.568425
