 	il	est	en	train	de	bêcher	dans	sa	plantation	</S>
w	0.954858	0.0238931	0.0116534	0.00750983	0.000803094	5.22583e-05	0.000456821	0.000622849	8.41185e-05	6.64127e-05
a	0.937704	0.0233043	0.00987768	0.0159074	0.00516064	7.55349e-05	0.00175482	0.0060297	0.000173224	1.21686e-05
l	0.128891	0.498409	0.307269	0.023625	0.0200878	0.0155919	0.00429647	0.000373723	0.0003856	0.00107157
á	0.11574	0.27029	0.317345	0.0262341	0.0974173	0.0458281	0.0102225	0.00897239	0.00558031	0.102371
a	0.198878	0.156793	0.372376	0.0169988	0.053684	0.0536465	0.0108885	0.021233	0.0176705	0.0978322
s	0.00416398	0.0384468	0.0420372	0.0146763	0.0219486	0.871519	0.00474189	0.000241486	0.000535605	0.00168918
á	0.000820911	0.0230226	0.0205478	0.0023398	0.060551	0.869009	0.0214223	0.000185327	0.000109874	0.00199147
á	0.0276626	0.0377662	0.0169853	0.000213885	0.13215	0.590671	0.145554	0.0129848	0.00646993	0.0295416
s	0.0217543	0.0115956	0.0140327	0.000710793	0.0647605	0.336008	0.515244	0.0257231	0.00588045	0.00429082
á	0.00420634	0.00892587	0.0149839	0.000826302	0.112005	0.120236	0.513268	0.140992	0.0220065	0.0625497
n	0.111522	0.00914196	0.0131766	0.00178037	0.0407756	0.0505095	0.18387	0.248401	0.326973	0.0138502
g	0.00125234	0.000250522	0.00114144	4.2352e-05	0.00357352	0.000520796	0.0285413	0.0846254	0.865174	0.0148788
o	0.000940529	0.000350708	0.000659917	7.6913e-05	0.00153863	0.000161724	0.00571864	0.017297	0.970208	0.00304833
n	1.02394e-05	1.73499e-05	0.000148287	4.45288e-05	4.31159e-05	6.18679e-05	0.00170116	0.00403954	0.991543	0.00239078
d	0.00283205	0.00201573	0.00302799	0.000362856	0.0106073	0.000422423	0.0828018	0.124482	0.359567	0.413881
a	0.000853312	0.00132246	0.00797657	0.000258837	0.0205656	0.00143311	0.0331301	0.042579	0.258113	0.633768
</S>	0.00225811	0.00650962	0.0116532	0.000507596	0.0421023	0.00677015	0.0695189	0.160088	0.162501	0.538091
