 	on	entend	les	abeilles	bourdonner	autour	de	la	ruche	</S>
l	0.890337	0.0785821	0.00979237	0.01043	0.00158154	0.00162095	0.0016768	0.00593038	2.46293e-05	2.43057e-05
é	0.803823	0.112564	0.010589	0.0412735	0.0113443	0.00577414	0.00720861	0.00716649	9.19515e-05	0.000164926
e	0.334717	0.557528	0.0207257	0.0209407	0.0170877	0.0125476	0.00708013	0.00954319	0.0103363	0.00949322
b	0.0151212	0.776439	0.0586402	0.0188846	0.0256582	0.00706472	0.00877246	0.00176181	0.00158139	0.0860761
ó	0.0364741	0.430554	0.374656	0.0523256	0.0210593	0.00760784	0.0168813	0.00267609	0.00185222	0.0559133
n	0.0275152	0.478685	0.225454	0.0296889	0.157962	0.0225881	0.0144897	0.00163385	0.000211311	0.041772
d	0.0486961	0.363646	0.355671	0.0526605	0.0516233	0.0242644	0.0320093	0.00317917	0.000203676	0.0680473
á	0.0434159	0.236968	0.42197	0.0645	0.0473796	0.0245218	0.0470146	0.00555456	0.000262555	0.108414
a	0.0414636	0.0512768	0.41382	0.461666	0.0116024	0.00510624	0.0074526	0.00333198	0.00176658	0.00251329
n	0.00449524	0.0140107	0.26244	0.417785	0.252267	0.0196656	0.0144623	0.00516619	0.00636046	0.00334648
d	0.0011497	0.00394234	0.0603044	0.84863	0.0238812	0.0352398	0.0138326	0.00191882	0.00467613	0.00642562
z	0.000842004	0.00581252	0.0637502	0.704532	0.117328	0.055776	0.021671	0.00367439	0.0152683	0.0113454
ú	0.000277501	0.00142329	0.0221691	0.59923	0.225928	0.100874	0.0319147	0.00271366	0.00126481	0.0142056
e	0.00164581	0.00396571	0.00233904	0.402494	0.494744	0.0632487	0.0180509	0.00160209	0.00226465	0.00964486
b	0.000239461	0.000730605	0.0598321	0.0412152	0.634172	0.167083	0.0572613	0.0028173	3.68418e-05	0.0366125
á	0.0520865	0.00403413	0.129861	0.0200152	0.143895	0.134649	0.280715	0.157502	0.00692436	0.0703187
a	0.0382816	0.00269524	0.160942	0.0228002	0.288247	0.238626	0.102317	0.042657	0.0103602	0.0930734
f	0.00116118	0.00395188	0.0225901	0.00762775	0.750768	0.150237	0.0336291	0.00231063	0.00315828	0.0245653
ú	0.000254397	0.00348906	0.015485	0.00657799	0.658753	0.138218	0.110073	0.0134566	0.00032327	0.053369
ú	0.00100415	0.00119301	0.00652221	0.0072232	0.899229	0.0442772	0.0168529	0.00262973	0.000224787	0.0208438
n	0.00102393	0.000108409	0.00392148	0.00186375	0.227016	0.313948	0.313653	0.0270323	0.000229819	0.111203
g	0.00579318	0.000406031	0.00595752	0.0159507	0.104018	0.258691	0.40608	0.180605	0.00477757	0.0177217
á	0.00128746	0.000353341	0.00345347	0.0219453	0.0518638	0.45364	0.25605	0.187347	0.014153	0.00990677
s	0.000391841	0.000285036	0.00382897	0.00155656	0.0220194	0.195387	0.384096	0.357524	0.0111936	0.0237188
á	0.000310683	0.000152657	0.00513728	0.000592421	0.0186973	0.168175	0.316235	0.310684	0.0599266	0.120089
n	0.0013961	0.000105124	0.0021314	0.00059735	0.00469331	0.0280903	0.0860038	0.579937	0.289021	0.0080242
d	0.000111319	4.35322e-05	0.000499674	0.00131851	0.000707222	0.0535827	0.0732662	0.151382	0.714685	0.00440381
é	7.50617e-05	0.000110777	0.000206777	0.00088054	0.00108458	0.0303677	0.0391636	0.142963	0.759978	0.0251699
e	2.00019e-05	0.000118852	0.000714609	0.000989536	0.0123135	0.173051	0.232842	0.191938	0.144857	0.243155
y	0.000523549	0.000613976	0.00485339	0.000895519	0.00355309	0.0685507	0.238921	0.310476	0.0164558	0.355157
á	0.00049208	0.00028063	0.0110234	0.00064759	0.00964241	0.0982342	0.273748	0.26219	0.017313	0.326429
b	0.000914203	0.000253865	0.00604893	0.00076265	0.00367991	0.0113274	0.0786355	0.784597	0.0773242	0.0364567
á	0.00777588	0.000701024	0.00442727	0.00546444	0.00215097	0.018178	0.151237	0.674162	0.0703565	0.0655473
a	0.00508924	0.000791431	0.0106835	0.000399561	0.00104008	0.0177136	0.15822	0.588391	0.0746266	0.143044
</S>	0.00192749	0.000504979	0.00518864	0.000284029	0.00334506	0.0329557	0.152937	0.181171	0.0580705	0.563615
