 	etes-vous	toujours	là	</S>
b	0.936625	0.0598796	0.00221831	0.00127724
í	0.82498	0.151139	0.0187226	0.00515844
n	0.948139	0.0421508	0.00689853	0.00281181
í	0.966517	0.0142931	0.00862492	0.010565
l	0.207952	0.214227	0.358684	0.219137
e	0.0739656	0.0947245	0.0371889	0.794121
s	0.051614	0.782987	0.0642878	0.101111
á	0.0266859	0.800204	0.0930455	0.0800649
a	0.162299	0.382817	0.146591	0.308292
b	0.253748	0.284967	0.27457	0.186714
h	0.239	0.127877	0.579827	0.0532963
á	0.0873047	0.0771699	0.578637	0.256889
</S>	0.0347158	0.0604985	0.226369	0.678416
