 	c'	est	une	chance	si	quelqu'	un	vient	épouser	votre	fille	aujourd'	hui	</S>
w	0.489834	0.242105	0.0909097	0.0361016	0.0284158	0.0255938	0.0486904	0.0175701	0.00138197	0.0136637	0.000276477	0.0043776	0.000927388	0.000151763
á	0.361179	0.284363	0.0874538	0.0632076	0.036268	0.0286091	0.0611854	0.0203929	0.00979831	0.0153618	0.0293782	0.00238592	0.000310509	0.00010651
á	0.0810002	0.182891	0.124195	0.0713932	0.165745	0.0360157	0.032971	0.0499868	0.030837	0.0310942	0.141549	0.0373079	0.00191429	0.0130988
m	0.136537	0.254202	0.179396	0.216203	0.0346023	0.025709	0.0438192	0.0175371	0.00718089	0.0310679	0.00405902	0.00816524	0.000966515	0.0405531
o	0.0903988	0.234041	0.124511	0.223381	0.204099	0.00403847	0.0086927	0.029019	0.0113903	0.000780077	0.0640865	0.000776398	5.60423e-05	0.00472977
r	0.126539	0.123658	0.224867	0.184441	0.215704	0.021912	0.0332869	0.0324045	0.0162059	0.00279703	0.0118446	0.00132302	0.000129709	0.00488711
o	0.0501124	0.053287	0.301223	0.425518	0.0368227	0.0168433	0.0283952	0.0181162	0.00600429	0.027541	0.014276	0.00238031	3.43766e-05	0.0194464
a	0.0369472	0.0626378	0.239913	0.246998	0.183376	0.0755696	0.0636177	0.0361974	0.00735551	0.0213856	0.0060505	0.00870167	0.000234709	0.0110153
y	0.0243231	0.0677488	0.189415	0.178855	0.152899	0.184426	0.101255	0.0418291	0.0207962	0.0127463	0.00350655	0.0078098	0.00243964	0.01195
ε	0.0236805	0.0562662	0.133437	0.29559	0.248425	0.140887	0.037198	0.011547	0.00225346	0.0135958	0.000855381	0.00384326	0.000539756	0.0318818
í	0.0110889	0.0268466	0.105911	0.0690691	0.199005	0.131947	0.0353628	0.0241904	0.0132165	0.024928	0.00606651	0.0276486	0.000571788	0.324147
o	0.0159453	0.0194578	0.0446881	0.105712	0.358056	0.220616	0.118448	0.067446	0.0175876	0.00513654	0.00276145	0.00447977	0.00174645	0.0179189
b	0.00294448	0.00805342	0.0162537	0.0113083	0.0993978	0.299154	0.211903	0.0901979	0.253122	0.00100414	0.00115937	0.000538853	0.00189684	0.00306611
a	0.00158713	0.00676104	0.00988433	0.00116205	0.0164147	0.0877185	0.135322	0.0394095	0.692542	0.00133133	0.00134839	0.000829108	0.00265835	0.00303161
n	0.00123984	0.00530945	0.0142644	0.0024601	0.0649861	0.262447	0.136247	0.075066	0.33374	0.00578085	0.00190134	0.00330426	0.00645624	0.086797
d	0.00325095	0.00693478	0.015096	0.00756872	0.104987	0.454927	0.174725	0.0535829	0.0493021	0.0395778	0.00119035	0.0155154	0.00165616	0.0716865
á	0.0109819	0.0217742	0.0549543	0.0349136	0.160392	0.218214	0.0964108	0.0603766	0.0532113	0.0483997	0.00922671	0.0190369	0.000349675	0.211758
n	0.0102147	0.00590644	0.0145602	0.018604	0.105771	0.144046	0.211637	0.201561	0.0370294	0.116803	0.0833132	0.0293484	0.00328448	0.0179216
ω	0.0022144	0.00314689	0.0136953	0.111176	0.0304562	0.228604	0.0857332	0.0557479	0.0237451	0.26229	0.10667	0.0179802	0.000476264	0.0580645
