 	ta	marchandise	s'	écoule	bien	</S>
o	0.324227	0.605337	0.067566	0.00166253	0.00104078	0.000166582
m	0.0922424	0.877336	0.0222149	0.00339117	0.00152577	0.00328963
b	0.0111298	0.544204	0.255673	0.102125	0.0018769	0.0849914
ó	0.00610497	0.949701	0.0233764	0.0131686	0.00213994	0.00550946
n	0.00906231	0.852618	0.118492	0.00648605	0.00064405	0.0126985
g	0.0399239	0.890861	0.055925	0.00201875	0.00171395	0.00955747
o	0.109226	0.855843	0.0335425	0.000321312	0.000246043	0.000822039
m	0.145522	0.134672	0.670197	0.0351453	0.0034451	0.011019
á	0.40276	0.0897103	0.46639	0.030336	0.00530737	0.00549572
n	0.777855	0.0636585	0.140023	0.00670858	0.00356983	0.00818558
ω	0.92503	0.0110895	0.055732	0.00148985	0.000611924	0.00604686
m	0.0363126	0.0874622	0.778315	0.0546486	0.00765743	0.0356043
ó	0.076922	0.0380676	0.731271	0.0201904	0.0171393	0.116409
o	0.343626	0.0645645	0.439502	0.100187	0.0343805	0.01774
s	0.0108995	0.0127076	0.0510569	0.713423	0.175634	0.0362789
a	0.00565613	0.0314518	0.016866	0.822893	0.0373677	0.0857659
a	0.0317769	0.0040891	0.0777759	0.630715	0.0780015	0.177641
</S>	0.0185115	0.000796367	0.0232673	0.214936	0.501335	0.241153
