 	les	éleves	sont	en	train	d'	applaudir	leur	camarade	</S>
b	0.529567	0.364098	0.0353393	0.0101881	0.00533672	0.00733528	0.0381932	0.00581678	0.00374957	0.000375587
á	0.0812257	0.826079	0.0583617	0.0204923	0.00363181	0.00120551	0.00324212	0.00323287	0.00208685	0.000441633
n	0.114484	0.528797	0.20386	0.0904822	0.00726127	0.0134412	0.0242286	0.0129223	0.000476803	0.00404664
a	0.30875	0.445787	0.188525	0.0350307	0.00103811	0.001529	0.000543593	0.00631068	0.000387854	0.0120976
b	0.424437	0.167586	0.276169	0.0350151	0.00217275	0.0155492	0.00597971	0.0500233	0.00181422	0.0212541
á	0.0704968	0.153617	0.297549	0.158862	0.0460633	0.0921239	0.101411	0.0479623	0.00125083	0.030664
l	0.197004	0.125678	0.322399	0.144368	0.0865444	0.028116	0.0177525	0.0148961	0.00109141	0.0621496
e	0.123328	0.037609	0.163672	0.038923	0.00148843	0.0122334	0.0049548	0.00959118	0.00826887	0.599931
k	0.193136	0.286197	0.199155	0.182208	0.0174066	0.00851774	0.00308622	0.0032945	0.0112665	0.0957324
ώ	0.0441944	0.517972	0.028964	0.0981787	0.203817	0.0289332	0.0130822	0.00312177	0.012802	0.0489353
ώ	0.0729205	0.239821	0.101964	0.111307	0.208791	0.0395925	0.0946303	0.00767558	0.00754395	0.115754
l	0.167824	0.00463671	0.260904	0.157439	0.0618268	0.142117	0.0855556	0.113183	0.000555761	0.00595793
i	0.0769364	0.0448701	0.254993	0.172632	0.0247657	0.145186	0.0170147	0.0447905	0.00379904	0.215013
b	0.113203	0.00411384	0.271419	0.151823	0.0969602	0.171521	0.0312553	0.114811	0.00546553	0.039428
ó	0.236801	0.0548173	0.193741	0.0889623	0.129024	0.0824072	0.115546	0.0824563	0.00743443	0.0088103
b	0.0397021	0.0188497	0.217925	0.163074	0.252808	0.0964566	0.114775	0.0659284	0.00408727	0.0263949
á	0.0803704	0.00532226	0.0472159	0.0356637	0.101074	0.107213	0.545721	0.0574013	0.0104814	0.00953635
a	0.0470982	0.00186128	0.100587	0.0631827	0.0259062	0.144243	0.17439	0.409732	0.00830172	0.0246985
b	0.00182146	0.00912216	0.0102024	0.0127927	0.0060352	0.109342	0.228376	0.0612572	0.434702	0.126349
έ	0.00109699	0.00869141	0.00579156	0.0132414	0.0195329	0.0203481	0.10873	0.0278115	0.754141	0.0406156
r	0.00202177	0.0013239	0.00529236	0.0223597	0.0133923	0.113825	0.0540288	0.0245562	0.100432	0.662767
έ	0.0217658	0.00288388	0.0160494	0.0174818	0.00111224	0.126026	0.231164	0.53453	0.000634411	0.0483523
o	0.00234194	0.000546534	0.00947837	0.00605928	0.0016518	0.0843315	0.153933	0.313879	0.0509501	0.376828
b	0.00100424	0.00108043	0.000783735	0.0018826	0.000563458	0.00604749	0.00813612	0.0149691	0.718911	0.246622
i	0.00198246	0.00251408	0.00647497	0.0368615	0.0477254	0.0118609	0.0355704	0.0324519	0.804254	0.0203037
a	0.000521157	0.00101298	0.00115462	0.00574718	0.0232239	0.0230856	0.0324954	0.00940835	0.183574	0.719777
a	0.0106908	0.000901479	0.00890414	0.0122105	0.00236733	0.0513508	0.100632	0.438035	0.039176	0.335732
t	0.0123053	0.0023594	0.0186556	0.0145896	0.00512886	0.0666982	0.0511064	0.191308	0.085965	0.551884
s	0.00205687	0.0105141	0.0161105	0.0184741	0.0199028	0.0491242	0.134199	0.386073	0.00934828	0.354197
έ	0.00280344	0.00317625	0.00287337	0.00872336	0.0267833	0.0687248	0.324309	0.239537	0.0151581	0.307912
ε	0.00328587	0.000398804	0.00207994	0.00315055	0.00106319	0.028409	0.0581762	0.128926	0.0168904	0.75762
</S>	0.00860192	0.00146132	0.00915886	0.00837592	0.00213951	0.0516909	0.0741982	0.251593	0.0197805	0.573
