 	chaque	soir	chacun	rentre	dans	sa	demeure	</S>
i	0.717977	0.277713	0.00182262	8.45734e-05	0.00106638	0.00123521	9.5046e-05	6.50385e-06
k	0.179718	0.80207	0.0119571	0.00220582	0.00171733	0.000726318	0.000702758	0.000902459
á	0.00891011	0.977874	0.00510219	0.00320607	0.000814953	0.000314228	0.00341395	0.000364037
n	0.032998	0.900896	0.016201	0.0123267	0.0125868	0.0093199	0.00871513	0.00695673
g	0.219602	0.769993	0.00630471	0.000983086	0.00098942	0.000732247	0.000160429	0.00123457
a	0.40021	0.588643	0.00338462	0.000767023	0.00105051	0.00154469	0.000299643	0.00410111
l	0.160052	0.455019	0.105889	0.0359406	0.0772373	0.0502754	0.00338291	0.112204
é	0.103953	0.18423	0.0955649	0.0443669	0.0412782	0.0400178	0.00964925	0.48094
k	0.325976	0.171162	0.276907	0.0311912	0.0346079	0.0387057	0.00588508	0.115566
ω	0.0394933	0.412719	0.467523	0.0497149	0.00593648	0.00154029	0.0167304	0.00634285
k	0.0445629	0.307109	0.610313	0.0139434	0.00700534	0.00418027	0.00729203	0.00559407
ω	0.0985359	0.430205	0.345119	0.0247265	0.0339238	0.0110606	0.0217441	0.0346858
ω	0.168794	0.106958	0.3288	0.0725994	0.137044	0.112693	0.0117574	0.0613545
m	0.0392243	0.0181677	0.528147	0.135639	0.177534	0.0700148	0.00281588	0.0284574
o	0.00294596	0.00100031	0.579458	0.199786	0.140275	0.0320357	0.00144173	0.0430565
r	0.00965715	0.00214881	0.379329	0.48628	0.0727761	0.0187438	0.00766791	0.0233968
o	0.0461829	0.0101153	0.446009	0.268281	0.0676166	0.0496868	0.00548818	0.10662
l	0.00675222	0.00206325	0.268877	0.424239	0.186468	0.0491152	0.00485487	0.0576298
a	0.0108084	0.00482043	0.127197	0.373008	0.148839	0.0699107	0.0262687	0.239147
m	0.00589378	0.00110481	0.0394351	0.365042	0.366539	0.122563	0.0202266	0.0791946
o	0.00440673	0.000534964	0.110507	0.422812	0.25103	0.0947912	0.00873414	0.107185
r	0.000468422	0.000857752	0.0764109	0.296848	0.404812	0.127274	0.0503305	0.0429983
o	0.0112779	0.00780013	0.107995	0.393367	0.200501	0.0658327	0.117848	0.0953778
l	0.00103083	0.000417238	0.0116338	0.161381	0.412255	0.211612	0.0855676	0.116104
á	0.00680294	0.00186876	0.0177581	0.0938695	0.211346	0.181768	0.129146	0.35744
a	0.0026926	0.000686641	0.00498454	0.0250646	0.19141	0.410242	0.20389	0.16103
d	0.00880925	0.00238449	0.0177858	0.054549	0.140975	0.253901	0.32064	0.200956
z	0.000234439	4.37837e-05	0.00332982	0.0407279	0.1866	0.306395	0.0332343	0.429434
w	0.000689882	0.000456898	0.00875541	0.118098	0.213887	0.194691	0.0652406	0.398183
á	0.000297251	7.85674e-05	0.0120579	0.0519166	0.142055	0.12357	0.023349	0.646675
e	0.000294211	0.000111507	0.00398872	0.0144911	0.114365	0.426034	0.146298	0.294417
b	0.000390918	0.000472412	0.00458028	0.0121254	0.0161794	0.035645	0.658349	0.272258
o	0.00110978	0.000195215	0.00237223	0.00631422	0.0315895	0.0884388	0.791956	0.0780239
l	0.000116509	0.000112449	0.0010295	0.00617825	0.0301937	0.0236099	0.827141	0.111619
o	0.000319125	0.000623991	0.00314537	0.00819973	0.0218651	0.034285	0.731914	0.199648
o	0.000887517	0.00019619	0.00313728	0.00681532	0.058097	0.149271	0.0906978	0.690898
y	0.00284149	0.000986116	0.0117726	0.0252655	0.112473	0.239201	0.0519236	0.555537
á	0.000446085	0.000609941	0.00450225	0.0332629	0.0819279	0.267726	0.0648997	0.546625
w	0.000689048	0.000118675	0.000610716	0.00213463	0.0453423	0.338881	0.045659	0.566565
a	0.0118366	0.00105721	0.00144744	0.00884624	0.0899204	0.386924	0.129917	0.370051
</S>	0.00142704	9.63288e-05	0.00137068	0.00463353	0.0387079	0.121835	0.0276711	0.804258
