 	alomba	parlait	en	paraboles	</S>
a	0.971884	0.0234821	0.0038437	0.00065139	0.000139048
l	0.916557	0.0808654	0.0016543	0.000732342	0.000190415
o	0.773692	0.199102	0.0100816	0.00257085	0.0145528
m	0.923709	0.0636118	0.00321904	0.00329807	0.00616206
b	0.94957	0.0282505	0.00944175	0.000581659	0.0121559
á	0.790135	0.0550093	0.0661124	0.00299523	0.085748
á	0.210352	0.545822	0.135091	0.0114395	0.0972957
d	0.101746	0.77145	0.090777	0.00630867	0.0297185
z	0.094999	0.489557	0.117678	0.004197	0.293568
á	0.0530449	0.862969	0.055051	0.00222804	0.0267066
l	0.0283622	0.425698	0.36614	0.0591692	0.120631
á	0.018084	0.250446	0.166753	0.0602546	0.504463
a	0.205692	0.22427	0.299918	0.184144	0.0859767
t	0.0238309	0.344168	0.196327	0.38739	0.0482848
i	0.00350845	0.439855	0.0844377	0.415026	0.057173
á	0.00707	0.126218	0.303991	0.226129	0.336592
m	0.00787022	0.0459136	0.355693	0.357744	0.232779
á	0.0112612	0.00573213	0.584489	0.0327937	0.365724
k	0.0210649	0.0356976	0.366843	0.41446	0.161935
á	0.00285971	0.0211456	0.0168581	0.934408	0.0247287
k	0.00284158	0.0774966	0.0440974	0.757353	0.118212
a	0.00231144	0.0356345	0.0243385	0.687293	0.250422
m	0.00374478	0.0414841	0.0614228	0.395175	0.498173
b	0.247635	0.0159469	0.447085	0.0871473	0.202186
í	0.0287991	0.00573223	0.233928	0.189647	0.541893
</S>	0.0050973	0.0195866	0.110185	0.248208	0.616923
