 	c'	est	un	homme	bourru	mais	brave	</S>
a	0.603475	0.208925	0.0702893	0.099718	0.00992112	0.00736503	0.000216985	8.93763e-05
d	0.102302	0.393693	0.183105	0.281517	0.00928354	0.0102423	0.0175265	0.00233062
í	0.136928	0.401868	0.189961	0.238911	0.0049208	0.0112198	0.00161995	0.0145714
l	0.0424907	0.10835	0.287863	0.274154	0.0160223	0.013739	0.0173753	0.240005
o	0.0387155	0.0667107	0.143798	0.0773512	0.0198209	0.0566215	0.0109491	0.586033
n	0.0085625	0.0290019	0.159571	0.206568	0.339939	0.0238596	0.0788639	0.153634
y	0.000226884	0.00313569	0.042194	0.0634595	0.879435	0.00211142	0.00370154	0.00573619
a	0.00311192	0.0277948	0.313775	0.0921076	0.479309	0.0296305	0.011449	0.0428228
m	0.0184347	0.0321667	0.265235	0.169952	0.239191	0.0515629	0.0789786	0.144479
a	0.0409597	0.0354882	0.179313	0.111833	0.215286	0.209505	0.0446062	0.163009
n	0.0476017	0.0967988	0.186722	0.0952161	0.158538	0.303536	0.0383095	0.0732773
d	0.00705183	0.012428	0.0483388	0.0164011	0.141576	0.386052	0.0486773	0.339474
z	0.0012963	0.00316777	0.0156812	0.0103597	0.432673	0.314049	0.059227	0.163546
á	0.000168684	0.00130215	0.0600085	0.0749264	0.0459128	0.358415	0.368327	0.0909399
á	0.000528373	0.00240307	0.0806283	0.0766526	0.0160743	0.128801	0.344175	0.350737
a	0.0117678	0.0106438	0.0348205	0.0249853	0.0608625	0.601121	0.176177	0.079622
d	0.00559153	0.0102606	0.0140505	0.00558374	0.00824581	0.215795	0.598773	0.141701
í	0.00244507	0.00411729	0.00549372	0.0017905	0.0010011	0.165272	0.285475	0.534405
n	0.00332166	0.00173336	0.00573068	0.0022997	0.00246707	0.125922	0.45112	0.407406
d	0.000353906	0.00137822	0.00486693	0.0022225	0.0132468	0.168972	0.224998	0.583961
z	0.000151492	0.000557872	0.00216779	0.000728613	0.0158853	0.0909172	0.354389	0.535203
a	4.02414e-05	0.000124711	0.00213443	0.00215162	0.0019126	0.0516263	0.633215	0.308796
n	0.000103295	0.000196494	0.00667327	0.00572104	0.00282806	0.0440637	0.259566	0.680848
g	0.000794633	0.00195227	0.0165936	0.00806327	0.00389067	0.0904488	0.22562	0.652637
á	0.000335158	0.000311608	0.00213052	0.00106676	0.00133331	0.0196174	0.168316	0.80689
</S>	0.00347757	0.00474666	0.0147002	0.0131025	0.00330969	0.255987	0.117777	0.586899
