 	ce	fou	nous	fait	rire	</S>
e	0.607863	0.363007	0.024734	0.00371834	0.00013713	0.000541106
b	0.0466794	0.940144	0.00500547	0.00532835	0.00198348	0.000859669
h	0.00244997	0.995616	0.000984877	0.000251984	0.00065873	3.83991e-05
ó	0.0128122	0.971886	0.0114939	0.00165832	0.000707945	0.00144205
a	0.47313	0.501201	0.0121501	0.00492751	0.00302115	0.00557057
y	0.797855	0.06001	0.0516853	0.0510891	0.00173531	0.0376248
é	0.646469	0.0191344	0.0363337	0.0892988	0.0334369	0.175327
y	0.551646	0.0246703	0.190505	0.099385	0.0180003	0.115794
é	0.721163	0.00691499	0.0532436	0.0846051	0.0866884	0.0473844
e	0.476299	0.0110236	0.0969547	0.129512	0.114549	0.171662
d	0.0121696	0.0108779	0.0997671	0.336939	0.31778	0.222467
z	0.0153171	0.0035406	0.0450165	0.232782	0.195154	0.50819
ε	0.262933	0.00116624	0.0202339	0.229405	0.200234	0.286029
s	0.0299802	0.00322807	0.0328857	0.0979427	0.130837	0.705127
έ	0.0503205	0.00368304	0.0556772	0.154531	0.281775	0.454014
έ	0.00957906	0.00124249	0.247179	0.174251	0.0473016	0.520447
b	0.0290534	0.0133379	0.322121	0.341575	0.143069	0.150843
í	0.0113541	0.0580252	0.845084	0.0395973	0.0317249	0.0142146
s	0.00302669	0.00653242	0.893142	0.0204883	0.0145712	0.0622395
í	0.0404792	0.025534	0.387598	0.113734	0.122772	0.309883
</S>	0.00634652	0.0111384	0.0882498	0.119948	0.0644156	0.709902
