 	la	panthère	est	à	l'	affût	de	la	gazelle	</S>
n	0.59596	0.37996	0.00592878	0.00474156	0.00767853	0.000898306	0.0006813	0.00171031	0.00237805	6.23328e-05
g	0.564379	0.432808	0.00124163	0.000510638	0.000433771	1.25272e-05	0.000118322	0.000452178	4.16435e-05	1.955e-06
w	0.131317	0.867218	0.000708246	0.000282459	0.000163736	2.79505e-05	2.80917e-05	0.000149014	9.87504e-05	7.28059e-06
ε	0.46911	0.458536	0.0197916	0.0202958	0.0122367	0.000720461	0.00226605	0.00562979	0.00383445	0.00757906
b	0.176721	0.0958453	0.26264	0.207129	0.0968885	0.0459094	0.0127869	0.00715986	0.0110438	0.0838767
ó	0.277736	0.198523	0.0930107	0.147066	0.0465385	0.0100224	0.0381587	0.0221629	0.0229301	0.143852
l	0.042627	0.0196603	0.280339	0.293573	0.274661	0.0591384	0.00748383	0.00698465	0.00279647	0.012736
á	0.269011	0.0304671	0.197048	0.129255	0.129766	0.0462952	0.0699678	0.020468	0.00375371	0.103968
a	0.402097	0.0188194	0.18164	0.135091	0.151351	0.0558673	0.0174427	0.0210151	0.00479549	0.0118816
l	0.00656339	0.000343503	0.0660487	0.144578	0.106797	0.634496	0.0104398	0.0219272	0.00490645	0.00390035
έ	0.00599557	8.50883e-05	0.0388446	0.114023	0.0960034	0.614016	0.0310987	0.0360256	0.0131149	0.0507929
έ	0.00535182	0.000170277	0.0558002	0.125845	0.0943375	0.636152	0.0315498	0.0241671	0.0032198	0.0234061
t	0.00334965	0.00115125	0.01784	0.0404335	0.0508153	0.0748345	0.336749	0.347906	0.0885359	0.0383851
s	0.00312087	0.00325122	0.0296936	0.124103	0.0935361	0.171064	0.110783	0.213821	0.0881243	0.162504
έ	0.000418838	0.000152189	0.005758	0.0679429	0.0913856	0.212769	0.0845011	0.311863	0.214399	0.0108106
s	0.00264421	0.0027872	0.0246622	0.0761614	0.068809	0.054468	0.155444	0.0902311	0.0626284	0.462165
i	0.00113191	5.80393e-05	0.0091224	0.0361554	0.0312074	0.0589205	0.174277	0.313487	0.068567	0.307073
</S>	0.0102731	0.000505351	0.0143543	0.0186758	0.0288841	0.0042828	0.0865346	0.153709	0.446676	0.236105
