 	la	savane	de	kangala	est	vaste	</S>
o	0.611528	0.312967	0.051639	0.0179388	0.00457355	0.000865022	0.000487959
l	0.0892258	0.856449	0.0252346	0.0174504	0.00164725	0.00809441	0.00189875
ω	0.0243687	0.919029	0.00666195	0.021197	0.00108604	0.0181039	0.00955349
n	0.0474253	0.915182	0.0171223	0.00902336	0.00187452	0.0052517	0.00412083
g	0.174927	0.553074	0.0990793	0.046768	0.0295415	0.0165713	0.0800397
ώ	0.256712	0.493518	0.105671	0.044522	0.0259938	0.0165067	0.0570765
m	0.237126	0.0475225	0.572018	0.0664617	0.0494577	0.0013464	0.026068
á	0.586159	0.0107304	0.20539	0.0358185	0.127285	0.0016387	0.0329786
k	0.18885	0.0149005	0.377945	0.373934	0.0244094	0.00993831	0.0100233
a	0.0266731	0.0178531	0.0750462	0.827133	0.0186658	0.0236736	0.010955
n	0.00780855	0.00925172	0.0834724	0.786084	0.0613384	0.0195256	0.0325195
g	0.0153304	0.0266818	0.14232	0.640756	0.0815914	0.0161601	0.0771605
a	0.069451	0.0580455	0.204086	0.518628	0.0770709	0.0258315	0.0468863
l	0.0259052	0.00631375	0.226875	0.0501905	0.540997	0.0140662	0.135652
a	0.0862037	0.0145058	0.179105	0.110447	0.199004	0.0504913	0.360244
ó	0.0486051	0.00353011	0.191035	0.162903	0.28952	0.190263	0.114143
d	0.0218916	0.0230463	0.108551	0.0881089	0.25559	0.213538	0.289274
í	0.00466179	0.000873325	0.011958	0.00593217	0.0811753	0.509322	0.386077
b	0.00586124	0.000316221	0.022139	0.0126918	0.171257	0.264869	0.522866
u	0.0088603	0.00656434	0.0331839	0.196896	0.136956	0.446957	0.170583
é	0.00115295	0.000491057	0.0109221	0.0305635	0.0406606	0.58669	0.32952
e	0.00473073	0.00071584	0.0193764	0.00394313	0.166535	0.138597	0.666103
</S>	0.0224064	0.0113278	0.0434192	0.0184814	0.162987	0.116249	0.62513
