 	le	chauffeur	tourne	le	volant	pour	garer	sa	voiture	</S>
o	0.903685	0.0631922	0.00485828	0.00750167	0.00235589	0.00323638	0.00849973	0.00188484	0.00452434	0.000261701
b	0.525882	0.339841	0.0876913	0.00379077	0.00330688	0.00146869	0.0065236	0.00358799	0.0249089	0.00299895
h	0.522182	0.317209	0.0835037	0.0100063	0.00319287	0.0109375	0.0196247	0.0137843	0.0169231	0.00263621
é	0.272787	0.349037	0.184361	0.0300642	0.00701076	0.0172714	0.0402396	0.037171	0.0500829	0.011975
m	0.87255	0.10528	0.00550933	0.00396836	0.00157405	0.00215919	0.00216818	0.00298639	0.00264745	0.00115659
b	0.53497	0.381158	0.018527	0.0241571	0.00523026	0.0105205	0.00230403	0.00247752	0.00204288	0.0186129
i	0.528559	0.386437	0.0219041	0.0187594	0.00303109	0.00617897	0.00857101	0.0043247	0.00249542	0.0197392
s	0.281162	0.352194	0.0990537	0.0750381	0.0131872	0.0234467	0.0206553	0.0468034	0.00245192	0.0860073
i	0.71608	0.2192	0.0125757	0.0116719	0.0152512	0.00245641	0.0109837	0.00212179	0.00104148	0.00861749
o	0.747886	0.102015	0.0307448	0.0270297	0.0147058	0.00905089	0.016191	0.014645	0.00363692	0.0340951
t	0.0353931	0.123429	0.81843	0.0112412	0.00369274	0.0027579	0.00135323	0.000565409	0.000538761	0.00259903
ω	0.0146804	0.0413931	0.912069	0.0152617	0.0030326	0.00438664	0.0019692	0.00119195	0.00125848	0.00475741
m	0.0301333	0.102708	0.780678	0.0512068	0.00888613	0.00547413	0.00315591	0.00550722	0.00538581	0.00686464
b	0.0589555	0.0775521	0.256804	0.276149	0.041476	0.0535086	0.00590463	0.0329216	0.00552381	0.191205
í	0.0610811	0.132104	0.153771	0.111113	0.0176508	0.0834674	0.015298	0.047963	0.015111	0.362441
l	0.0208419	0.0472246	0.234645	0.458012	0.0376669	0.0389787	0.0129433	0.0365285	0.00602423	0.107135
i	0.00642139	0.0125347	0.198776	0.201066	0.078634	0.103373	0.0642197	0.0556409	0.0107439	0.26859
l	0.00639842	0.00492861	0.0947982	0.592528	0.175084	0.0438189	0.0158505	0.0153556	0.00440158	0.0468363
á	0.00530947	0.00479178	0.103127	0.326929	0.241682	0.0749286	0.0200127	0.0222907	0.00771788	0.193211
a	0.00950232	0.00309323	0.0169628	0.316206	0.350137	0.11	0.0404696	0.0382985	0.0133587	0.101972
n	0.00403247	0.00632724	0.107433	0.324472	0.387765	0.104064	0.0195562	0.0101526	0.00884127	0.0273553
y	0.0993154	0.0296712	0.0338867	0.182424	0.533546	0.042366	0.0480205	0.00266552	0.0102574	0.017848
