 	l'	éléphant	barrit	</S>
n	0.726109	0.269481	0.00315356	0.0012573
z	0.634562	0.365168	0.00010783	0.000161527
ω	0.0816078	0.884169	0.0119845	0.0222384
i	0.0172951	0.973522	0.00167505	0.0075075
l	0.18297	0.141469	0.410018	0.265543
á	0.0904995	0.115053	0.15623	0.638217
a	0.847884	0.0799232	0.0363685	0.0358243
b	0.0359486	0.0764927	0.528072	0.359486
h	0.0221906	0.0188684	0.927896	0.0310449
ώ	0.00368072	0.00694288	0.869851	0.119525
ω	0.00978216	0.0145796	0.307512	0.668126
</S>	0.063829	0.0591859	0.107837	0.769148
