 	depuis	que	j'	ai	emmenagé	dans	cette	maison	je	souffre	d'	insomnie	</S>
l	0.55383	0.373421	0.0415376	0.00553446	0.000185521	0.00311135	0.00754341	0.00617247	0.00153597	0.00142236	0.00277614	0.00282655	0.000102935
e	0.498592	0.153717	0.0334522	0.157872	0.000805932	0.0103342	0.0497432	0.0222028	0.0308236	0.0303198	0.00667275	0.00483544	0.000629269
e	0.189936	0.334415	0.0541672	0.123169	0.0205509	0.0359937	0.0336574	0.02869	0.0736904	0.0755124	0.0208042	0.00325841	0.00615548
k	0.0760277	0.0576489	0.0575316	0.0920798	0.0509111	0.0471478	0.0114639	0.00560732	0.0209519	0.0624652	0.148167	0.0826598	0.287338
ó	0.0994506	0.0135192	0.00797409	0.043822	0.34499	0.0688645	0.0286907	0.00508387	0.0111706	0.0614491	0.119055	0.0759679	0.119963
i	0.0418002	0.0167599	0.0176564	0.0423882	0.731795	0.0439285	0.020588	0.00733003	0.00188282	0.00458643	0.0104972	0.00998804	0.0507992
l	0.330813	0.0691964	0.138611	0.272129	0.0253269	0.0382083	0.0238586	0.00606868	0.0066739	0.0134653	0.0332791	0.00730772	0.0350618
í	0.268472	0.0907904	0.0702097	0.109616	0.0942468	0.0454898	0.0174354	0.00496621	0.0174767	0.0395266	0.0641294	0.0197578	0.157884
n	0.136725	0.188231	0.211658	0.166652	0.0213197	0.0613014	0.0242156	0.0198683	0.031059	0.0327766	0.0517149	0.0153208	0.0391579
g	0.0041138	0.0642852	0.479578	0.0785741	0.000546775	0.00755499	0.0141935	0.274354	0.0448922	0.0144872	0.00788277	0.00142434	0.00811354
á	0.00185626	0.0483312	0.449212	0.178645	0.00924757	0.0129405	0.0151132	0.177326	0.0555622	0.0330905	0.00904207	0.00280063	0.00683341
n	0.0457705	0.00822945	0.0257375	0.366223	0.0206775	0.203342	0.136523	0.0306269	0.0262008	0.0293634	0.0511044	0.0192763	0.0369261
d	0.00508108	0.0129992	0.174387	0.161268	0.000632125	0.0398085	0.0514192	0.31148	0.107504	0.0495019	0.0332437	0.00344885	0.0492259
é	0.000546063	0.00327794	0.0677837	0.147472	0.0121616	0.0493907	0.0449583	0.344788	0.204214	0.073038	0.00866398	0.00224021	0.0414661
e	0.0083158	0.0149864	0.0440613	0.0946411	0.00936956	0.0823713	0.115859	0.154466	0.227153	0.167878	0.0369763	0.00537928	0.0385425
y	0.00854482	0.00836018	0.0513405	0.0786128	0.0021239	0.223158	0.167143	0.12681	0.209083	0.0681688	0.0364596	0.00914968	0.0110467
é	0.00856105	0.0155433	0.0314792	0.034987	0.00305344	0.116972	0.214191	0.234745	0.242028	0.0704515	0.0156018	0.00571189	0.0066746
n	0.0016966	0.0124376	0.0292131	0.0207924	0.00198934	0.0759731	0.150544	0.167854	0.306809	0.141189	0.0527832	0.0194438	0.0192752
g	0.000136399	0.00105394	0.00686876	0.0157862	4.10962e-05	0.0155141	0.0556287	0.554067	0.250521	0.0725988	0.0108903	0.00137555	0.0155184
á	8.69025e-05	0.00153844	0.0347363	0.0466557	0.00124747	0.030124	0.0648624	0.426125	0.204435	0.140453	0.024575	0.00331621	0.0218453
l	0.0016032	0.000827177	0.00274026	0.0305671	0.000532668	0.0666415	0.203509	0.082736	0.204203	0.238284	0.126095	0.02397	0.0182913
í	0.000686542	0.00227478	0.00355583	0.0100289	0.00126996	0.0560033	0.0864381	0.262373	0.253358	0.141607	0.0756287	0.0181481	0.0886279
i	0.000990159	0.0017039	0.00433949	0.00594513	0.00188488	0.0429918	0.051267	0.0253	0.188028	0.315524	0.212203	0.0529468	0.0968768
b	0.00080457	0.000314496	0.00129458	0.00746673	0.0097857	0.0515547	0.0407769	0.0405364	0.103277	0.21806	0.171298	0.0537095	0.301121
v	0.000664694	7.66009e-05	0.000219928	0.00534101	0.0148613	0.0729613	0.0623964	0.0078919	0.0162105	0.144388	0.16677	0.143888	0.36433
á	0.000735106	5.65227e-05	0.00016353	0.0029639	0.0122289	0.086654	0.0513397	0.0140205	0.0164733	0.095474	0.248601	0.185572	0.285718
e	0.000941501	0.000241596	0.000648383	0.000677595	0.000331929	0.042622	0.107114	0.048662	0.0374399	0.124887	0.225265	0.0628661	0.348302
p	0.000652491	9.68497e-05	0.000220628	0.00127457	0.000273812	0.00670222	0.0154443	0.00871186	0.0458214	0.146796	0.374003	0.0962396	0.303764
á	0.000809942	0.000629389	0.000682766	0.000532047	0.000942442	0.00575584	0.0177246	0.00740022	0.0253208	0.259588	0.270276	0.219531	0.190806
á	0.00200799	0.00240371	0.00196697	0.000211991	0.00198852	0.0077831	0.0113666	0.00709981	0.0434894	0.170585	0.286349	0.315363	0.149384
r	0.00201199	0.0010173	0.00252305	0.00405425	5.02017e-05	0.00742991	0.0123503	0.00934834	0.0620706	0.083278	0.441758	0.215429	0.158679
i	0.000625072	0.00160757	0.00327509	0.000881452	8.92899e-05	0.00415239	0.0151617	0.0236752	0.0843738	0.209844	0.323232	0.15087	0.182213
l	0.000464154	0.000682229	0.00148242	0.000623681	2.61441e-05	0.00149762	0.0107742	0.00560778	0.0573147	0.0797687	0.338125	0.210487	0.293147
e	0.00109187	0.00217471	0.00594248	0.00219689	0.000289261	0.00511764	0.00559412	0.00579636	0.0410543	0.065556	0.269873	0.183573	0.41174
p	0.000233776	0.000329113	0.000383348	0.00114966	0.000335268	0.00283153	0.0128415	0.00186251	0.0190403	0.0664344	0.16391	0.24752	0.483128
á	0.000192953	0.000282924	0.000344663	0.000444938	0.00028454	0.00327916	0.00842545	0.00209611	0.010279	0.0607629	0.146276	0.493039	0.274292
á	0.000763932	0.000927341	0.00108687	0.000287094	0.00177951	0.00518169	0.00544584	0.0011499	0.0219717	0.0852032	0.167344	0.483837	0.225022
r	0.00359371	0.00257082	0.00506586	0.00664173	9.25557e-05	0.00925295	0.0114115	0.00591194	0.0399122	0.0553466	0.288178	0.384666	0.187356
i	0.000619971	0.00160707	0.00347283	0.00189955	3.41418e-05	0.00339794	0.0166888	0.0468985	0.130625	0.203818	0.229161	0.0917898	0.269987
</S>	0.000111309	0.000350569	0.00100945	0.000544322	2.9624e-05	0.000936081	0.00203769	0.00131133	0.0263399	0.05696	0.202494	0.11505	0.592826
