 	il	a	donné	un	coup	de	pied	au	chien	pour	rien	</S>
w	0.92964	0.0598418	0.00265892	0.00118139	0.000108079	0.00221091	0.00073338	0.00149839	0.000108106	0.00182541	5.53021e-05	0.000138973
a	0.772837	0.174972	0.00341972	0.00915343	0.000160058	0.0108404	0.000451337	0.0151252	0.00589604	0.00649926	0.000455606	0.000189655
á	0.0827557	0.600239	0.257681	0.0453978	0.00443748	0.0032498	0.000217956	0.00160295	0.00024371	0.0018592	0.000161219	0.00215413
s	0.014968	0.194257	0.52692	0.120706	0.0989983	0.00947245	0.00513008	0.00474015	0.00428612	0.0100121	0.00041207	0.0100971
i	0.000645442	0.0199041	0.218766	0.0734779	0.666429	0.00181277	0.00148952	0.000358223	0.000872773	0.00144858	0.00127893	0.0135168
l	0.000462365	0.00284153	0.0909886	0.252226	0.638269	0.00405909	0.00031748	0.000700523	0.00173119	0.000320693	0.000527563	0.00755642
i	0.0179654	0.032096	0.181959	0.43983	0.237391	0.0444872	0.00204491	0.00991464	0.00167693	0.0112719	0.00145877	0.0199048
m	0.0713821	0.0685477	0.171248	0.328178	0.141233	0.118318	0.00719809	0.0276708	0.0214991	0.00978079	0.00189846	0.0330452
b	0.0515561	0.0173234	0.00971685	0.110168	0.0973776	0.0625655	0.0031514	0.0355608	0.596096	0.00212848	0.00113071	0.0132252
v	0.00243584	0.000960237	0.000734519	0.0174412	0.0354651	0.0184026	0.0136046	0.0163039	0.891117	0.000220864	0.000615566	0.0026981
á	0.00232424	0.00130217	0.00128648	0.018873	0.0140511	0.0206287	0.0196411	0.0196	0.879611	0.000560855	0.000658564	0.0214624
n	0.00124299	0.00635802	0.00589805	0.0260571	0.00849138	0.0566889	0.0689466	0.0137458	0.79266	0.000705336	0.000148617	0.0190574
d	0.0131166	0.0100526	0.03129	0.119724	0.18265	0.206295	0.156817	0.043573	0.173368	0.00659436	0.00096743	0.0555519
é	0.00282135	0.000999517	0.00519046	0.0352684	0.241999	0.0957632	0.0634594	0.0170795	0.380226	0.00265921	0.00510289	0.149431
e	0.00943937	0.0271231	0.0703091	0.0751726	0.0703019	0.391088	0.100492	0.16056	0.0483579	0.0195856	0.000403682	0.0271674
k	0.0010561	0.00313426	0.0116796	0.0183084	0.0326188	0.104299	0.471571	0.198948	0.07283	0.0331365	0.00926091	0.043157
i	3.636e-05	0.000183111	0.000563467	0.00165031	0.00202091	0.00729768	0.937822	0.0174269	0.0141388	0.00392495	0.000679606	0.0142563
n	0.000132329	0.000630217	0.00337837	0.00622765	0.00437742	0.0198502	0.82001	0.0482704	0.0443768	0.00743454	0.00164267	0.0436696
d	0.00054225	0.00141212	0.00640749	0.00959525	0.0161191	0.0614625	0.467152	0.12419	0.1907	0.0205372	0.00311775	0.0987649
i	0.00115518	0.00174048	0.00547804	0.0123073	0.0343962	0.0790005	0.205613	0.0896502	0.138524	0.0223571	0.00712678	0.402652
ó	0.00124428	0.00357889	0.0107048	0.0112205	0.00493657	0.107744	0.0309804	0.362997	0.0626414	0.279557	0.00658902	0.117807
n	0.00143904	0.0117014	0.0318176	0.0530089	0.0477696	0.0409335	0.0396208	0.161507	0.0783618	0.259594	0.160546	0.1137
g	0.00209682	0.00433319	0.00629922	0.0170963	0.0514518	0.0502916	0.00815977	0.101515	0.0789945	0.0999377	0.400086	0.179738
u	0.000170089	0.000626237	0.00121883	0.00396629	0.0204827	0.016573	0.00435431	0.0326587	0.0135712	0.0482036	0.807373	0.0508023
a	1.51076e-05	6.18e-06	7.13166e-06	0.000131795	0.000344211	0.000905611	0.00100077	0.00312792	0.0149617	0.0059411	0.892351	0.0812074
</S>	0.000260327	9.80433e-05	0.000268246	0.00121639	0.000223103	0.0057691	0.00158534	0.0112911	0.00208874	0.167284	0.0916832	0.718232
