 	l'	arête	du	poisson	s'	est	coincée	dans	sa	gorge	</S>
l	0.257352	0.22735	0.433388	0.0575213	0.00542778	0.0008861	0.00260175	0.00637251	0.00874994	0.000138106	0.000212643
ε	0.221676	0.651396	0.0481386	0.0184537	0.019438	0.00420377	0.000192182	0.00816901	0.0173486	0.0102041	0.000779942
k	0.0883914	0.776595	0.0611291	0.0196766	0.0195508	0.0126527	0.000483983	0.00779968	0.00237217	0.00602982	0.0053184
ú	0.0165929	0.743673	0.0814721	0.0264198	0.0134205	0.0136659	0.0214668	0.0237331	0.0104462	0.012904	0.0362061
b	0.00826293	0.950209	0.0197372	0.00113757	0.00419866	0.00273868	0.000605305	0.000869198	0.000504168	0.00509381	0.00664347
h	0.0801804	0.817983	0.0481794	0.0023638	0.00284719	0.00108554	0.00681698	0.00526956	0.00205726	0.000992276	0.0322251
ε	0.314695	0.494386	0.129092	0.00589577	0.00459031	0.00134358	0.0036456	0.00474529	0.00366061	0.000206957	0.0377391
l	0.0824981	0.0595621	0.540933	0.0930606	0.130969	0.0350193	0.0231768	0.00717535	0.00568421	0.000108785	0.0218128
á	0.16904	0.129116	0.184434	0.0991048	0.166166	0.081972	0.00534606	0.0427369	0.0467586	0.0015979	0.0737277
s	0.0673413	0.0185325	0.152283	0.575727	0.121519	0.0287688	0.0126031	0.0086293	0.00853201	0.00318114	0.00288356
w	0.00566332	0.00868904	0.049218	0.672646	0.103264	0.103897	0.011432	0.0232268	0.00489305	0.0105016	0.00656945
é	0.0151371	0.0321596	0.0471753	0.347582	0.307591	0.159547	0.00713657	0.0372913	0.0157281	0.0274485	0.00320319
í	0.0102438	0.0309057	0.112022	0.31231	0.265385	0.170733	0.0384746	0.0216719	0.0142653	0.00239729	0.0215904
m	0.00295383	0.00152546	0.0122802	0.0581567	0.23512	0.464785	0.135952	0.0508476	0.0147893	0.00043367	0.0231551
i	0.00465998	0.00101762	0.00884431	0.0714626	0.192904	0.441494	0.114514	0.0954941	0.0399405	0.00472862	0.02494
b	0.0191479	0.002404	0.00312511	0.0143884	0.0826315	0.213873	0.533026	0.0579289	0.0207605	0.0240611	0.0286536
h	0.00205221	0.000740355	0.000528417	0.00837721	0.0185786	0.0619052	0.850718	0.0253032	0.00544252	0.00882884	0.0175258
á	0.000662918	0.000421788	0.000183849	0.0012209	0.00434511	0.0167171	0.939393	0.0153227	0.00147968	0.00124338	0.0190098
r	0.00096067	0.00152596	0.00193223	0.00942489	0.0143605	0.0432821	0.716989	0.136652	0.0144792	0.00123827	0.0591555
á	0.0197295	0.0481074	0.0155999	0.0245092	0.0700854	0.0593552	0.230393	0.265447	0.109238	0.0282536	0.129282
á	0.00277819	0.00401088	0.00651994	0.00841092	0.0303085	0.046823	0.0888233	0.526965	0.214201	0.0419226	0.0292371
w	0.00294459	0.00174554	0.00361335	0.00856805	0.0190743	0.0384309	0.0643198	0.490387	0.303885	0.0296917	0.0373397
a	0.00160774	0.00382839	0.0102846	0.0224701	0.0425388	0.0496263	0.101906	0.26556	0.360972	0.0352038	0.106002
m	0.000601188	0.00143536	0.00608827	0.00355898	0.0150534	0.0375983	0.0509022	0.32764	0.302052	0.0452786	0.209791
ó	0.0104727	0.00530995	0.0232108	0.0196235	0.0449196	0.0327294	0.0275816	0.189017	0.313283	0.0343759	0.299476
o	0.00949828	0.00669337	0.00758391	0.00270577	0.00960921	0.00541211	0.00266489	0.0348195	0.148589	0.734627	0.0377977
n	0.000825743	0.00481102	0.000923374	0.00100838	0.00390683	0.00748401	0.014776	0.0916549	0.117927	0.520717	0.235966
g	0.0155792	0.0217708	0.000746545	0.000678546	0.00296975	0.00225096	0.00348182	0.00466375	0.00839658	0.919032	0.0204304
o	0.000212895	0.00395691	0.000157281	8.43097e-05	0.000414687	0.000415894	0.000206874	0.000436625	0.00208049	0.980163	0.0118708
n	0.000150614	0.00254766	0.000271289	0.000462963	0.000682562	0.000719051	0.00105495	0.00165912	0.00173637	0.947659	0.0430566
g	0.00259151	0.0413327	0.00257438	0.000901647	0.00376001	0.00269524	0.00316933	0.0109871	0.0116081	0.555537	0.364843
a	0.0032704	0.0299161	0.00321601	0.000501909	0.00177891	0.000805578	0.000933909	0.00327961	0.00908899	0.821292	0.125917
</S>	0.00322757	0.0161378	0.0102893	0.00365715	0.0134353	0.0111458	0.0143829	0.105062	0.218543	0.0979145	0.506205
