 	mon	père	est	déjà	arrivé	</S>
t	0.170437	0.809791	0.0172421	0.00107896	0.000615311	0.000835744
á	0.0513419	0.943172	0.00205425	0.00050796	0.00231232	0.000611622
á	0.0058287	0.974666	0.00809714	0.00189013	0.00312614	0.00639215
y	0.341812	0.25841	0.339731	0.0350112	0.00320116	0.0218343
a	0.340028	0.404836	0.125449	0.0409849	0.0183048	0.0703974
n	0.830293	0.055028	0.0796783	0.0112297	0.0075563	0.0162151
g	0.988708	0.000961389	0.00353226	0.000617704	0.00298427	0.00319615
á	0.739865	0.0662523	0.0716113	0.0168558	0.0327981	0.0726172
á	0.0772116	0.0210985	0.759519	0.0837368	0.0216448	0.0367891
m	0.00359375	0.00254924	0.206082	0.70835	0.0636118	0.0158127
i	0.00115594	8.77394e-05	0.110542	0.720698	0.0540283	0.113488
s	0.000811442	6.2104e-05	0.0496571	0.803252	0.0970497	0.0491681
á	0.000412333	4.0578e-05	0.0192044	0.841766	0.103123	0.0354533
á	0.00415268	0.00047953	0.113525	0.187356	0.286598	0.407888
o	0.0152148	0.00269697	0.136643	0.174748	0.516965	0.153732
y	0.0032143	0.000666759	0.0217553	0.132847	0.743572	0.0979452
a	0.00138494	0.000306119	0.0220975	0.24146	0.585685	0.149066
a	0.00134968	0.000145056	0.0302916	0.14643	0.251337	0.570446
</S>	0.00785699	0.000669228	0.0653343	0.106749	0.2622	0.55719
