 	la	manière	dont	ils	ont	bourré	ma	hotte	de	maïs	me	fait	souffrir	</S>
e	0.392025	0.360968	0.183723	0.0141663	0.0102467	0.00452251	0.0034571	0.000552115	0.00239122	0.00434587	0.010232	0.0022708	0.00131874	0.00978116
k	0.000289962	0.00212073	0.000564242	0.00207553	0.0182657	0.953761	0.0146738	0.00316774	0.000641871	0.000624439	0.000495524	0.00112886	0.00210783	8.26454e-05
í	0.00349903	0.00262833	0.000573762	0.0025025	0.0161412	0.918426	0.020733	0.00876449	0.0085556	0.00119396	0.000825243	0.0032237	0.0117325	0.00120087
í	0.000869695	0.00653697	0.0018438	0.0249381	0.029762	0.813156	0.0401114	0.0203382	0.0229349	0.00563555	0.00680482	0.0144547	0.0110139	0.00160035
l	0.0193836	0.0316694	0.028046	0.0671504	0.252581	0.24236	0.214766	0.0606748	0.0476238	0.00870187	0.00404244	0.0053884	0.00132289	0.0162899
í	0.00436655	0.00278322	0.0035595	0.0259635	0.165098	0.217927	0.112857	0.0689083	0.0211086	0.0111282	0.0132699	0.0176689	0.00794077	0.32742
y	0.331926	0.144905	0.107993	0.0423902	0.132645	0.0741276	0.0842508	0.012504	0.0266874	0.0105765	0.00651357	0.00916114	0.00201548	0.0143037
é	0.229412	0.264918	0.0976581	0.00478796	0.0453586	0.0312029	0.0406229	0.0705527	0.0412867	0.0200735	0.0209316	0.0178815	0.00321803	0.112096
é	0.242272	0.132774	0.102322	0.00644007	0.0755791	0.083975	0.0462102	0.0261097	0.0331083	0.0199726	0.023658	0.0301049	0.00315972	0.174313
k	0.0113877	0.0174613	0.0137416	0.0213521	0.183516	0.254029	0.0964143	0.0626731	0.0294354	0.0209055	0.0310014	0.0934212	0.0437688	0.120892
í	0.00637224	0.0137159	0.00424011	0.0267538	0.0733631	0.657525	0.0497028	0.0703725	0.0308367	0.00553154	0.00336621	0.0122432	0.0132428	0.0327345
í	0.00298471	0.0128531	0.0110367	0.244603	0.0926042	0.462079	0.0386522	0.044993	0.0159478	0.00672303	0.00441224	0.00741102	0.0103612	0.0453385
b	0.00337245	0.0061147	0.0548313	0.286386	0.251345	0.0911948	0.146987	0.0766803	0.0316882	0.0170323	0.00892753	0.00860229	0.00328161	0.0135566
á	0.00051539	0.000535731	0.000956924	0.890708	0.0278221	0.0247144	0.0259138	0.0147725	0.00542564	0.0043233	0.00150984	0.00127144	0.000794299	0.000737064
a	0.00191744	0.00121184	0.00592318	0.868929	0.0312149	0.0157832	0.0113299	0.0258562	0.00857191	0.00665529	0.00400127	0.0037403	0.00474054	0.0101248
n	0.000646976	0.00133423	0.0110762	0.320561	0.189528	0.0810166	0.217391	0.0768526	0.0370333	0.0301725	0.0177987	0.00739588	0.00254288	0.00665079
g	0.0181093	0.0112456	0.0539207	0.068894	0.0812272	0.0878178	0.254342	0.0226263	0.0199763	0.140826	0.208842	0.0148811	0.00166837	0.0156229
á	0.0022558	0.00432264	0.0466355	0.125168	0.0499295	0.0547732	0.265245	0.0420757	0.0176692	0.177413	0.205819	0.0047511	0.00110133	0.00284157
m	0.00122819	0.000882132	0.00917563	0.0184505	0.108378	0.065512	0.454756	0.114142	0.150784	0.0396035	0.0165476	0.00931444	0.00216277	0.00906339
ú	0.00185316	0.000229358	0.000642848	0.00429609	0.0467646	0.00265491	0.12037	0.684571	0.10895	0.0208292	0.00203964	0.00171354	0.00010514	0.00498089
a	0.000188777	3.87512e-05	5.91181e-05	0.00812523	0.0691151	0.0144915	0.13563	0.740367	0.0285385	0.00162146	0.000171967	0.000584648	6.34228e-05	0.00100477
