 	l'	eau	de	ce	ruisseau	est	rouillée	</S>
m	0.82126	0.131318	0.0190053	0.00384304	0.0161196	0.00530614	0.00237268	0.000775541
á	0.0905549	0.849243	0.0292263	0.0141872	0.0053632	0.00348997	0.0005956	0.00733941
a	0.473095	0.393098	0.071046	0.0263679	0.0114014	0.00628732	0.00864155	0.0100631
m	0.09648	0.150364	0.498802	0.129458	0.024972	0.0382611	0.00626474	0.0553986
á	0.130303	0.731353	0.0624158	0.0499062	0.00211992	0.0174134	0.000122314	0.00636686
k	0.136065	0.0811632	0.312555	0.252807	0.0678999	0.0324183	0.00913856	0.107953
y	0.02575	0.00405772	0.150539	0.190748	0.490758	0.0380445	0.0511102	0.0489933
ε	0.0350088	0.00344808	0.0836356	0.170643	0.640364	0.019644	0.0309231	0.016334
s	0.00500564	0.00145858	0.0547968	0.103654	0.72537	0.0367709	0.0276462	0.0452977
í	0.015123	0.00256331	0.110601	0.25624	0.39832	0.0552833	0.0118436	0.150025
m	0.0183706	0.00786973	0.119212	0.254426	0.0652119	0.484309	0.0143366	0.0362638
ú	0.183773	0.0687839	0.0749654	0.166357	0.0122245	0.231738	0.00959732	0.25256
á	0.0126416	0.00714455	0.083068	0.159055	0.0192982	0.39529	0.0415391	0.281963
b	0.00191626	0.000989948	0.0233943	0.0670987	0.0404685	0.293367	0.354457	0.218308
h	0.00101023	0.000252899	0.0283336	0.112149	0.154408	0.209907	0.368023	0.125916
i	0.00155842	0.00012863	0.0365094	0.093903	0.301567	0.124043	0.383537	0.058754
l	0.00193723	0.000649517	0.0232146	0.0835442	0.0729903	0.19608	0.370082	0.251502
a	0.00485757	0.00149752	0.0164679	0.0687879	0.031846	0.144969	0.323435	0.408139
k	0.00409616	0.00110805	0.00361799	0.00823783	0.0130893	0.0543816	0.402291	0.513178
ó	0.000324628	5.8971e-05	0.00129543	0.00213289	0.0126068	0.0223035	0.932044	0.029234
n	3.66932e-05	6.22043e-06	0.00138413	0.00384571	0.107153	0.0158738	0.791146	0.0805544
g	0.00280137	0.000897734	0.00838306	0.00926286	0.0874066	0.0304861	0.531934	0.328828
a	0.00859495	0.00168593	0.0066056	0.00669816	0.152355	0.0119122	0.34596	0.466189
</S>	0.0041816	0.00119222	0.0152702	0.0214459	0.0271512	0.129469	0.148334	0.652956
