 	il	se	fit	blâmer	par	son	chef	</S>
w	0.625918	0.317997	0.0440842	0.00551193	0.00211432	0.00311747	0.000941388	0.000315364
a	0.639689	0.313223	0.00452322	0.00115353	0.0104337	0.0295351	0.00136174	8.05831e-05
á	0.0552377	0.750629	0.140778	0.0321364	0.00514668	0.0138394	0.000696968	0.00153549
n	0.0125886	0.130708	0.165463	0.6594	0.00905309	0.0113411	0.00121748	0.0102286
g	0.000897884	0.0110214	0.00881408	0.967028	0.0026823	0.00133511	0.000430442	0.00779033
a	0.000763161	0.00556899	0.0154209	0.974404	0.00118179	0.000816676	0.000833191	0.00101102
l	0.0046638	0.0386531	0.0427941	0.816359	0.0237554	0.0372842	0.00889222	0.0275983
í	0.210571	0.273757	0.0604674	0.228969	0.0993787	0.0875991	0.00463148	0.0346266
m	0.139008	0.120397	0.0178955	0.169442	0.181779	0.321244	0.00962333	0.0406102
á	0.114522	0.0441998	0.00736631	0.00755773	0.342888	0.325338	0.0308794	0.127249
l	0.00802892	0.0184774	0.0173903	0.0344348	0.421262	0.174407	0.268539	0.0574604
a	0.00112503	0.00190082	0.00579897	0.0454744	0.516627	0.199394	0.0990487	0.130631
o	0.00157875	0.00589038	0.0117549	0.0269984	0.357319	0.305542	0.187004	0.103912
k	0.000216865	0.000716194	0.0163855	0.00270544	0.080611	0.0544689	0.814027	0.0308694
o	2.59035e-05	5.54462e-05	0.0358819	0.000274097	0.0194057	0.00748345	0.919112	0.0177616
n	2.61749e-05	0.000106746	0.012793	5.38158e-05	0.00791498	0.0043357	0.935584	0.0391856
d	0.0010985	0.000521371	0.00748628	0.000344273	0.018339	0.0100681	0.85404	0.108102
z	0.00319503	0.000996196	0.0181939	0.00115168	0.0230244	0.0160744	0.831004	0.10636
i	0.00162461	0.000396769	0.0155227	0.00031494	0.0239398	0.01704	0.727558	0.213603
</S>	0.000663752	0.00117188	0.00105078	0.00295323	0.0395382	0.0637159	0.0384469	0.852459
