 	cette	femme-là	est	l'	amante	de	mon	père	</S>
o	0.489946	0.377767	0.0254149	0.0174715	0.0372839	0.0370192	0.0145951	0.00026156	0.000241339
y	0.017966	0.962124	0.0114553	0.0026542	0.00270588	0.00118189	0.000803288	0.000393248	0.0007163
ú	0.314839	0.571324	0.0406064	0.0246343	0.0215512	0.0146083	0.00309836	0.000796017	0.00854244
r	0.180562	0.410772	0.0794944	0.0554676	0.085469	0.0704322	0.0221253	0.000729314	0.0949478
u	0.46268	0.294612	0.0454949	0.0368232	0.0700918	0.0361015	0.040381	0.00147399	0.0123414
w	0.217878	0.096745	0.546326	0.0908837	0.015282	0.0111519	0.00520258	0.00153994	0.0149916
ú	0.248081	0.0508283	0.189797	0.119177	0.0527974	0.0560929	0.0835161	0.094984	0.104727
u	0.47529	0.0085055	0.237419	0.10423	0.0220072	0.0204504	0.0353298	0.042439	0.0543287
a	0.200004	0.00416764	0.21958	0.311744	0.124166	0.0651098	0.00592546	0.00366178	0.0656406
d	0.0664746	0.00529933	0.0856304	0.365454	0.298431	0.130784	0.00872891	0.010373	0.0288243
í	0.0388127	0.00176629	0.0419339	0.361394	0.164207	0.17788	0.00988957	0.00487998	0.199237
k	0.0822099	0.00109225	0.0502493	0.310528	0.125876	0.151447	0.117276	0.0104209	0.150901
o	0.00230805	9.84855e-05	0.00213871	0.146395	0.22265	0.544018	0.0172518	0.0428577	0.0222825
l	0.00311474	0.000745981	0.0822625	0.193426	0.187048	0.420862	0.00922272	0.00922369	0.0940955
á	0.0238617	0.000531949	0.0214042	0.191576	0.237758	0.250375	0.129534	0.0207465	0.124213
y	0.0103105	0.000626575	0.00255892	0.0289336	0.0750704	0.118298	0.544617	0.190426	0.0291595
a	0.0445888	0.0024076	0.0197757	0.0419588	0.122449	0.203399	0.31189	0.168546	0.084985
t	0.0132482	0.000302414	0.00132051	0.0125146	0.0785446	0.145395	0.419196	0.290021	0.0394581
á	0.00285961	0.000303927	0.00371466	0.0230243	0.0801772	0.218718	0.0121474	0.619497	0.0395578
á	0.00311144	7.90816e-05	0.00269267	0.0171136	0.0193195	0.0722233	0.0671412	0.63616	0.182159
y	0.00339085	0.00136973	0.0114795	0.021639	0.0261292	0.0657723	0.192224	0.119499	0.558497
a	0.00661847	0.000336939	0.0108361	0.0494486	0.0442512	0.117398	0.321186	0.0399524	0.409972
n	0.00268157	4.08778e-05	0.000358338	0.0063067	0.0132843	0.0308704	0.793528	0.0215645	0.131366
g	0.00415074	0.000161699	0.000159738	0.00547736	0.0256469	0.0664075	0.750224	0.00938521	0.138387
á	0.00261473	0.00266214	0.000439871	0.00651042	0.0253261	0.0967479	0.258717	0.110605	0.496377
</S>	0.00519981	0.000480948	0.0040937	0.0117925	0.035389	0.0971977	0.2633	0.084086	0.49846
