 	je	m'	en	vais	dire	au-revoir	à	mon	oncle	</S>
n	0.874279	0.0159033	0.0633312	0.0365262	0.00229059	0.002464	0.00266295	0.00232692	0.000155944	5.97271e-05
g	0.832061	0.138582	0.00344441	0.000566436	0.000440834	0.00999359	0.00417284	0.0100416	0.000625332	7.23694e-05
á	0.941202	0.0496526	0.00292926	0.00154929	5.46362e-05	0.000580485	0.000472945	0.000428662	0.00310294	2.70519e-05
í	0.0823165	0.218586	0.194086	0.219947	0.0285625	0.00890009	0.0262588	0.0469912	0.0199153	0.154437
m	0.0100297	0.0287069	0.689708	0.195786	0.021408	0.00601371	0.00940312	0.00471456	0.0073792	0.0268508
o	0.000247621	0.0283342	0.433799	0.415758	0.0908694	0.0021526	0.00314585	0.00149158	0.00105168	0.0231504
d	0.000341037	0.00127126	0.0991267	0.874881	0.0122048	0.000621018	0.00132615	0.00015865	0.00262689	0.00744284
z	0.00132809	0.00121297	0.208329	0.635237	0.102622	0.00943935	0.00688693	0.000100464	0.00352884	0.0313146
w	0.0136834	0.00629348	0.0945065	0.839448	0.0352535	0.00476471	0.00178616	0.000155657	0.00155234	0.00255641
á	0.0015096	0.0147212	0.222264	0.209822	0.267218	0.0836474	0.0719017	0.0215333	0.00660404	0.100778
o	0.000636786	0.0253689	0.0783133	0.0475498	0.417622	0.287401	0.0923765	0.0365117	0.0100457	0.00417513
l	0.000222083	0.00159407	0.0201988	0.282299	0.4051	0.148194	0.0467694	0.00200758	0.0815449	0.012071
a	6.77167e-05	0.00129042	0.106945	0.113803	0.391105	0.166762	0.0642607	0.00108775	0.0881459	0.0665334
s	5.23934e-05	0.000700415	0.0284657	0.0706774	0.708178	0.0679254	0.026732	0.00044616	0.015909	0.0809132
í	0.00010373	0.00022832	0.01003	0.0312292	0.27356	0.297324	0.25959	0.00555673	0.0291772	0.0931998
n	0.000159784	0.00883816	0.0182827	0.000597827	0.199324	0.31525	0.288922	0.119228	0.0148139	0.034584
á	0.00164844	0.00562614	0.00259498	0.00171355	0.0226765	0.360764	0.301903	0.14496	0.105558	0.0525555
l	0.000805101	0.0027797	0.00334043	0.000841998	0.0306591	0.18717	0.377781	0.19881	0.169526	0.0282866
a	0.00399414	0.0034603	0.00225481	0.000696737	0.0175543	0.11157	0.237442	0.162618	0.376198	0.0842111
n	0.00020139	0.00098754	0.00147711	0.000361272	0.00782812	0.0266737	0.0916214	0.192903	0.654613	0.0233336
g	0.00159413	0.00296594	0.000109995	6.55568e-05	0.00235734	0.126838	0.0465237	0.0670872	0.748505	0.00395278
ó	0.000160252	0.000812885	8.95054e-05	4.34104e-05	0.00077928	0.0291173	0.0118354	0.00703535	0.943058	0.00706845
l	1.39072e-05	0.000249755	4.30142e-05	0.000106127	0.000942663	0.00500696	0.00409541	0.0018329	0.970838	0.0168718
ó	0.00017218	0.000630116	0.00175615	0.00326707	0.017087	0.027568	0.0574981	0.0371596	0.650468	0.204394
m	0.000349398	0.00110077	0.00120883	0.00059151	0.0108727	0.0275655	0.0605818	0.0915465	0.522309	0.283874
i	0.000225719	0.000264999	0.00469689	0.00571918	0.037959	0.0136831	0.228848	0.197618	0.086208	0.424778
</S>	8.9753e-05	0.000909752	0.00571406	0.00097565	0.0125829	0.00562259	0.0507512	0.148264	0.0514021	0.723688
