 	ils	se	sont	associés	pour	la	paie	</S>
b	0.967583	0.0257175	0.00344284	0.000628562	0.00062465	0.00119988	0.000650087	0.000153892
á	0.994331	0.00310075	0.00078537	0.000442649	0.0003023	0.000937312	7.34774e-05	2.66929e-05
a	0.952116	0.0396329	0.00444023	0.000416604	0.0016142	0.000793647	0.000202523	0.000783736
á	0.115077	0.515781	0.259784	0.0273027	0.0119098	0.0058617	0.00126528	0.0630185
b	0.000583294	0.0818712	0.298924	0.585252	0.0250227	0.00405878	0.00158215	0.00270559
é	0.00122631	0.171926	0.289346	0.425148	0.0610457	0.0196124	0.00549774	0.0261978
n	0.00161829	0.0749063	0.267754	0.520723	0.072583	0.0184866	0.00979601	0.034133
y	0.00118699	0.157277	0.396673	0.316828	0.0632204	0.0303957	0.00680177	0.0276171
i	0.00028666	0.0798073	0.302637	0.5515	0.0495682	0.00997672	0.00111065	0.0051136
i	0.0235242	0.18398	0.352297	0.162008	0.088994	0.0822236	0.0184486	0.0885249
p	0.00710209	0.0182159	0.0389314	0.0735069	0.5205	0.18454	0.105227	0.0519768
f	0.00122156	0.0202536	0.0265112	0.0305125	0.383556	0.19756	0.289522	0.0508631
u	7.21559e-05	0.00408645	0.0179239	0.0240997	0.576666	0.227663	0.112992	0.0364969
r	3.12287e-05	0.00328267	0.012765	0.00543022	0.172208	0.577026	0.135137	0.0941188
έ	0.000224359	0.00309751	0.0150973	0.0126627	0.553915	0.259606	0.0425109	0.112886
m	0.000916048	0.00918637	0.024601	0.0219878	0.0661246	0.406885	0.228199	0.2421
i	0.0037926	0.00227392	0.00395981	0.000847834	0.0961632	0.515566	0.0259329	0.351464
f	0.000132748	0.00193478	0.00272179	0.0011214	0.0273876	0.157127	0.683226	0.12635
u	0.000107208	0.000702537	0.000991417	0.000659934	0.0132919	0.0436466	0.886274	0.0543267
r	0.000116482	0.000190767	0.000897068	0.000903731	0.0173415	0.0540952	0.733788	0.192668
a	0.000117874	0.000823771	0.00213257	0.00171895	0.159313	0.188862	0.385568	0.261463
</S>	0.000143563	0.00324058	0.00548449	0.00283143	0.0221561	0.0734124	0.100252	0.79248
