 	le	mur	de	notre	maison	est	tombé	</S>
e	0.486082	0.397072	0.0802106	0.0151456	0.0132617	0.00738407	0.000466224	0.000377154
b	0.202477	0.73876	0.0281578	0.00176582	0.00292426	0.00893992	0.013167	0.00380773
a	0.0181871	0.868274	0.0470279	0.0241399	0.00125652	0.0164077	0.0224295	0.00227699
á	0.016218	0.832717	0.0707043	0.054753	0.0062953	0.00150449	0.00347852	0.0143295
y	0.233881	0.156805	0.435233	0.0206819	0.0100924	0.0419552	0.00382586	0.0975265
á	0.408842	0.0643416	0.247752	0.0594063	0.0261659	0.0305693	0.00742368	0.155499
n	0.231116	0.00705792	0.157103	0.307103	0.281865	0.00705887	0.00226871	0.00642806
d	0.0271975	0.00669709	0.0566939	0.0845175	0.819536	0.00179636	0.000396142	0.00316515
é	0.00371967	0.00114749	0.0246442	0.0391787	0.927899	0.000409776	0.000432898	0.00256824
e	0.0599608	0.0275896	0.228895	0.270797	0.326845	0.018722	0.0126492	0.0545414
y	0.066102	0.0386469	0.322358	0.0772329	0.0626451	0.388103	0.0228434	0.0220694
á	0.174998	0.0261164	0.348419	0.309914	0.0673643	0.0560664	0.0061859	0.0109361
b	0.0188244	0.00216293	0.164547	0.678305	0.0666065	0.0533606	0.0133238	0.00286952
í	0.038284	0.0256601	0.171965	0.645605	0.0401823	0.0517311	0.0240314	0.00254104
s	0.00925701	0.0101512	0.0446415	0.904678	0.0138579	0.00934742	0.00576912	0.00229833
í	0.0286995	0.0344653	0.179841	0.0874898	0.353349	0.0401763	0.0302031	0.245776
é	0.00393547	0.00356587	0.0638333	0.0161276	0.0204107	0.790798	0.0646172	0.0367119
m	0.0125914	0.0046646	0.0329799	0.00152074	0.0213198	0.494541	0.355903	0.0764795
i	0.0156995	0.00583506	0.0288383	0.00741563	0.00095409	0.302005	0.342903	0.296349
b	0.00506564	0.00446229	0.00384373	0.000318618	0.00354785	0.0584251	0.641195	0.283142
v	0.000562876	0.00716686	0.00354925	0.00030094	7.4488e-05	0.0308015	0.87106	0.0864836
a	0.00131896	0.00268609	0.00273272	0.000960993	0.000349669	0.0558224	0.872438	0.0636915
</S>	0.00233522	0.000644789	0.00269572	0.00208037	0.000449015	0.0239223	0.120927	0.846946
