 	je	me	suis	enfoncé	dans	la	boue	</S>
n	0.622833	0.182922	0.0857013	0.0435583	0.0337013	0.0257573	0.00466899	0.000858054
g	0.93132	0.0680973	0.000309859	0.000114963	4.04166e-05	7.51361e-05	3.69812e-05	5.46998e-06
á	0.788284	0.206526	0.00273384	0.00116613	0.000253225	0.000189229	0.000834372	1.25074e-05
í	0.288127	0.415244	0.14065	0.0866744	0.00942799	0.0150216	0.0152879	0.0295673
l	0.0505789	0.142581	0.538877	0.21239	0.0167004	0.00578705	0.00909314	0.023993
ω	0.0130713	0.114701	0.602651	0.170339	0.0419835	0.00782898	0.00180693	0.047619
b	0.0502842	0.0762688	0.216661	0.557832	0.0380855	0.0096968	0.0183628	0.0328091
h	0.0142881	0.0277577	0.155027	0.663595	0.0946761	0.0287375	0.0093844	0.0065343
i	0.00962142	0.0291687	0.11866	0.570894	0.138651	0.0399685	0.00318872	0.0898478
s	0.00383977	0.0268283	0.144361	0.242085	0.41516	0.135634	0.00685421	0.025239
ó	0.00104023	0.00862998	0.0368424	0.799983	0.104104	0.0160309	0.00158757	0.0317819
m	0.00870057	0.0177266	0.0332025	0.46315	0.351069	0.0718295	0.0378123	0.0165096
b	0.000387239	0.0095039	0.0413874	0.26083	0.0867226	0.0414682	0.392035	0.167666
i	6.59094e-05	0.000423805	0.00559191	0.0762194	0.0160869	0.00750074	0.88126	0.0128509
n	4.90107e-05	0.000636584	0.0287743	0.10826	0.0329023	0.0120353	0.781157	0.0361854
g	0.000582043	0.00174497	0.006973	0.0885483	0.0823871	0.0980071	0.462805	0.258952
a	0.002745	0.00296222	0.00392228	0.0746374	0.0319318	0.0417695	0.587385	0.254647
</S>	0.000850839	0.0029353	0.0222226	0.0111973	0.132792	0.319643	0.0492408	0.461118
