 	l'	homme	tirait	calmement	des	bouffées	de	sa	pipe	</S>
i	0.787853	0.204518	0.000264145	0.000484291	0.000427542	0.00460669	0.000786224	0.000855584	0.00017446	2.9429e-05
b	0.0838453	0.907227	0.00759719	0.000757458	0.000170322	0.000201933	6.98067e-05	4.20475e-05	4.20259e-05	4.73387e-05
a	0.0143846	0.98413	0.000151489	8.04801e-05	3.82376e-05	8.42386e-05	9.58861e-05	8.80777e-05	0.000863159	8.34285e-05
a	0.0303341	0.949235	0.00412169	0.00109183	0.000341927	0.00112564	0.00102974	0.00035285	0.00181384	0.0105535
á	0.661398	0.155104	0.0874523	0.0275327	0.00271424	0.00026554	0.00618253	0.00147987	0.000622811	0.0572486
d	0.046961	0.00785175	0.682365	0.194766	0.0364881	0.0103227	0.00686896	0.00334819	0.00185037	0.00917753
z	0.000141182	0.000416488	0.911568	0.0669932	0.00717281	0.000174753	0.000816358	0.000224943	0.000128185	0.0123645
a	0.0208567	0.00028482	0.695621	0.185845	0.0652329	0.01043	0.00444747	0.00181037	0.000731503	0.0147411
l	0.0028273	0.00268144	0.578664	0.279932	0.0735663	0.00339817	0.0116755	0.00427701	0.0029084	0.04007
á	0.00175253	0.000550173	0.190919	0.381481	0.175643	0.0186469	0.0396466	0.0282329	0.0100246	0.153103
a	0.0302527	0.00753647	0.162975	0.169343	0.227609	0.165689	0.0521517	0.0430921	0.0583588	0.0829929
n	0.00136097	0.00469675	0.123137	0.229817	0.292407	0.283492	0.0275844	0.00583838	0.0126243	0.0190419
y	0.00137744	0.000183169	0.00514299	0.00617542	0.0394719	0.933318	0.00260973	0.00107151	0.00290083	0.00774931
w	0.00246621	0.001505	0.0126072	0.0252603	0.0611546	0.872018	0.00646507	0.00348671	0.00455124	0.0104853
á	0.00590663	0.001654	0.0480432	0.131927	0.30329	0.322326	0.0301806	0.0150546	0.016258	0.125359
m	0.00104319	0.000192021	0.092507	0.169576	0.253489	0.0755182	0.188607	0.0418093	0.0292759	0.147982
b	0.00277783	0.000459353	0.00140101	0.00490158	0.0592812	0.158065	0.312704	0.168316	0.200168	0.0919259
έ	0.00106842	7.51345e-05	0.000553478	0.0027116	0.0254335	0.409715	0.11184	0.0913451	0.240749	0.116509
ε	0.000221188	0.000128843	0.00073453	0.0144701	0.0214367	0.0320407	0.425467	0.125513	0.166421	0.213566
y	0.00068443	7.53656e-05	0.000531744	0.011918	0.0124932	0.0403605	0.399588	0.211429	0.19865	0.12427
á	0.0257487	0.000913398	0.00980916	0.069747	0.05693	0.0217248	0.17328	0.41634	0.14187	0.0836361
w	0.00989239	0.000376413	0.00140746	0.00373407	0.010273	0.0284418	0.0611628	0.653015	0.200343	0.0313545
a	0.00340051	0.000777571	0.00425205	0.0337794	0.0452411	0.0180342	0.225762	0.40738	0.217104	0.0442687
ó	0.000245837	4.3476e-05	0.00172759	0.0064311	0.00636187	0.00461491	0.272965	0.294226	0.185611	0.227772
t	0.00424401	0.00035753	0.0364761	0.127712	0.0500777	0.0107636	0.161561	0.352462	0.127001	0.129345
s	0.00122972	0.000284065	0.0140392	0.110775	0.0685998	0.0243089	0.166695	0.266522	0.148408	0.199139
ω	0.00102787	8.78972e-05	0.0039689	0.0250603	0.031081	0.0252351	0.222575	0.27361	0.247997	0.169357
p	0.000478792	6.99857e-05	0.000564412	0.0032192	0.00309172	0.00503966	0.0946104	0.0808534	0.0914103	0.720662
í	0.0043418	0.000655064	0.00303214	0.0290179	0.0137035	0.00681547	0.154405	0.227391	0.166421	0.394217
</S>	0.000222532	8.35584e-05	0.000835886	0.00177783	0.00182223	0.00251438	0.0424593	0.0621646	0.239642	0.648477
