 	la	manière	dont	cette	huile	s'	est	fondue	il	ya	certainement	quelqu'	un	qui	l'	a	chauffée	</S>
e	0.297509	0.292794	0.232644	0.0285923	0.0103321	0.0182374	0.0289271	0.00511637	0.0113714	0.0119676	0.00198437	0.0169049	0.00334769	0.0062096	0.0033316	0.00105342	0.00128743	0.028391
l	0.0257785	0.00961096	0.044195	0.0504404	0.0363335	0.34609	0.215947	0.0903859	0.0437674	0.0307776	0.00618267	0.0322421	0.0273847	0.0119063	0.0175239	0.00214589	0.00778518	0.00150315
a	0.00378429	0.0029069	0.0139472	0.0125443	0.00626004	0.153171	0.172508	0.435748	0.0334483	0.0594286	0.0198056	0.026475	0.0139486	0.00864531	0.0110237	0.000676718	0.0115273	0.0141516
a	0.00165065	0.0023892	0.0159835	0.0830044	0.0532072	0.341303	0.270085	0.128456	0.0288828	0.00644951	0.00541935	0.014848	0.0110964	0.0084673	0.00853468	0.002556	0.0140303	0.0036371
n	0.0205031	0.0267303	0.0231537	0.147695	0.165262	0.270855	0.136514	0.027508	0.0489531	0.0160135	0.0228191	0.0253008	0.00901302	0.0072614	0.00793546	0.00264696	0.00295945	0.0388758
g	0.0320478	0.0346113	0.0383095	0.14811	0.0534026	0.123642	0.0648386	0.0363713	0.0488972	0.155783	0.102074	0.024956	0.0147013	0.0135717	0.0315655	0.00464325	0.00834318	0.064133
í	0.0334229	0.026632	0.0523928	0.0520363	0.0247502	0.13578	0.090347	0.251716	0.0164037	0.145914	0.0965389	0.0171686	0.00456078	0.00577571	0.0132344	0.00539991	0.0142521	0.013674
l	0.223765	0.155965	0.0966335	0.172163	0.0947236	0.0763937	0.0394035	0.028066	0.0221163	0.00777782	0.0292153	0.00780581	0.00515004	0.00326024	0.00340327	0.00397243	0.00269331	0.0274924
í	0.222774	0.134874	0.0942257	0.0335688	0.0200884	0.0243112	0.0209266	0.03334	0.0493274	0.0211305	0.0668814	0.0377747	0.0172091	0.0134668	0.0180698	0.00840662	0.00499451	0.17863
y	0.0228402	0.0576288	0.125281	0.146383	0.115627	0.096217	0.112096	0.0348857	0.052644	0.016446	0.0468565	0.0330494	0.0246451	0.0224837	0.020463	0.0236519	0.00552494	0.0432763
é	0.0343796	0.0510245	0.316128	0.109826	0.0154973	0.0265739	0.0215455	0.11363	0.0132795	0.0939057	0.153647	0.00501373	0.00246444	0.00246229	0.00711411	0.0088431	0.00478222	0.0198832
é	0.0518341	0.0781602	0.153587	0.163421	0.0799993	0.118007	0.109682	0.0776879	0.019284	0.0322546	0.0576763	0.00822595	0.00482779	0.00502729	0.0068379	0.00893379	0.00322319	0.0213307
l	0.00717851	0.0102241	0.00298086	0.02684	0.0337609	0.105358	0.167336	0.442541	0.0319365	0.00872629	0.0261875	0.0295164	0.00678989	0.00409991	0.00411271	0.00327385	0.0552802	0.0338579
a	0.00123347	0.000804903	0.00361103	0.0316648	0.0172925	0.118839	0.179615	0.524302	0.013853	0.00349602	0.0212274	0.010914	0.00280874	0.00254245	0.00406147	0.00310054	0.0371736	0.0234611
a	0.00337245	0.00493427	0.0111789	0.0712518	0.0460358	0.16084	0.200272	0.383408	0.0220118	0.0094327	0.00921807	0.00786602	0.00491697	0.00414947	0.00457032	0.00116769	0.0101283	0.0452455
n	0.00137101	0.00224579	0.0177823	0.177182	0.249791	0.172345	0.195486	0.0364053	0.0330926	0.017314	0.0263677	0.0174783	0.00640766	0.00635132	0.00623731	0.0116495	0.0032648	0.019228
g	0.0188618	0.0225449	0.0745685	0.162043	0.0968691	0.181801	0.141802	0.0635655	0.0155447	0.0621128	0.0659999	0.0134932	0.00636765	0.0138044	0.0254426	0.00896528	0.00136121	0.0248525
í	0.00441845	0.0111611	0.0654866	0.12869	0.0636969	0.1128	0.0875052	0.11506	0.00446197	0.332742	0.0505928	0.00342176	0.0015853	0.0026409	0.00644057	0.00224535	0.000908213	0.00614334
a	0.00118921	0.00256188	0.0133008	0.165349	0.186058	0.17256	0.206682	0.0486826	0.0651712	0.0285354	0.0537685	0.015996	0.00722175	0.00618608	0.00634621	0.00921916	0.00191501	0.00925795
w	0.00051244	0.000952153	0.00138295	0.00882724	0.0268557	0.11417	0.193222	0.46272	0.0712732	0.0164212	0.065813	0.0207446	0.00335015	0.00144953	0.00123332	0.000957701	0.00826934	0.00184535
ú	0.000371265	0.000479068	0.00101687	0.0122765	0.0311278	0.107383	0.108266	0.356124	0.121837	0.0529889	0.0562818	0.0626793	0.0204029	0.0157394	0.0145551	0.00307907	0.0151658	0.0202268
r	0.000717601	0.000426194	0.000888678	0.0110047	0.0181719	0.0517252	0.137961	0.44253	0.184832	0.0582258	0.0108797	0.0334945	0.0177363	0.00840154	0.0055181	0.0012791	0.00108706	0.0151207
a	0.00900852	0.00450709	0.0125845	0.0822281	0.0832486	0.220191	0.200123	0.0320046	0.0649506	0.22259	0.0232996	0.00733632	0.00756367	0.00758894	0.0101268	0.00259921	0.000233174	0.00981545
m	0.00042753	0.000912158	0.00342193	0.0543517	0.108662	0.0919724	0.104306	0.0622567	0.193115	0.100792	0.193661	0.0458953	0.0100694	0.00665997	0.00420748	0.0121533	0.002544	0.00459356
á	0.00358733	0.0117765	0.00119289	0.0427811	0.129542	0.0605473	0.032857	0.0294215	0.327792	0.112542	0.106533	0.0453462	0.0295025	0.0124032	0.0117666	0.00362578	0.0121643	0.0266191
