 	les	abeilles	essaiment	</S>
a	0.980305	0.0102653	0.00925693	0.000172336
n	0.362913	0.568949	0.060205	0.00793309
d	0.512398	0.336086	0.0825127	0.0690034
z	0.16792	0.581588	0.197881	0.0526112
ú	0.0477505	0.81253	0.102959	0.0367609
e	0.0856086	0.488449	0.208262	0.21768
b	0.115642	0.195164	0.0691362	0.620058
á	0.166938	0.0690011	0.236235	0.527827
a	0.0955023	0.0714472	0.559919	0.273132
t	0.0348203	0.399288	0.109411	0.456481
s	0.00780599	0.456843	0.0991981	0.436153
a	0.0325333	0.432307	0.152208	0.382952
m	0.00880923	0.0795235	0.221114	0.690553
a	0.0703646	0.104086	0.597971	0.227578
n	0.00615098	0.0118523	0.265841	0.716156
a	0.0057678	0.00756759	0.694751	0.291914
</S>	0.00211588	0.00395371	0.546737	0.447194
