 	qui	a	attendri	mes	pieds	de	porc	de	la	sorte	</S>
o	0.658172	0.252935	0.0161758	0.0159669	0.0152916	0.0167442	0.0031676	0.0113482	0.00881843	0.000794899	0.000584625
k	0.0162915	0.100393	0.117021	0.0112854	0.562612	0.022952	0.0685884	0.0326507	0.0142362	0.0407752	0.0131947
ω	0.00375504	0.0182805	0.1883	0.00576898	0.693637	0.0136608	0.0107035	0.0279677	0.0167815	0.0176538	0.00349118
ω	0.00479191	0.0470837	0.614217	0.0131905	0.177721	0.0201951	0.0114655	0.0217705	0.0157087	0.0564731	0.0173832
g	0.272894	0.0915755	0.171645	0.2732	0.0635397	0.0787954	0.0124723	0.0179816	0.0123332	0.00113866	0.00442419
h	0.0238209	0.016964	0.0982127	0.17403	0.0839044	0.12491	0.0300788	0.155635	0.0661188	0.0152614	0.211064
i	0.0571471	0.0137241	0.0594656	0.2239	0.0446976	0.148241	0.0983769	0.0925672	0.0491875	0.0269157	0.185778
s	0.0200583	0.010321	0.0365031	0.492607	0.0360891	0.199539	0.0835605	0.069113	0.0211553	0.00235658	0.0286964
i	0.00308244	0.0013956	0.0104565	0.237481	0.0319069	0.12077	0.282457	0.0793925	0.0630209	0.0582988	0.111739
a	0.0114179	0.0021726	0.00403543	0.559006	0.0231042	0.139426	0.190676	0.0293649	0.0249359	0.00763421	0.00822726
k	0.000607636	0.00127592	0.00428987	0.0850194	0.0472141	0.119979	0.474185	0.16044	0.0670792	0.0163966	0.0235135
ώ	0.000998973	0.00137825	0.0192661	0.0176679	0.295607	0.116691	0.104638	0.275901	0.0669456	0.0377306	0.0631751
s	0.000804038	0.00536454	0.108047	0.114778	0.148572	0.24438	0.115375	0.126824	0.0507789	0.0264883	0.0585894
ω	0.00138955	0.00395668	0.1688	0.0524535	0.233877	0.0726289	0.0852834	0.104135	0.0872371	0.0926472	0.097592
á	0.00105798	0.0013969	0.00584791	0.147317	0.0131175	0.13715	0.0960578	0.221806	0.315325	0.0320843	0.0288401
n	0.000962195	0.00183794	0.00267383	0.0399247	0.00587495	0.0526187	0.124729	0.182472	0.336515	0.13674	0.115652
g	0.00235491	0.00058943	0.00101247	0.0961044	0.000327202	0.0484925	0.518942	0.0611502	0.104496	0.111913	0.0546186
á	0.000394101	0.000323607	0.00392409	0.058555	0.0020737	0.0411473	0.327515	0.0438064	0.0602231	0.427928	0.0341091
b	0.00043873	0.000279776	0.00262072	0.0238651	0.00725337	0.0466552	0.0374634	0.236252	0.357638	0.160397	0.127137
ó	0.00323358	0.00151669	0.00248196	0.0743395	0.0189279	0.109161	0.0272366	0.234193	0.180824	0.102641	0.245445
n	0.000278701	0.000369687	0.00440532	0.0417104	0.0214847	0.0743131	0.0371571	0.199818	0.176462	0.259911	0.18409
d	0.00105286	0.00116021	0.0099271	0.0370216	0.0107349	0.0860008	0.0940094	0.181343	0.189262	0.245779	0.143709
a	0.000231071	0.000270762	0.00283857	0.0174218	0.00258406	0.019506	0.0432837	0.0366317	0.0538668	0.474108	0.349258
</S>	4.2346e-05	0.000221868	0.00432749	0.0238365	0.00680996	0.0451191	0.0236613	0.0643903	0.098312	0.268517	0.464763
