 	les	chevreaux	bêlent	</S>
a	0.961501	0.0367071	0.00175313	3.82631e-05
m	0.552511	0.39689	0.0459245	0.00467432
b	0.144563	0.506877	0.0225325	0.326027
ó	0.0539581	0.924923	0.0153263	0.00579284
s	0.179854	0.801561	0.0120102	0.00657467
i	0.412214	0.463831	0.0773759	0.0465793
b	0.228228	0.3176	0.280462	0.17371
á	0.843455	0.0139278	0.0446355	0.0979821
a	0.613847	0.048577	0.237361	0.100214
l	0.0371521	0.00979524	0.22742	0.725633
e	0.04009	0.0148377	0.80648	0.138592
a	0.0340876	0.0178176	0.299569	0.648526
</S>	0.134414	0.0145368	0.259796	0.591253
